,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Davis,Los Angeles Lakers,37:22,8,21,.381,0,2,.000,9,14,.643,3,6,9,5,1,2,3,3,25,+3,37:22,.460,.381,.095,.667,9.0,17.9,13.4,24.0,1.3,5.1,9.9,35.8,100,114
1,LeBron James,Los Angeles Lakers,36:00,7,19,.368,1,5,.200,3,4,.750,1,9,10,8,1,1,5,3,18,-8,36:00,.434,.395,.263,.211,3.1,27.9,15.5,38.6,1.4,2.7,19.4,31.7,89,113
2,Danny Green,Los Angeles Lakers,32:20,10,14,.714,7,9,.778,1,1,1.000,1,6,7,0,2,1,0,3,28,+7,32:20,.970,.964,.643,.071,3.5,20.7,12.1,0.0,3.1,3.0,0.0,19.8,184,111
3,Avery Bradley,Los Angeles Lakers,24:02,3,7,.429,2,5,.400,0,0,0,0,3,3,0,0,0,2,3,8,-1,24:02,.571,.571,.714,.000,0.0,13.9,7.0,0.0,0.0,0.0,22.2,16.6,83,121
4,JaVale McGee,Los Angeles Lakers,17:20,2,3,.667,0,0,0,0,0,0,1,1,2,0,0,2,1,0,4,0,17:20,.667,.667,.000,.000,6.4,6.4,6.4,0.0,0.0,11.1,25.0,10.2,103,116
6,Kentavious Caldwell-Pope,Los Angeles Lakers,27:23,0,3,.000,0,2,.000,0,0,0,0,3,3,3,0,0,1,5,0,-8,27:23,.000,.000,.667,.000,0.0,12.2,6.1,14.2,0.0,0.0,25.0,6.5,43,121
7,Dwight Howard,Los Angeles Lakers,19:02,1,3,.333,0,0,0,1,1,1.000,3,3,6,1,0,1,0,4,3,-1,19:02,.436,.333,.000,.333,17.6,17.6,17.6,7.3,0.0,5.0,0.0,8.0,135,117
8,Quinn Cook,Los Angeles Lakers,16:56,2,7,.286,0,3,.000,0,0,0,0,1,1,2,0,0,1,0,4,-9,16:56,.286,.286,.429,.000,0.0,6.6,3.3,18.1,0.0,0.0,12.5,21.0,66,124
9,Troy Daniels,Los Angeles Lakers,16:14,2,6,.333,1,5,.200,1,1,1.000,0,0,0,1,0,0,1,1,6,-13,16:14,.466,.417,.833,.167,0.0,0.0,0.0,9.5,0.0,0.0,13.4,20.3,89,125
10,Jared Dudley,Los Angeles Lakers,13:21,2,2,1.000,2,2,1.000,0,0,0,0,0,0,0,0,0,0,2,6,-20,13:21,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,300,125
11,Kostas Antetokounmpo,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Zach Norvell,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alex Caruso,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Los Angeles Lakers,240,37,85,.435,13,33,.394,15,21,.714,9,32,41,20,4,7,14,24,102,0,240,.541,.512,.388,.247,20.9,74.4,47.7,54.1,4.2,14.0,12.9,100.0,107.0,117.5
0,Kawhi Leonard,Los Angeles Clippers,31:33,10,19,.526,1,5,.200,9,10,.900,1,5,6,5,2,1,6,5,30,+5,31:33,.641,.553,.263,.526,3.5,17.7,10.6,28.4,3.2,2.9,20.4,42.4,111,102
1,Patrick Beverley,Los Angeles Clippers,31:22,1,7,.143,0,5,.000,0,0,0,2,8,10,6,0,1,2,4,2,+13,31:22,.143,.143,.714,.000,7.1,28.5,17.8,22.7,0.0,2.9,22.2,13.0,75,107
2,Landry Shamet,Los Angeles Clippers,26:26,3,8,.375,2,4,.500,0,0,0,0,3,3,2,0,0,0,1,8,-1,26:26,.500,.500,.500,.000,0.0,12.7,6.3,9.9,0.0,0.0,0.0,13.8,115,113
3,Patrick Patterson,Los Angeles Clippers,17:29,1,3,.333,1,3,.333,1,2,.500,1,2,3,0,0,0,0,2,4,-2,17:29,.515,.500,1.000,.667,6.4,12.8,9.6,0.0,0.0,0.0,0.0,10.1,121,113
4,Ivica Zubac,Los Angeles Clippers,9:38,4,4,1.000,0,0,0,0,0,0,1,0,1,0,0,0,0,2,8,-5,9:38,1.000,1.000,.000,.000,11.6,0.0,5.8,0.0,0.0,0.0,0.0,18.9,203,116
6,Montrezl Harrell,Los Angeles Clippers,38:22,7,11,.636,0,0,0,3,8,.375,2,5,7,4,1,1,3,3,17,+15,38:22,.585,.636,.000,.727,5.8,14.5,10.2,15.1,1.3,2.4,17.1,20.8,109,108
7,Lou Williams,Los Angeles Clippers,36:44,8,14,.571,1,4,.250,4,4,1.000,1,4,5,7,1,0,2,0,21,+13,36:44,.666,.607,.286,.286,3.0,12.2,7.6,29.0,1.4,0.0,11.3,22.0,136,110
8,Maurice Harkless,Los Angeles Clippers,29:10,4,7,.571,2,3,.667,0,0,0,2,2,4,0,4,2,0,5,10,+7,29:10,.714,.714,.429,.000,7.7,7.7,7.7,0.0,6.9,6.3,0.0,10.9,151,94
9,JaMychal Green,Los Angeles Clippers,19:16,4,8,.500,4,7,.571,0,0,0,1,5,6,0,0,0,1,3,12,+5,19:16,.750,.750,.875,.000,5.8,29.0,17.4,0.0,0.0,0.0,11.1,21.2,128,109
10,Johnathan Motley,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Terance Mann,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mfiondu Kabengele,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
