,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tristan Thompson,Cleveland Cavaliers,33:25,8,18,.444,0,0,0,1,2,.500,5,8,13,4,0,0,0,3,17,-19,33:25,.450,.444,.000,.111,13.8,25.0,19.1,17.1,0.0,0.0,0.0,23.3,113,123
1,Kevin Love,Cleveland Cavaliers,33:08,5,12,.417,3,10,.300,2,2,1.000,0,16,16,2,0,0,4,4,15,-14,33:08,.582,.542,.833,.167,0.0,50.4,23.7,7.7,0.0,0.0,23.7,21.0,92,119
2,Collin Sexton,Cleveland Cavaliers,30:17,8,15,.533,2,5,.400,0,0,0,0,3,3,1,0,0,2,3,18,-15,30:17,.600,.600,.333,.000,0.0,10.3,4.9,4.9,0.0,0.0,11.8,23.2,105,125
3,Cedi Osman,Cleveland Cavaliers,27:04,4,8,.500,2,5,.400,0,0,0,0,1,1,2,0,0,0,2,10,-6,27:04,.625,.625,.625,.000,0.0,3.9,1.8,9.4,0.0,0.0,0.0,12.2,133,127
4,Darius Garland,Cleveland Cavaliers,23:02,4,11,.364,1,5,.200,0,0,0,0,1,1,2,0,0,2,3,9,-11,23:02,.409,.409,.455,.000,0.0,4.5,2.1,11.4,0.0,0.0,15.4,23.3,77,126
6,Jordan Clarkson,Cleveland Cavaliers,25:16,6,13,.462,2,6,.333,3,3,1.000,0,0,0,4,0,0,1,0,17,-17,25:16,.594,.538,.462,.231,0.0,0.0,0.0,22.6,0.0,0.0,6.5,25.0,122,128
7,Larry Nance Jr.,Cleveland Cavaliers,25:15,6,9,.667,2,4,.500,1,2,.500,3,5,8,1,1,2,0,2,15,-5,25:15,.759,.778,.444,.222,11.0,20.7,15.5,5.7,1.8,7.0,0.0,16.2,160,114
8,Matthew Dellavedova,Cleveland Cavaliers,21:37,2,5,.400,0,2,.000,1,1,1.000,0,2,2,3,0,0,2,3,5,-6,21:37,.460,.400,.400,.200,0.0,9.7,4.5,16.4,0.0,0.0,26.9,14.2,84,125
9,Kevin Porter Jr.,Cleveland Cavaliers,16:26,1,7,.143,0,2,.000,2,2,1.000,2,2,4,0,0,1,0,2,4,0,16:26,.254,.143,.286,.286,11.2,12.7,11.9,0.0,0.0,5.4,0.0,19.8,73,121
10,Tyler Cook,Cleveland Cavaliers,2:15,1,2,.500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,+4,2:15,.500,.500,.000,.000,0.0,0.0,0.0,0.0,20.3,0.0,0.0,36.7,97,81
