,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jonathan Isaac,Orlando Magic,33:03,7,10,.700,5,7,.714,5,5,1.000,0,7,7,0,3,2,1,3,24,-11,33:03,.984,.950,.700,.500,0.0,22.6,10.3,0.0,4.2,6.3,7.6,17.0,167,91
1,Aaron Gordon,Orlando Magic,29:40,1,6,.167,0,2,.000,0,0,0,1,4,5,5,0,2,3,3,2,-17,29:40,.167,.167,.333,.000,3.0,14.4,8.2,25.0,0.0,7.0,33.3,12.9,53,101
2,Evan Fournier,Orlando Magic,28:52,7,15,.467,1,7,.143,3,3,1.000,0,4,4,2,0,0,2,2,18,-11,28:52,.551,.500,.467,.200,0.0,14.8,6.7,14.9,0.0,0.0,10.9,27.0,98,106
3,D.J. Augustin,Orlando Magic,25:41,3,9,.333,1,3,.333,3,5,.600,0,3,3,1,1,0,1,2,10,0,25:41,.446,.389,.333,.556,0.0,12.5,5.7,6.6,1.8,0.0,8.2,20.2,85,102
4,Nikola Vučević,Orlando Magic,25:00,1,13,.077,1,3,.333,2,2,1.000,3,9,12,2,0,0,0,1,5,-6,25:00,.180,.115,.231,.154,10.7,38.4,23.3,12.0,0.0,0.0,0.0,23.6,59,101
6,Markelle Fultz,Orlando Magic,26:40,6,11,.545,1,4,.250,0,0,0,1,1,2,5,0,0,3,3,13,0,26:40,.591,.591,.364,.000,3.3,4.0,3.6,38.8,0.0,0.0,21.4,22.3,101,108
7,Terrence Ross,Orlando Magic,23:45,4,11,.364,1,8,.125,2,3,.667,0,4,4,1,1,0,3,0,11,-6,23:45,.446,.409,.727,.273,0.0,18.0,8.2,7.8,1.9,0.0,19.6,27.4,72,101
8,Al-Farouq Aminu,Orlando Magic,20:47,3,4,.750,1,2,.500,0,0,0,2,3,5,3,4,2,1,2,7,0,20:47,.875,.875,.500,.000,8.6,15.4,11.7,25.6,8.8,10.0,20.0,10.2,149,79
9,Michael Carter-Williams,Orlando Magic,13:21,0,3,.000,0,1,.000,0,0,0,1,2,3,2,0,0,1,1,0,+5,13:21,.000,.000,.333,.000,6.7,16.0,10.9,21.2,0.0,0.0,25.0,12.7,40,106
10,Mo Bamba,Orlando Magic,13:11,2,7,.286,1,2,.500,0,0,0,0,2,2,1,0,0,1,3,5,+1,13:11,.357,.357,.286,.000,0.0,16.2,7.4,13.6,0.0,0.0,12.5,25.8,66,106
11,Wes Iwundu,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Melvin Frazier,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Khem Birch,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Orlando Magic,240,34,89,.382,12,39,.308,15,18,.833,8,39,47,22,9,6,16,20,95,0,240,.490,.449,.438,.202,14.8,86.7,47.5,64.7,8.6,13.0,14.2,100.0,90.9,99.5
0,Fred VanVleet,Toronto Raptors,38:40,3,14,.214,1,7,.143,7,7,1.000,0,5,5,6,2,0,3,0,14,+8,38:40,.410,.250,.500,.500,0.0,11.5,6.3,25.4,2.4,0.0,14.9,21.8,84,92
1,OG Anunoby,Toronto Raptors,38:12,5,11,.455,2,4,.500,0,0,0,0,8,8,2,5,2,0,2,12,+8,38:12,.545,.545,.364,.000,0.0,18.6,10.2,9.4,6.0,5.0,0.0,12.1,110,78
2,Kyle Lowry,Toronto Raptors,38:11,7,18,.389,3,11,.273,9,10,.900,1,4,5,6,0,0,2,2,26,+13,38:11,.580,.472,.611,.556,2.8,9.3,6.3,31.2,0.0,0.0,8.2,26.9,117,98
3,Pascal Siakam,Toronto Raptors,35:58,9,16,.563,1,4,.250,5,5,1.000,1,8,9,3,0,0,3,5,24,+9,35:58,.659,.594,.250,.313,3.0,19.8,12.1,19.1,0.0,0.0,14.2,24.8,116,95
4,Marc Gasol,Toronto Raptors,25:56,4,7,.571,2,3,.667,0,0,0,2,8,10,0,0,0,2,4,10,+16,25:56,.714,.714,.429,.000,8.2,27.4,18.7,0.0,0.0,0.0,22.2,14.6,107,93
6,Serge Ibaka,Toronto Raptors,21:33,3,10,.300,1,5,.200,2,2,1.000,1,9,10,0,0,0,4,3,9,-10,21:33,.414,.350,.500,.200,4.9,37.1,22.5,0.0,0.0,0.0,26.9,29.0,63,90
7,Norman Powell,Toronto Raptors,19:40,1,7,.143,0,4,.000,2,2,1.000,0,1,1,1,0,0,2,3,4,0,19:40,.254,.143,.571,.286,0.0,4.5,2.5,8.0,0.0,0.0,20.2,21.1,47,99
8,Patrick McCaw,Toronto Raptors,16:56,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,2,0,0,1,3,-1,16:56,.521,.500,.500,1.000,6.3,10.5,8.6,9.4,5.4,0.0,0.0,7.1,128,85
9,Chris Boucher,Toronto Raptors,4:24,0,0,0,0,0,0,2,2,1.000,0,1,1,0,0,0,0,0,2,+2,4:24,1.136,0,0,0,0.0,20.2,11.0,0.0,0.0,0.0,0.0,8.4,250,95
10,Terence Davis,Toronto Raptors,0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,100
11,Rondae Hollis-Jefferson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Stanley Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
