,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jrue Holiday,New Orleans Pelicans,34:51,6,15,.400,2,5,.400,2,2,1.000,0,3,3,6,1,0,2,4,16,-10,34:51,.504,.467,.333,.133,0.0,8.8,4.1,26.0,1.4,0.0,11.2,20.6,109,117
1,Lonzo Ball,New Orleans Pelicans,32:31,4,11,.364,2,5,.400,0,2,.000,2,6,8,7,3,0,5,3,10,+4,32:31,.421,.455,.455,.182,5.6,18.8,11.8,30.3,4.4,0.0,29.6,20.8,81,108
2,Jahlil Okafor,New Orleans Pelicans,29:12,7,14,.500,0,0,0,1,3,.333,6,6,12,3,0,2,4,5,15,+2,29:12,.490,.500,.000,.214,18.6,21.0,19.7,17.3,0.0,6.2,20.7,26.5,95,112
3,Brandon Ingram,New Orleans Pelicans,13:10,3,5,.600,0,0,0,1,4,.250,1,3,4,1,0,1,1,0,7,+4,13:10,.518,.600,.000,.800,6.9,23.3,14.6,12.5,0.0,6.9,12.9,23.6,97,111
4,Nicolò Melli,New Orleans Pelicans,10:25,1,2,.500,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,1,4,-12,10:25,.694,.500,.500,1.000,0.0,19.6,9.2,0.0,0.0,0.0,25.8,14.9,106,117
6,Josh Hart,New Orleans Pelicans,30:03,5,11,.455,2,5,.400,0,0,0,3,12,15,3,1,1,1,2,12,0,30:03,.545,.545,.455,.000,9.0,40.8,24.0,15.0,1.6,3.0,8.3,16.0,120,107
7,J.J. Redick,New Orleans Pelicans,26:52,6,12,.500,4,9,.444,1,2,.500,0,3,3,1,1,0,0,0,17,-17,26:52,.660,.667,.750,.167,0.0,11.4,5.4,6.1,1.8,0.0,0.0,19.2,138,115
8,Frank Jackson,New Orleans Pelicans,22:06,4,11,.364,0,3,.000,4,5,.800,0,0,0,1,0,0,1,1,12,-16,22:06,.455,.364,.273,.455,0.0,0.0,0.0,6.9,0.0,0.0,7.0,25.8,97,122
9,Kenrich Williams,New Orleans Pelicans,19:06,1,3,.333,1,3,.333,0,0,0,1,2,3,0,0,1,1,2,3,0,19:06,.500,.500,1.000,.000,4.7,10.7,7.5,0.0,0.0,4.7,25.0,8.4,84,116
10,Jaxson Hayes,New Orleans Pelicans,13:49,2,5,.400,0,0,0,0,0,0,4,1,5,3,1,0,0,5,4,-4,13:49,.400,.400,.000,.000,26.2,7.4,17.4,31.5,3.4,0.0,0.0,14.5,132,112
11,Nickeil Alexander-Walker,New Orleans Pelicans,7:55,1,5,.200,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,4,-6,7:55,.340,.200,.200,.400,0.0,12.9,6.1,0.0,0.0,0.0,0.0,29.8,84,119
12,Derrick Favors,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,E'Twaun Moore,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New Orleans Pelicans,240,40,94,.426,11,32,.344,13,22,.591,17,39,56,25,7,5,16,25,104,0,240,.502,.484,.340,.234,32.1,83.0,56.0,62.5,6.9,9.4,13.4,100.0,102.7,113.6
0,Shai Gilgeous-Alexander,Oklahoma City Thunder,35:31,8,14,.571,3,5,.600,4,5,.800,1,7,8,4,0,1,1,0,23,+12,35:31,.710,.679,.357,.357,2.9,17.8,10.8,17.9,0.0,2.2,5.8,20.7,142,106
1,Chris Paul,Oklahoma City Thunder,29:17,5,9,.556,3,5,.600,2,2,1.000,1,0,1,9,3,0,3,2,15,+11,29:17,.759,.722,.556,.222,3.5,0.0,1.6,45.0,4.9,0.0,23.3,18.8,137,104
2,Danilo Gallinari,Oklahoma City Thunder,29:15,5,9,.556,4,6,.667,2,2,1.000,0,4,4,0,1,0,0,2,16,+5,29:15,.810,.778,.667,.222,0.0,12.4,6.6,0.0,1.6,0.0,0.0,14.5,158,105
3,Nerlens Noel,Oklahoma City Thunder,23:40,4,8,.500,0,0,0,0,0,0,1,2,3,2,1,6,2,3,8,-3,23:40,.500,.500,.000,.000,4.3,7.7,6.1,12.3,2.0,19.6,20.0,18.1,92,95
4,Terrance Ferguson,Oklahoma City Thunder,5:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,+3,5:26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,112
6,Hamidou Diallo,Oklahoma City Thunder,29:30,5,14,.357,0,4,.000,2,3,.667,1,4,5,1,1,1,1,3,12,-3,29:30,.392,.357,.286,.214,3.5,12.3,8.1,5.0,1.6,2.6,6.1,23.7,83,104
