,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Gary Harris,Denver Nuggets,34:33,5,10,.500,1,4,.250,2,4,.500,0,4,4,4,1,0,1,1,13,+5,34:33,.553,.550,.400,.400,0.0,12.6,6.3,27.7,1.5,0.0,7.8,17.2,111,95
1,Jamal Murray,Denver Nuggets,32:16,7,15,.467,2,3,.667,6,6,1.000,1,3,4,2,1,0,2,2,22,+10,32:16,.624,.533,.200,.400,3.4,10.1,6.8,17.9,1.6,0.0,10.2,28.3,116,96
2,Nikola Jokić,Denver Nuggets,31:27,7,14,.500,3,7,.429,3,4,.750,0,7,7,4,0,0,1,2,20,+14,31:27,.635,.607,.500,.286,0.0,24.3,12.1,37.4,0.0,0.0,6.0,24.8,124,95
3,Paul Millsap,Denver Nuggets,28:09,1,5,.200,0,2,.000,7,7,1.000,2,9,11,0,0,1,2,2,9,+9,28:09,.557,.200,.400,1.400,7.8,34.9,21.3,0.0,0.0,3.0,19.8,16.7,103,90
4,Torrey Craig,Denver Nuggets,27:59,0,3,.000,0,2,.000,2,4,.500,1,3,4,2,2,0,0,2,2,+1,27:59,.210,.000,.667,1.333,3.9,11.7,7.8,12.7,3.7,0.0,0.0,7.9,75,91
6,Jerami Grant,Denver Nuggets,21:14,1,4,.250,0,1,.000,1,4,.250,0,1,1,0,1,1,2,0,3,-3,21:14,.260,.250,.250,1.000,0.0,5.1,2.6,0.0,2.4,4.0,25.8,17.0,39,93
7,Monte Morris,Denver Nuggets,15:52,3,7,.429,1,2,.500,3,4,.750,0,3,3,0,2,0,0,0,10,-3,15:52,.571,.500,.286,.571,0.0,20.6,10.3,0.0,6.5,0.0,0.0,25.7,115,83
8,Mason Plumlee,Denver Nuggets,15:23,0,2,.000,0,1,.000,3,4,.750,2,1,3,3,1,0,2,5,3,-11,15:23,.399,.000,.500,2.000,14.2,7.1,10.6,34.7,3.3,0.0,34.7,17.4,89,92
9,Malik Beasley,Denver Nuggets,13:27,1,8,.125,1,4,.250,0,0,0,0,0,0,0,0,0,2,0,3,-1,13:27,.188,.188,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.6,31,102
10,Juancho Hernangómez,Denver Nuggets,12:14,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,1,0,0,3,-1,12:14,.500,.500,.667,.000,0.0,0.0,0.0,0.0,0.0,6.9,0.0,11.4,97,97
11,Michael Porter Jr.,Denver Nuggets,7:26,1,2,.500,0,0,0,1,2,.500,1,3,4,0,0,0,1,0,3,0,7:26,.521,.500,.000,1.000,14.7,44.0,29.4,0.0,0.0,0.0,25.8,24.3,87,90
12,Jarred Vanderbilt,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Vlatko Čančar,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Denver Nuggets,240,27,73,.370,9,28,.321,28,39,.718,7,34,41,15,8,3,13,14,91,0,240,.505,.432,.384,.534,15.9,77.3,46.6,55.6,8.5,5.3,12.6,100.0,97.2,92.9
0,Jonathan Isaac,Orlando Magic,35:42,3,13,.231,1,5,.200,0,0,0,1,4,5,2,2,3,2,4,7,+2,35:42,.269,.269,.385,.000,3.1,12.2,7.6,8.2,2.9,9.0,13.3,19.1,59,92
1,Nikola Vučević,Orlando Magic,33:47,10,16,.625,1,4,.250,3,3,1.000,2,5,7,2,0,1,2,4,24,-3,33:47,.693,.656,.250,.188,6.5,16.1,11.3,12.5,0.0,3.2,10.4,25.9,126,101
2,Aaron Gordon,Orlando Magic,32:18,9,15,.600,1,4,.250,2,5,.400,2,7,9,3,0,0,0,1,21,-14,32:18,.610,.633,.267,.333,6.8,23.6,15.2,18.9,0.0,0.0,0.0,24.2,129,102
3,Evan Fournier,Orlando Magic,27:05,5,12,.417,1,5,.200,0,0,0,0,2,2,5,0,0,2,1,11,-2,27:05,.458,.458,.417,.000,0.0,8.1,4.0,31.5,0.0,0.0,14.3,23.4,91,106
4,Markelle Fultz,Orlando Magic,24:55,4,7,.571,0,1,.000,1,1,1.000,0,1,1,2,3,0,1,2,9,0,24:55,.605,.571,.143,.143,0.0,4.4,2.2,13.2,6.2,0.0,11.8,15.4,112,93
6,Al-Farouq Aminu,Orlando Magic,25:09,0,5,.000,0,2,.000,0,0,0,2,8,10,1,1,1,2,4,0,0,25:09,.000,.000,.400,.000,8.7,34.7,21.7,5.2,2.0,4.2,28.6,12.6,25,91
7,D.J. Augustin,Orlando Magic,24:39,2,6,.333,0,1,.000,0,0,0,1,0,1,3,0,0,2,1,4,-3,24:39,.333,.333,.167,.000,4.4,0.0,2.2,17.6,0.0,0.0,25.0,14.7,71,108
8,Terrence Ross,Orlando Magic,22:19,4,9,.444,2,6,.333,0,0,0,1,4,5,3,2,1,2,2,10,-1,22:19,.556,.556,.667,.000,4.9,19.6,12.2,22.7,4.6,4.8,18.2,22.4,100,89
9,Mo Bamba,Orlando Magic,10:03,0,3,.000,0,1,.000,1,2,.500,1,5,6,0,0,1,2,6,1,0,10:03,.129,.000,.333,.667,10.9,54.3,32.6,0.0,0.0,10.6,34.0,26.5,28,84
10,Khem Birch,Orlando Magic,4:03,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,+1,4:03,0,0,0,0,0.0,26.9,13.5,32.0,0.0,0.0,0,0.0,216,101
11,Wes Iwundu,Orlando Magic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
