,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,James Harden,Houston Rockets,26:26,6,14,.429,3,9,.333,14,14,1.000,1,3,4,3,1,0,6,4,29,-17,26:26,.719,.536,.643,1.000,4.0,14.0,8.6,27.1,1.7,0.0,22.9,41.4,115,120
1,Russell Westbrook,Houston Rockets,26:14,3,11,.273,1,6,.167,3,6,.500,0,4,4,6,1,1,7,3,10,-46,26:14,.367,.318,.545,.545,0.0,18.8,8.7,43.0,1.7,3.8,33.9,32.9,62,117
2,P.J. Tucker,Houston Rockets,24:48,1,4,.250,0,2,.000,0,0,0,0,6,6,1,0,0,0,2,2,-41,24:48,.250,.250,.500,.000,0.0,29.8,13.8,6.7,0.0,0.0,0.0,6.8,62,123
3,Clint Capela,Houston Rockets,22:41,2,5,.400,0,0,0,1,2,.500,0,7,7,0,2,0,0,3,5,-29,22:41,.425,.400,.000,.400,0.0,38.0,17.6,0.0,3.9,0.0,0.0,10.9,83,113
4,Eric Gordon,Houston Rockets,22:38,2,10,.200,0,5,.000,0,0,0,0,1,1,0,1,1,2,1,4,-23,22:38,.200,.200,.500,.000,0.0,5.4,2.5,0.0,2.0,4.4,16.7,22.2,33,117
6,Austin Rivers,Houston Rockets,24:25,1,3,.333,1,3,.333,0,0,0,1,3,4,3,0,0,2,2,3,-2,24:25,.500,.500,1.000,.000,4.4,15.1,9.4,20.3,0.0,0.0,40.0,8.6,88,124
7,Chris Clemons,Houston Rockets,21:58,5,10,.500,4,9,.444,2,2,1.000,2,1,3,1,0,1,2,3,16,-5,21:58,.735,.700,.900,.200,9.7,5.6,7.8,10.9,0.0,4.6,15.5,24.6,119,122
8,Ben McLemore,Houston Rockets,20:47,5,7,.714,3,5,.600,1,2,.500,0,0,0,1,0,0,0,3,14,+5,20:47,.888,.929,.714,.286,0.0,0.0,0.0,11.9,0.0,0.0,0.0,15.9,162,126
9,Danuel House Jr.,Houston Rockets,19:29,3,6,.500,1,3,.333,3,5,.600,0,1,1,0,0,1,1,1,10,-8,19:29,.610,.583,.500,.833,0.0,6.3,2.9,0.0,0.0,5.1,10.9,19.8,103,121
10,Thabo Sefolosha,Houston Rockets,18:14,2,4,.500,1,3,.333,0,0,0,0,2,2,1,0,1,1,2,5,+16,18:14,.625,.625,.750,.000,0.0,13.5,6.3,10.2,0.0,5.5,20.0,11.5,97,120
11,Ryan Anderson,Houston Rockets,9:50,1,5,.200,0,3,.000,0,0,0,0,6,6,2,1,0,1,0,2,+11,9:50,.200,.200,.600,.000,0.0,75.1,34.9,37.4,4.5,0.0,16.7,25.5,51,108
12,Tyson Chandler,Houston Rockets,2:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-6,2:30,0,0,0,0,0.0,0.0,0.0,61.9,0.0,0.0,0,0.0,245,126
13,Team Totals,Houston Rockets,240,31,79,.392,14,48,.292,24,31,.774,4,34,38,19,6,5,22,24,100,0,240,.540,.481,.608,.392,8.9,87.2,45.2,61.3,5.6,10.4,19.2,100.0,92.6,119.5
0,Duncan Robinson,Miami Heat,35:57,8,12,.667,7,11,.636,0,0,0,0,6,6,1,0,2,1,0,23,+20,35:57,.958,.958,.917,.000,0.0,17.8,9.5,3.7,0.0,8.6,7.7,15.3,144,97
1,Meyers Leonard,Miami Heat,27:42,9,11,.818,1,2,.500,2,3,.667,0,4,4,1,3,1,1,4,21,+29,27:42,.852,.864,.182,.273,0.0,15.4,8.3,5.5,4.8,5.6,7.5,20.3,145,87
2,Jimmy Butler,Miami Heat,27:27,7,15,.467,2,6,.333,2,3,.667,2,5,7,9,4,1,1,2,18,+29,27:27,.551,.533,.400,.200,9.0,19.4,14.6,45.3,6.5,5.6,5.8,26.6,128,83
3,Bam Adebayo,Miami Heat,25:55,3,5,.600,0,1,.000,2,4,.500,1,4,5,5,2,1,4,3,8,+15,25:55,.592,.600,.200,.800,4.7,16.5,11.0,22.3,3.4,6.0,37.2,17.5,96,90
4,Kendrick Nunn,Miami Heat,19:09,2,10,.200,1,5,.200,0,0,0,0,1,1,5,1,0,2,4,5,+18,19:09,.250,.250,.500,.000,0.0,5.6,3.0,29.8,2.3,0.0,16.7,26.5,67,97
6,Tyler Herro,Miami Heat,34:38,3,10,.300,2,5,.400,4,4,1.000,1,6,7,7,1,0,1,1,12,+2,34:38,.510,.400,.500,.400,3.6,18.5,11.5,22.6,1.3,0.0,7.8,15.6,122,98
7,Goran Dragić,Miami Heat,27:42,5,9,.556,3,6,.500,2,2,1.000,0,2,2,4,2,0,2,1,15,+13,27:42,.759,.722,.667,.222,0.0,7.7,4.1,18.1,3.2,0.0,16.8,18.1,125,95
