,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,DeMar DeRozan,San Antonio Spurs,36:23,10,16,.625,0,1,.000,2,3,.667,1,3,4,4,3,2,3,2,22,-2,36:23,.635,.625,.063,.188,2.6,10.1,5.9,21.3,3.9,4.4,14.8,23.1,114,101
1,LaMarcus Aldridge,San Antonio Spurs,33:51,6,14,.429,0,1,.000,2,2,1.000,1,4,5,4,0,4,2,1,14,-2,33:51,.470,.429,.071,.143,2.8,14.5,8.0,19.2,0.0,9.5,11.8,20.6,97,105
2,Bryn Forbes,San Antonio Spurs,31:26,6,16,.375,2,9,.222,3,5,.600,0,2,2,1,0,0,0,0,17,-6,31:26,.467,.438,.563,.313,0.0,7.8,3.4,5.3,0.0,0.0,0.0,23.9,101,113
3,Trey Lyles,San Antonio Spurs,19:41,3,4,.750,1,2,.500,1,4,.250,4,8,12,1,0,1,0,1,8,-8,19:41,.694,.875,.500,1.000,19.5,50.0,32.9,7.9,0.0,4.1,0.0,12.1,153,101
4,Dejounte Murray,San Antonio Spurs,19:01,1,7,.143,0,2,.000,1,2,.500,2,3,5,4,0,0,3,5,3,-18,19:01,.190,.143,.286,.286,10.1,19.4,14.2,28.5,0.0,0.0,27.6,23.6,56,110
6,Patty Mills,San Antonio Spurs,26:10,5,6,.833,3,4,.750,3,3,1.000,0,2,2,0,2,0,0,1,16,+6,26:10,1.093,1.083,.667,.500,0.0,9.4,4.1,0.0,3.6,0.0,0.0,11.6,219,105
7,Rudy Gay,San Antonio Spurs,26:04,3,10,.300,0,4,.000,2,2,1.000,2,4,6,2,1,0,2,1,8,0,26:04,.368,.300,.400,.200,7.4,18.9,12.4,11.3,1.8,0.0,15.5,20.4,79,107
8,Derrick White,San Antonio Spurs,18:41,1,6,.167,1,4,.250,2,2,1.000,0,0,0,2,1,1,0,1,5,+9,18:41,.363,.250,.667,.333,0.0,0.0,0.0,14.5,2.5,4.3,0.0,15.2,93,106
9,Jakob Poeltl,San Antonio Spurs,14:09,1,1,1.000,0,0,0,0,0,0,1,1,2,0,2,0,2,4,2,-6,14:09,1.000,1.000,.000,.000,6.8,8.7,7.6,0.0,6.6,0.0,66.7,8.8,67,97
10,Marco Belinelli,San Antonio Spurs,12:13,2,10,.200,1,6,.167,0,0,0,0,3,3,0,0,0,1,1,5,-12,12:13,.250,.250,.600,.000,0.0,30.2,13.2,0.0,0.0,0.0,9.1,37.2,49,108
11,Lonnie Walker IV,San Antonio Spurs,2:21,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,2:21,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,52.8,0,115
12,Chimezie Metu,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DeMarre Carroll,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,San Antonio Spurs,240,38,91,.418,8,33,.242,16,23,.696,11,30,41,18,9,8,15,17,100,0,240,.494,.462,.363,.253,22.0,76.9,46.1,47.4,8.8,13.3,12.9,100.0,97.3,105.1
0,De'Andre Hunter,Atlanta Hawks,36:10,6,13,.462,2,6,.333,2,2,1.000,2,6,8,1,0,0,0,2,16,+11,36:10,.576,.538,.462,.154,6.8,15.9,11.9,3.8,0.0,0.0,0.0,16.0,128,102
1,Jabari Parker,Atlanta Hawks,31:32,9,14,.643,0,3,.000,1,2,.500,2,6,8,2,1,0,3,1,19,+4,31:32,.638,.643,.214,.143,7.8,18.3,13.7,10.4,1.5,0.0,16.8,23.7,111,99
2,Trae Young,Atlanta Hawks,29:44,10,23,.435,5,10,.500,4,6,.667,0,2,2,13,2,0,3,1,29,+2,29:44,.566,.543,.435,.261,0.0,6.5,3.6,78.1,3.1,0.0,10.5,40.2,122,99
3,Cam Reddish,Atlanta Hawks,28:42,4,6,.667,3,3,1.000,1,2,.500,1,2,3,1,0,0,1,2,12,+1,28:42,.872,.917,.500,.333,4.3,6.7,5.6,4.6,0.0,0.0,12.7,11.5,149,105
4,Alex Len,Atlanta Hawks,14:27,0,2,.000,0,1,.000,1,1,1.000,1,5,6,0,0,1,1,0,1,-4,14:27,.205,.000,.500,.500,8.5,33.2,22.4,0.0,0.0,5.7,29.1,9.9,51,94
6,Kevin Huerter,Atlanta Hawks,24:57,3,9,.333,1,3,.333,0,0,0,1,5,6,1,1,2,3,2,7,+9,24:57,.389,.389,.333,.000,4.9,19.2,13.0,5.2,1.9,6.6,25.0,20.1,68,93
7,DeAndre' Bembry,Atlanta Hawks,18:50,3,6,.500,0,0,0,1,2,.500,0,5,5,1,3,1,5,3,7,0,18:50,.509,.500,.000,.333,0.0,25.5,14.3,7.2,7.4,4.4,42.1,26.3,60,80
8,Damian Jones,Atlanta Hawks,18:24,2,3,.667,0,0,0,0,0,0,1,4,5,2,1,1,1,6,4,0,18:24,.667,.667,.000,.000,6.7,20.9,14.7,13.8,2.5,4.5,25.0,9.1,120,91
9,Vince Carter,Atlanta Hawks,16:07,3,7,.429,0,2,.000,1,1,1.000,0,2,2,0,1,0,0,2,7,+6,16:07,.470,.429,.286,.143,0.0,11.9,6.7,0.0,2.9,0.0,0.0,19.3,100,97
10,Bruno Fernando,Atlanta Hawks,14:49,2,4,.500,0,1,.000,0,0,0,1,1,2,1,0,0,1,1,4,+12,14:49,.500,.500,.250,.000,8.3,6.5,7.3,8.9,0.0,0.0,20.0,14.1,96,105
11,Tyrone Wallace,Atlanta Hawks,6:18,1,3,.333,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,2,-1,6:18,.333,.333,.333,.000,0.0,15.2,8.6,0.0,0.0,0.0,0.0,19.9,72,103
12,Brandon Goodwin,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,John Collins,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,43,90,.478,11,30,.367,11,16,.688,9,39,48,22,9,5,18,20,108,0,240,.556,.539,.333,.178,23.1,78.0,53.9,51.2,8.8,8.6,15.6,100.0,105.1,97.3
