,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jaylen Brown,Boston Celtics,32:07,5,9,.556,0,2,.000,2,2,1.000,0,5,5,1,1,0,2,1,12,+13,32:07,.607,.556,.222,.222,0.0,14.9,7.4,4.6,1.4,0.0,16.8,15.4,99,88
1,Gordon Hayward,Boston Celtics,29:11,9,16,.563,1,5,.200,1,1,1.000,1,9,10,6,1,0,0,1,20,+20,29:11,.608,.594,.313,.063,3.2,29.6,16.3,39.2,1.6,0.0,0.0,23.5,133,84
2,Kemba Walker,Boston Celtics,29:11,4,12,.333,3,9,.333,3,3,1.000,0,2,2,6,1,0,2,0,14,+20,29:11,.526,.458,.750,.250,0.0,6.6,3.3,29.5,1.6,0.0,13.1,21.9,105,91
3,Jayson Tatum,Boston Celtics,28:53,8,17,.471,4,6,.667,3,4,.750,2,7,9,1,2,1,1,0,23,+13,28:53,.613,.588,.353,.235,6.5,23.3,14.8,6.2,3.2,3.0,5.1,28.5,117,81
4,Daniel Theis,Boston Celtics,19:51,2,8,.250,0,1,.000,1,2,.500,3,4,7,2,0,2,1,4,5,+5,19:51,.282,.250,.125,.250,14.2,19.3,16.8,13.8,0.0,8.8,10.1,20.8,79,84
6,Marcus Smart,Boston Celtics,22:14,2,8,.250,1,4,.250,1,1,1.000,0,2,2,5,2,0,1,5,6,+10,22:14,.355,.313,.500,.125,0.0,8.6,4.3,30.3,4.2,0.0,10.6,17.7,88,84
7,Brad Wanamaker,Boston Celtics,16:03,3,4,.750,1,1,1.000,2,2,1.000,0,3,3,3,2,0,0,2,9,+6,16:03,.922,.875,.250,.500,0.0,17.9,8.9,28.9,5.8,0.0,0.0,12.7,191,78
8,Grant Williams,Boston Celtics,15:07,0,2,.000,0,1,.000,0,0,0,1,1,2,3,1,0,0,3,0,+13,15:07,.000,.000,.500,.000,6.2,6.4,6.3,23.8,3.1,0.0,0.0,5.5,88,87
9,Robert Williams,Boston Celtics,13:12,2,2,1.000,0,0,0,3,6,.500,1,4,5,1,2,0,3,1,7,+9,13:12,.754,1.000,.000,3.000,7.1,29.1,18.0,11.1,7.1,0.0,39.3,24.1,90,73
10,Javonte Green,Boston Celtics,12:52,5,9,.556,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,0,12,+2,12:52,.607,.556,.222,.222,0.0,7.5,3.7,0.0,0.0,0.0,0.0,32.0,120,94
11,Carsen Edwards,Boston Celtics,11:35,0,3,.000,0,2,.000,0,0,0,0,3,3,1,0,1,1,0,0,-3,11:35,.000,.000,.667,.000,0.0,24.9,12.3,10.4,0.0,7.5,25.0,14.4,15,84
12,Vincent Poirier,Boston Celtics,5:34,0,3,.000,0,0,0,0,0,0,3,0,3,0,1,1,1,2,0,0,5:34,.000,.000,.000,.000,50.7,0.0,25.6,0.0,8.4,15.7,25.0,30.0,49,66
13,Semi Ojeleye,Boston Celtics,4:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,4:08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,96
