,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bam Adebayo,Miami Heat,34:57,6,9,.667,0,1,.000,3,6,.500,2,8,10,6,5,1,2,3,15,+1,34:57,.644,.667,.111,.667,7.8,23.9,17.0,22.4,6.9,2.6,14.7,17.7,132,95
1,Jimmy Butler,Miami Heat,33:59,11,16,.688,2,2,1.000,10,10,1.000,1,4,5,4,0,0,1,4,34,-3,33:59,.833,.750,.125,.625,4.0,12.3,8.7,19.2,0.0,0.0,4.7,28.6,167,115
2,Duncan Robinson,Miami Heat,27:37,1,5,.200,1,4,.250,3,3,1.000,0,6,6,1,1,1,0,4,6,+29,27:37,.475,.300,.800,.600,0.0,22.7,12.9,4.0,1.8,3.3,0.0,10.4,109,106
3,Kendrick Nunn,Miami Heat,22:27,5,9,.556,1,4,.250,0,0,0,0,2,2,0,0,1,2,1,11,-2,22:27,.611,.611,.444,.000,0.0,9.3,5.3,0.0,0.0,4.1,18.2,22.3,93,113
4,Meyers Leonard,Miami Heat,13:02,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,0,0,1,4,6,-1,13:02,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.4,107,118
6,Goran Dragić,Miami Heat,31:02,9,16,.563,5,7,.714,2,3,.667,1,5,6,4,0,0,2,1,25,+10,31:02,.722,.719,.438,.188,4.4,16.8,11.5,19.9,0.0,0.0,10.4,28.3,134,114
7,Tyler Herro,Miami Heat,28:55,6,12,.500,3,4,.750,0,0,0,0,2,2,2,1,0,0,1,15,+14,28:55,.625,.625,.333,.000,0.0,7.2,4.1,9.5,1.7,0.0,0.0,18.9,128,113
8,Kelly Olynyk,Miami Heat,23:37,3,6,.500,1,3,.333,0,0,0,0,5,5,3,2,0,2,5,7,+15,23:37,.583,.583,.500,.000,0.0,22.1,12.5,15.7,4.1,0.0,25.0,15.4,100,103
9,James Johnson,Miami Heat,14:32,1,2,.500,0,1,.000,1,2,.500,0,1,1,0,0,2,2,3,3,+11,14:32,.521,.500,.500,1.000,0.0,7.2,4.1,0.0,0.0,12.7,41.0,15.3,59,108
10,Derrick Jones Jr.,Miami Heat,9:10,1,3,.333,0,0,0,0,0,0,1,3,4,2,0,0,1,2,2,+6,9:10,.333,.333,.000,.000,15.0,34.2,25.9,26.3,0.0,0.0,25.0,19.8,92,109
11,Chris Silva,Miami Heat,0:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,119
12,Dion Waiters,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Udonis Haslem,Miami Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Miami Heat,240,45,82,.549,15,28,.536,19,24,.792,5,36,41,22,9,5,13,28,124,0,240,.670,.640,.341,.293,14.3,78.3,50.6,48.9,9.1,9.6,12.3,100.0,125.0,108.9
0,Devin Booker,Phoenix Suns,35:33,6,13,.462,2,4,.500,8,8,1.000,0,3,3,5,1,0,6,3,22,0,35:33,.666,.538,.308,.615,0.0,11.6,5.0,23.4,1.4,0.0,26.6,27.2,105,125
1,Ricky Rubio,Phoenix Suns,29:43,4,11,.364,1,5,.200,2,2,1.000,0,11,11,6,1,0,3,3,11,-4,29:43,.463,.409,.455,.182,0.0,50.8,21.9,31.7,1.6,0.0,20.2,21.5,92,121
2,Dario Šarić,Phoenix Suns,29:09,3,9,.333,2,7,.286,1,1,1.000,0,4,4,2,1,0,2,2,9,-4,29:09,.477,.444,.778,.111,0.0,18.8,8.1,10.3,1.7,0.0,17.5,16.9,86,124
3,Aron Baynes,Phoenix Suns,28:40,10,17,.588,1,3,.333,2,3,.667,3,1,4,1,0,0,0,3,23,-4,28:40,.628,.618,.176,.176,10.9,4.8,8.3,8.3,0.0,0.0,0.0,27.5,131,129
4,Kelly Oubre Jr.,Phoenix Suns,25:27,5,10,.500,1,1,1.000,4,7,.571,1,1,2,3,0,2,1,3,15,+4,25:27,.573,.550,.100,.700,4.1,5.4,4.7,20.5,0.0,7.0,7.1,23.8,118,123
6,Mikal Bridges,Phoenix Suns,20:10,2,8,.250,1,4,.250,0,0,0,3,4,7,0,0,0,0,2,5,-28,20:10,.313,.313,.500,.000,15.5,27.2,20.6,0.0,0.0,0.0,0.0,17.1,87,127
7,Cameron Johnson,Phoenix Suns,19:14,2,5,.400,1,2,.500,2,2,1.000,1,2,3,1,0,0,0,1,7,-12,19:14,.595,.500,.400,.400,5.4,14.3,9.2,7.8,0.0,0.0,0.0,13.1,136,128
8,Frank Kaminsky,Phoenix Suns,17:23,1,2,.500,0,0,0,1,2,.500,2,1,3,2,0,0,0,1,3,-10,17:23,.521,.500,.000,1.000,12.0,7.9,10.2,16.1,0.0,0.0,0.0,7.1,147,129
9,Tyler Johnson,Phoenix Suns,16:02,3,6,.500,2,4,.500,3,4,.750,0,1,1,0,0,0,2,1,11,-15,16:02,.709,.667,.667,.667,0.0,8.6,3.7,0.0,0.0,0.0,20.5,26.2,106,129
10,Jevon Carter,Phoenix Suns,14:45,1,3,.333,0,2,.000,0,0,0,0,2,2,2,1,1,0,2,2,-3,14:45,.333,.333,.667,.000,0.0,18.6,8.0,19.3,3.3,6.0,0.0,8.7,98,115
11,Cheick Diallo,Phoenix Suns,1:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1:57,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,130
12,Elie Okobo,Phoenix Suns,1:57,0,0,0,0,0,0,0,2,.000,0,0,0,0,0,0,0,0,0,-2,1:57,.000,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0,130
13,Deandre Ayton,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Phoenix Suns,240,37,84,.440,11,32,.344,23,31,.742,10,30,40,22,4,3,14,21,108,0,240,.553,.506,.381,.369,21.7,85.7,49.4,59.5,4.0,5.6,12.5,100.0,108.9,125.0
