,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Harrison Barnes,Sacramento Kings,35:45,5,10,.500,2,4,.500,4,6,.667,3,1,4,4,2,0,0,2,16,+14,35:45,.633,.600,.400,.600,12.6,3.5,7.7,15.2,3.0,0.0,0.0,17.0,156,122
1,De'Aaron Fox,Sacramento Kings,29:54,6,10,.600,0,0,0,5,6,.833,1,3,4,9,1,1,5,3,17,-4,29:54,.672,.600,.000,.600,5.0,12.7,9.2,44.6,1.8,2.7,28.3,28.4,124,120
2,Richaun Holmes,Sacramento Kings,29:18,1,4,.250,0,0,0,0,0,0,2,7,9,1,0,1,0,1,2,+10,29:18,.250,.250,.000,.000,10.2,30.2,21.1,4.1,0.0,2.8,0.0,6.6,107,120
3,Buddy Hield,Sacramento Kings,25:54,9,17,.529,3,8,.375,1,1,1.000,1,4,5,1,0,1,2,1,22,-4,25:54,.631,.618,.471,.059,5.8,19.5,13.2,7.3,0.0,3.1,10.3,36.1,115,122
4,Nemanja Bjelica,Sacramento Kings,19:27,5,7,.714,3,4,.750,0,0,0,0,0,0,3,1,0,1,2,13,-2,19:27,.929,.929,.571,.000,0.0,0.0,0.0,25.0,2.7,0.0,12.5,19.8,162,123
6,Cory Joseph,Sacramento Kings,28:41,4,8,.500,1,2,.500,0,0,0,0,4,4,4,0,2,1,2,9,+11,28:41,.563,.563,.250,.000,0.0,17.6,9.6,19.0,0.0,5.7,11.1,15.1,124,121
7,Bogdan Bogdanović,Sacramento Kings,28:31,6,9,.667,5,6,.833,3,3,1.000,0,4,4,5,1,1,2,2,20,+21,28:31,.969,.944,.667,.333,0.0,17.7,9.6,26.4,1.9,2.9,16.2,20.8,165,119
8,Trevor Ariza,Sacramento Kings,23:48,5,7,.714,4,6,.667,0,0,0,0,2,2,0,2,0,3,4,14,+12,23:48,1.000,1.000,.857,.000,0.0,10.6,5.8,0.0,4.5,0.0,30.0,20.2,109,116
9,Dewayne Dedmon,Sacramento Kings,11:03,0,2,.000,0,1,.000,4,4,1.000,2,1,3,0,0,0,0,1,4,0,11:03,.532,.000,.500,2.000,27.1,11.4,18.6,0.0,0.0,0.0,0.0,16.4,152,126
10,Harry Giles,Sacramento Kings,7:39,1,2,.500,0,0,0,2,2,1.000,0,1,1,0,0,1,0,1,4,+2,7:39,.694,.500,.000,1.000,0.0,16.5,9.0,0.0,0.0,10.6,0.0,18.1,154,117
11,Caleb Swanigan,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Wenyen Gabriel,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Yogi Ferrell,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,42,76,.553,18,31,.581,19,22,.864,9,27,36,27,7,7,14,19,121,0,240,.706,.671,.408,.289,28.1,71.1,51.4,64.3,7.8,11.9,14.0,100.0,134.1,120.8
0,Trae Young,Atlanta Hawks,39:36,12,22,.545,3,10,.300,3,3,1.000,2,0,2,12,5,0,5,0,30,-6,39:36,.643,.614,.455,.136,6.4,0.0,3.5,46.2,6.7,0.0,17.7,32.6,126,127
1,Jabari Parker,Atlanta Hawks,32:17,11,18,.611,1,5,.200,2,2,1.000,4,4,8,2,1,1,0,2,25,-5,32:17,.662,.639,.278,.111,15.7,18.6,17.0,10.0,1.6,3.3,0.0,26.7,148,134
