,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jaren Jackson Jr.,Memphis Grizzlies,37:31,10,17,.588,4,6,.667,0,0,0,2,4,6,5,1,1,2,2,24,+12,37:31,.706,.706,.353,.000,5.8,11.4,8.6,20.5,1.3,2.1,10.5,22.8,128,110
1,Dillon Brooks,Memphis Grizzlies,35:25,8,17,.471,1,4,.250,4,6,.667,1,1,2,3,2,0,1,4,21,-6,35:25,.535,.500,.235,.353,3.1,3.0,3.0,12.3,2.7,0.0,4.8,26.2,110,110
2,Jae Crowder,Memphis Grizzlies,30:52,3,5,.600,1,3,.333,1,2,.500,0,10,10,4,1,0,2,1,8,+13,30:52,.680,.700,.600,.400,0.0,34.6,17.5,15.8,1.6,0.0,25.4,11.5,110,108
3,Jonas Valančiūnas,Memphis Grizzlies,27:19,9,12,.750,0,1,.000,0,0,0,3,9,12,1,0,2,2,4,18,+7,27:19,.750,.750,.083,.000,12.0,35.1,23.7,6.2,0.0,5.9,14.3,23.0,126,105
4,Ja Morant,Memphis Grizzlies,24:42,2,12,.167,1,3,.333,4,6,.667,2,2,4,3,0,0,0,3,9,-15,24:42,.307,.208,.250,.500,8.8,8.6,8.7,14.5,0.0,0.0,0.0,26.6,87,115
6,Tyus Jones,Memphis Grizzlies,23:03,3,10,.300,0,5,.000,2,2,1.000,0,1,1,6,0,0,1,2,8,+19,23:03,.368,.300,.500,.200,0.0,4.6,2.3,33.1,0.0,0.0,8.4,23.2,94,116
7,Kyle Anderson,Memphis Grizzlies,17:51,0,2,.000,0,1,.000,3,4,.750,0,3,3,2,0,2,2,2,3,-6,17:51,.399,.000,.500,2.000,0.0,17.9,9.1,12.2,0.0,9.0,34.7,14.5,72,106
8,Brandon Clarke,Memphis Grizzlies,17:30,6,7,.857,2,2,1.000,0,0,0,1,7,8,1,0,0,1,1,14,+7,17:30,1.000,1.000,.286,.000,6.2,42.7,24.7,10.0,0.0,0.0,12.5,20.5,155,110
9,Solomon Hill,Memphis Grizzlies,13:38,1,2,.500,1,2,.500,0,0,0,0,1,1,3,3,0,0,0,3,-18,13:38,.750,.750,1.000,.000,0.0,7.8,4.0,26.1,10.6,0.0,0.0,6.6,172,92
10,Marko Guduric,Memphis Grizzlies,12:05,2,3,.667,1,1,1.000,0,0,0,0,0,0,4,0,0,0,1,5,+7,12:05,.833,.833,.333,.000,0.0,0.0,0.0,44.1,0.0,0.0,0.0,11.2,182,117
11,Grayson Allen,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bruno Caboclo,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,De'Anthony Melton,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Memphis Grizzlies,240,44,87,.506,11,28,.393,14,20,.700,9,38,47,32,7,5,11,20,113,0,240,.590,.569,.322,.230,20.5,84.4,52.8,72.7,7.1,8.3,10.3,100.0,113.9,109.9
0,DeMar DeRozan,San Antonio Spurs,34:31,6,15,.400,0,2,.000,0,1,.000,0,7,7,7,0,0,2,4,12,-10,34:31,.389,.400,.133,.067,0.0,22.1,10.9,28.9,0.0,0.0,11.5,22.0,86,116
1,LaMarcus Aldridge,San Antonio Spurs,32:50,8,15,.533,0,0,0,3,4,.750,0,4,4,3,2,0,1,2,19,-3,32:50,.567,.533,.000,.267,0.0,13.3,6.6,14.5,2.9,0.0,5.6,23.5,111,111
2,Bryn Forbes,San Antonio Spurs,27:52,5,12,.417,4,9,.444,0,0,0,0,1,1,1,0,0,1,2,14,-2,27:52,.583,.583,.750,.000,0.0,3.9,1.9,5.2,0.0,0.0,7.7,20.3,100,120
3,Dejounte Murray,San Antonio Spurs,19:16,1,3,.333,0,0,0,2,3,.667,2,4,6,4,1,1,4,0,4,-2,19:16,.463,.333,.000,1.000,11.1,22.6,16.8,25.2,2.5,4.2,48.1,18.8,80,107
4,Trey Lyles,San Antonio Spurs,18:05,3,5,.600,1,2,.500,0,0,0,2,5,7,0,0,1,0,2,7,0,18:05,.700,.700,.400,.000,11.8,30.2,20.9,0.0,0.0,4.5,0.0,12.0,144,111
6,Derrick White,San Antonio Spurs,28:44,5,13,.385,2,6,.333,3,3,1.000,0,3,3,5,0,1,1,1,15,-2,28:44,.524,.462,.462,.231,0.0,11.4,5.6,24.8,0.0,2.8,6.5,23.2,110,116
7,Rudy Gay,San Antonio Spurs,27:09,6,9,.667,3,4,.750,3,3,1.000,2,6,8,2,0,1,1,3,18,-4,27:09,.872,.833,.444,.333,7.9,24.1,15.9,11.3,0.0,3.0,8.8,18.1,157,113
8,Patty Mills,San Antonio Spurs,20:08,4,7,.571,0,3,.000,1,2,.500,0,2,2,2,0,0,2,1,9,-2,20:08,.571,.571,.429,.286,0.0,10.8,5.4,14.7,0.0,0.0,20.2,21.3,92,118
9,Marco Belinelli,San Antonio Spurs,16:15,2,7,.286,2,4,.500,1,1,1.000,0,0,0,2,1,0,0,1,7,+6,16:15,.470,.429,.571,.143,0.0,0.0,0.0,16.4,3.0,0.0,0.0,19.9,104,114
10,Jakob Poeltl,San Antonio Spurs,15:10,2,4,.500,0,0,0,0,0,0,1,3,4,3,0,0,1,1,4,-1,15:10,.500,.500,.000,.000,7.0,21.6,14.2,26.6,0.0,0.0,20.0,14.3,107,116
11,Chimezie Metu,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Lonnie Walker IV,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DeMarre Carroll,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,San Antonio Spurs,240,42,90,.467,12,30,.400,13,17,.765,7,35,42,29,4,4,13,17,109,0,240,.559,.533,.333,.189,15.6,79.5,47.2,69.0,4.0,6.8,11.8,100.0,109.9,113.9
