,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luka Dončić,Dallas Mavericks,35:32,10,23,.435,3,12,.250,10,13,.769,1,9,10,11,3,1,3,1,33,-3,35:32,.575,.500,.522,.565,2.7,25.9,13.9,66.1,4.2,2.1,9.5,39.4,121,101
1,Kristaps Porziņģis,Dallas Mavericks,33:04,7,17,.412,1,5,.200,5,5,1.000,4,7,11,1,1,3,2,1,20,+2,33:04,.521,.441,.294,.294,11.6,21.6,16.5,5.6,1.5,6.8,9.4,28.3,107,106
2,Dwight Powell,Dallas Mavericks,29:22,5,9,.556,1,1,1.000,1,1,1.000,2,2,4,2,0,0,0,1,12,+5,29:22,.636,.611,.111,.111,6.5,7.0,6.7,11.7,0.0,0.0,0.0,14.2,141,120
3,Dorian Finney-Smith,Dallas Mavericks,23:21,3,4,.750,1,2,.500,0,2,.000,0,2,2,1,1,1,1,2,7,-4,23:21,.717,.875,.500,.500,0.0,8.7,4.2,6.9,2.2,3.2,17.0,11.1,108,112
4,Seth Curry,Dallas Mavericks,23:15,1,5,.200,0,4,.000,0,0,0,1,1,2,1,0,0,0,3,2,+3,23:15,.200,.200,.800,.000,4.1,4.4,4.3,6.1,0.0,0.0,0.0,9.5,67,120
6,Tim Hardaway Jr.,Dallas Mavericks,24:52,4,10,.400,2,7,.286,2,4,.500,0,4,4,0,0,1,0,3,12,+1,24:52,.510,.500,.700,.400,0.0,16.4,8.0,0.0,0.0,3.0,0.0,20.9,105,114
7,Delon Wright,Dallas Mavericks,22:22,1,2,.500,0,1,.000,2,2,1.000,0,2,2,2,2,1,2,1,4,-7,22:22,.694,.500,.500,1.000,0.0,9.1,4.4,12.7,4.5,3.4,41.0,9.6,93,106
8,Maxi Kleber,Dallas Mavericks,18:17,0,3,.000,0,2,.000,0,0,0,1,3,4,0,0,0,1,1,0,-10,18:17,.000,.000,.667,.000,5.3,16.8,10.8,0.0,0.0,0.0,25.0,9.7,19,115
9,Jalen Brunson,Dallas Mavericks,15:01,1,4,.250,0,2,.000,1,2,.500,0,0,0,2,1,0,1,0,3,+1,15:01,.307,.250,.500,.500,0.0,0.0,0.0,19.5,3.4,0.0,17.0,17.3,69,115
10,Boban Marjanović,Dallas Mavericks,14:54,4,7,.571,0,0,0,2,2,1.000,3,2,5,1,0,0,1,3,10,-3,14:54,.635,.571,.000,.286,19.3,13.7,16.6,13.9,0.0,0.0,11.3,26.3,127,117
11,Courtney Lee,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justin Jackson,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,J.J. Barea,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Dallas Mavericks,240,36,84,.429,8,36,.222,23,31,.742,12,32,44,21,8,7,11,16,103,0,240,.527,.476,.429,.369,24.0,68.1,45.4,58.3,8.4,10.9,10.1,100.0,108.0,111.2
0,Julius Randle,New York Knicks,36:15,8,18,.444,1,5,.200,0,0,0,4,6,10,3,0,0,6,2,17,-5,36:15,.472,.472,.278,.000,11.3,15.9,13.7,12.6,0.0,0.0,25.0,27.9,86,111
1,Marcus Morris,New York Knicks,33:30,7,19,.368,5,7,.714,1,1,1.000,0,5,5,0,1,1,1,3,20,+11,33:30,.514,.500,.368,.053,0.0,14.3,7.4,0.0,1.5,3.0,4.9,25.7,108,106
2,RJ Barrett,New York Knicks,30:12,3,10,.300,0,2,.000,2,2,1.000,1,6,7,2,1,0,4,2,8,0,30:12,.368,.300,.200,.200,3.4,19.1,11.5,8.5,1.7,0.0,26.9,20.8,69,106
