,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Domantas Sabonis,Indiana Pacers,35:58,6,12,.500,0,0,0,6,8,.750,3,10,13,3,0,0,4,4,18,-18,35:58,.580,.500,.000,.667,9.5,30.3,20.2,13.8,0.0,0.0,20.5,23.8,104,112
1,Aaron Holiday,Indiana Pacers,27:58,4,11,.364,2,7,.286,2,2,1.000,1,3,4,5,1,0,3,5,12,-4,27:58,.505,.455,.636,.182,4.1,11.7,8.0,28.5,1.8,0.0,20.2,23.3,95,114
2,T.J. Warren,Indiana Pacers,22:24,1,8,.125,1,5,.200,5,6,.833,0,2,2,0,0,0,2,6,8,-14,22:24,.376,.188,.625,.750,0.0,9.7,5.0,0.0,0.0,0.0,15.8,24.7,69,118
3,JaKarr Sampson,Indiana Pacers,16:55,2,3,.667,0,1,.000,0,0,0,1,1,2,0,0,1,1,2,4,-15,16:55,.667,.667,.333,.000,6.8,6.4,6.6,0.0,0.0,6.6,25.0,10.4,100,116
4,Malcolm Brogdon,Indiana Pacers,9:07,1,4,.250,0,3,.000,0,0,0,0,1,1,4,0,0,1,0,2,+1,9:07,.250,.250,.750,.000,0.0,12.0,6.1,66.4,0.0,0.0,20.0,24.1,76,118
6,Justin Holiday,Indiana Pacers,39:03,4,13,.308,2,11,.182,0,0,0,0,5,5,3,0,0,0,2,10,-10,39:03,.385,.385,.846,.000,0.0,14.0,7.1,11.5,0.0,0.0,0.0,14.6,88,117
7,Doug McDermott,Indiana Pacers,32:07,7,15,.467,3,6,.500,1,1,1.000,0,5,5,0,0,0,2,2,18,+1,32:07,.583,.567,.400,.067,0.0,17.0,8.7,0.0,0.0,0.0,11.5,23.8,96,116
8,T.J. McConnell,Indiana Pacers,22:12,5,7,.714,0,0,0,2,3,.667,0,0,0,7,0,0,3,2,12,-12,22:12,.721,.714,.000,.429,0.0,0.0,0.0,57.8,0.0,0.0,26.5,22.4,119,122
9,Goga Bitadze,Indiana Pacers,18:20,2,3,.667,0,0,0,2,2,1.000,0,3,3,1,0,1,0,2,6,+19,18:20,.773,.667,.000,.667,0.0,17.9,9.1,8.2,0.0,6.1,0.0,9.3,164,113
10,T.J. Leaf,Indiana Pacers,15:55,5,6,.833,0,0,0,2,4,.500,3,4,7,1,1,0,0,0,12,+7,15:55,.773,.833,.000,.667,21.5,27.4,24.5,13.8,3.1,0.0,0.0,21.4,161,106
