,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,DeMar DeRozan,San Antonio Spurs,36:32,9,15,.600,0,0,0,3,3,1.000,0,2,2,5,1,0,2,6,21,-15,36:32,.643,.600,.000,.200,0.0,5.6,3.0,19.8,1.4,0.0,10.9,23.1,124,123
1,LaMarcus Aldridge,San Antonio Spurs,31:02,5,13,.385,2,3,.667,1,1,1.000,0,6,6,2,0,5,0,4,13,-9,31:02,.484,.462,.231,.077,0.0,19.7,10.4,8.3,0.0,13.3,0.0,19.9,106,113
2,Bryn Forbes,San Antonio Spurs,29:20,4,13,.308,4,7,.571,0,0,0,0,1,1,1,1,0,0,0,12,-15,29:20,.462,.462,.538,.000,0.0,3.5,1.8,4.3,1.7,0.0,0.0,20.4,97,124
3,Trey Lyles,San Antonio Spurs,27:22,3,7,.429,2,4,.500,0,0,0,5,7,12,0,0,0,2,3,8,-11,27:22,.571,.571,.571,.000,20.9,26.1,23.6,0.0,0.0,0.0,22.2,15.1,111,118
4,Dejounte Murray,San Antonio Spurs,20:46,5,6,.833,0,1,.000,0,0,0,1,4,5,6,1,0,2,4,10,-7,20:46,.833,.833,.167,.000,5.5,19.7,13.0,41.5,2.4,0.0,25.0,17.7,143,115
6,Derrick White,San Antonio Spurs,21:35,1,4,.250,1,2,.500,0,0,0,0,1,1,4,0,2,2,3,3,+6,21:35,.375,.375,.500,.000,0.0,4.7,2.5,20.8,0.0,7.7,33.3,12.8,80,122
7,Rudy Gay,San Antonio Spurs,20:38,6,12,.500,2,5,.400,0,0,0,1,3,4,1,0,0,2,2,14,+9,20:38,.583,.583,.417,.000,5.5,14.8,10.5,7.5,0.0,0.0,14.3,31.2,102,123
8,Patty Mills,San Antonio Spurs,19:23,6,9,.667,1,3,.333,0,1,.000,0,1,1,1,3,0,0,1,13,+13,19:23,.689,.722,.333,.111,0.0,5.3,2.8,8.2,7.8,0.0,0.0,22.4,136,109
9,Jakob Poeltl,San Antonio Spurs,16:55,4,4,1.000,0,0,0,1,2,.500,1,4,5,2,2,1,1,0,9,+10,16:55,.922,1.000,.000,.500,6.8,24.1,15.9,16.9,6.0,4.9,17.0,16.0,157,103
10,Marco Belinelli,San Antonio Spurs,16:27,2,6,.333,1,1,1.000,1,3,.333,0,4,4,1,0,0,0,2,6,+9,16:27,.410,.417,.167,.500,0.0,24.8,13.1,7.5,0.0,0.0,0.0,20.5,91,118
11,DeMarre Carroll,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Lonnie Walker IV,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chimezie Metu,San Antonio Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,San Antonio Spurs,240,45,89,.506,13,26,.500,6,10,.600,8,33,41,23,8,8,11,25,109,0,240,.584,.579,.292,.112,19.0,70.2,46.1,51.1,8.4,13.8,10.5,100.0,115.1,117.2
