,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cam Reddish,Atlanta Hawks,32:18,4,15,.267,1,4,.250,3,4,.750,1,3,4,3,0,3,0,3,12,-45,32:18,.358,.300,.267,.267,2.7,12.4,6.5,15.9,0.0,7.4,0.0,19.9,89,140
1,Trae Young,Atlanta Hawks,28:50,4,16,.250,2,7,.286,10,12,.833,0,5,5,6,1,0,3,2,20,-30,28:50,.470,.313,.438,.750,0.0,23.1,9.1,36.5,1.5,0.0,12.4,32.3,98,138
2,De'Andre Hunter,Atlanta Hawks,25:43,5,14,.357,1,5,.200,1,3,.333,2,0,2,1,1,0,2,5,12,-20,25:43,.392,.393,.357,.214,6.8,0.0,4.1,7.6,1.7,0.0,11.5,25.8,78,143
3,Jabari Parker,Atlanta Hawks,23:41,5,12,.417,1,3,.333,0,0,0,4,4,8,1,2,0,2,3,11,-26,23:41,.458,.458,.250,.000,14.7,22.5,17.8,8.5,3.7,0.0,14.3,22.6,92,133
4,Damian Jones,Atlanta Hawks,23:27,4,7,.571,0,0,0,3,4,.750,2,1,3,0,1,4,2,6,11,-31,23:27,.628,.571,.000,.571,7.4,5.7,6.7,0.0,1.9,13.6,18.6,17.6,107,133
6,DeAndre' Bembry,Atlanta Hawks,25:13,3,6,.500,0,1,.000,0,2,.000,0,2,2,4,2,0,4,2,6,-30,25:13,.436,.500,.167,.333,0.0,10.6,4.2,26.9,3.5,0.0,36.8,16.5,64,136
7,Alex Len,Atlanta Hawks,17:48,1,5,.200,0,1,.000,3,4,.750,1,2,3,1,0,0,2,1,5,-9,17:48,.370,.200,.200,.800,4.9,15.0,8.9,8.6,0.0,0.0,22.8,18.9,71,143
8,Bruno Fernando,Atlanta Hawks,17:14,2,2,1.000,0,0,0,2,2,1.000,2,1,3,2,0,0,2,1,6,-10,17:14,1.042,1.000,.000,1.000,10.1,7.7,9.2,19.6,0.0,0.0,41.0,10.8,130,145
9,Allen Crabbe,Atlanta Hawks,15:13,2,4,.500,1,3,.333,0,1,.000,0,2,2,0,2,1,0,0,5,-16,15:13,.563,.625,.750,.250,0.0,17.5,6.9,0.0,5.8,5.3,0.0,11.2,110,126
10,Evan Turner,Atlanta Hawks,15:07,4,7,.571,0,0,0,3,3,1.000,1,4,5,1,2,1,2,4,11,-9,15:07,.661,.571,.000,.429,5.8,35.3,17.4,14.9,5.8,5.3,19.4,26.2,111,122
11,Tyrone Wallace,Atlanta Hawks,10:53,0,1,.000,0,0,0,2,2,1.000,0,0,0,0,0,0,0,0,2,-17,10:53,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,126,147
12,Charlie Brown Jr.,Atlanta Hawks,4:33,0,1,.000,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-2,4:33,.000,.000,.000,.000,19.2,0.0,11.6,0.0,0.0,17.6,0.0,8.4,54,137
13,Chandler Parsons,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,34,90,.378,6,24,.250,27,37,.730,14,24,38,19,11,10,19,27,101,0,240,.475,.411,.267,.411,25.5,66.7,41.8,55.9,10.0,16.7,15.2,100.0,92.1,136.9
0,Terance Mann,Los Angeles Clippers,33:20,6,8,.750,0,0,0,1,1,1.000,0,6,6,8,0,0,2,4,13,+41,33:20,.770,.750,.000,.125,0.0,15.7,9.5,27.9,0.0,0.0,19.2,11.8,148,98
1,Maurice Harkless,Los Angeles Clippers,28:44,3,7,.429,0,0,0,0,0,0,2,5,7,2,2,2,2,1,6,+36,28:44,.429,.429,.000,.000,9.3,15.2,12.9,7.4,3.0,5.1,22.2,11.8,95,89
2,Paul George,Los Angeles Clippers,20:10,10,17,.588,6,11,.545,11,11,1.000,2,2,4,3,2,1,3,0,37,+28,20:10,.847,.765,.647,.647,13.2,8.7,10.5,27.3,4.3,3.6,12.1,46.4,157,90
3,Rodney McGruder,Los Angeles Clippers,18:30,2,3,.667,2,2,1.000,0,0,0,2,0,2,0,0,2,2,5,6,+31,18:30,1.000,1.000,.667,.000,14.4,0.0,5.7,0.0,0.0,7.9,40.0,10.2,117,99
4,Ivica Zubac,Los Angeles Clippers,17:01,3,4,.750,0,0,0,1,1,1.000,1,8,9,4,0,4,2,6,7,+17,17:01,.788,.750,.000,.250,7.8,41.0,27.9,27.2,0.0,17.1,31.1,14.3,133,77
6,Jerome Robinson,Los Angeles Clippers,32:35,8,13,.615,5,7,.714,0,0,0,0,4,4,1,2,2,1,4,21,+26,32:35,.808,.808,.538,.000,0.0,10.7,6.5,3.9,2.7,4.5,7.1,16.2,150,92
7,Montrezl Harrell,Los Angeles Clippers,23:28,7,16,.438,0,0,0,3,5,.600,3,1,4,2,0,1,2,1,17,+21,23:28,.467,.438,.000,.313,17.0,3.7,9.0,11.5,0.0,3.1,9.9,32.4,106,101
8,Lou Williams,Los Angeles Clippers,22:39,5,13,.385,0,4,.000,15,15,1.000,1,5,6,6,0,0,3,0,25,+1,22:39,.638,.385,.308,1.154,5.9,19.3,14.0,32.3,0.0,0.0,13.3,37.6,137,97
