,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tobias Harris,Philadelphia 76ers,30:34,12,14,.857,1,2,.500,2,2,1.000,0,5,5,4,2,2,1,1,27,+23,30:34,.907,.893,.143,.143,0.0,15.4,9.1,23.1,3.1,4.8,6.3,23.9,164,90
1,Al Horford,Philadelphia 76ers,29:10,4,6,.667,1,3,.333,2,3,.667,1,5,6,7,2,2,2,2,11,+9,29:10,.751,.750,.500,.500,4.7,16.1,11.5,29.2,3.3,5.1,21.5,14.7,135,89
2,Josh Richardson,Philadelphia 76ers,28:36,2,12,.167,2,5,.400,2,2,1.000,1,3,4,0,0,1,0,3,8,+10,28:36,.311,.250,.417,.167,4.8,9.9,7.8,0.0,0.0,2.6,0.0,20.7,69,101
3,Ben Simmons,Philadelphia 76ers,25:50,5,8,.625,0,0,0,0,0,0,0,4,4,11,1,2,3,4,10,+14,25:50,.625,.625,.000,.000,0.0,14.6,8.6,55.7,1.9,5.7,27.3,19.6,118,93
4,Joel Embiid,Philadelphia 76ers,22:31,6,13,.462,0,2,.000,2,2,1.000,1,3,4,2,1,1,2,3,14,+14,22:31,.504,.462,.154,.154,6.1,12.5,9.9,12.8,2.1,3.3,12.6,32.4,93,94
6,Mike Scott,Philadelphia 76ers,21:21,2,5,.400,0,2,.000,0,0,0,0,5,5,2,0,0,0,0,4,+2,21:21,.400,.400,.400,.000,0.0,22.0,13.1,10.8,0.0,0.0,0.0,10.8,95,98
7,Furkan Korkmaz,Philadelphia 76ers,18:26,5,8,.625,1,3,.333,2,2,1.000,0,4,4,0,0,1,0,4,13,+15,18:26,.732,.688,.375,.250,0.0,20.4,12.1,0.0,0.0,4.0,0.0,22.1,137,96
8,James Ennis III,Philadelphia 76ers,16:15,5,7,.714,3,4,.750,1,2,.500,1,3,4,0,0,1,1,1,14,0,16:15,.888,.929,.571,.286,8.4,17.4,13.7,0.0,0.0,4.5,11.3,25.1,135,97
9,Trey Burke,Philadelphia 76ers,15:44,2,4,.500,0,1,.000,1,2,.500,0,3,3,4,0,0,0,2,5,+4,15:44,.512,.500,.250,.500,0.0,17.9,10.6,30.6,0.0,0.0,0.0,14.2,128,100
10,Matisse Thybulle,Philadelphia 76ers,15:30,3,5,.600,1,1,1.000,1,2,.500,0,1,1,0,0,0,1,2,8,+6,15:30,.680,.700,.200,.400,0.0,6.1,3.6,0.0,0.0,0.0,14.5,20.4,102,104
11,Raul Neto,Philadelphia 76ers,6:26,0,1,.000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,+1,6:26,.000,.000,.000,.000,0.0,0.0,0.0,32.4,0.0,0.0,0.0,7.1,88,106
12,Kyle O'Quinn,Philadelphia 76ers,6:26,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,2,0,0,+1,6:26,0,0,0,0,0.0,58.5,34.7,16.2,0.0,11.5,100.0,14.3,28,77
13,Shake Milton,Philadelphia 76ers,3:11,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4,3:11,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,28.9,0,106
14,Team Totals,Philadelphia 76ers,240,46,84,.548,9,23,.391,13,17,.765,4,40,44,33,6,11,13,22,114,0,240,.623,.601,.274,.202,11.4,78.4,51.2,71.7,6.0,16.9,12.4,100.0,114.1,95.1
0,Collin Sexton,Cleveland Cavaliers,28:13,7,17,.412,0,2,.000,3,4,.750,3,1,4,1,1,0,1,2,17,+5,28:13,.453,.412,.118,.235,10.0,4.9,7.9,7.7,1.7,0.0,5.1,29.3,98,117
1,Cedi Osman,Cleveland Cavaliers,27:59,2,7,.286,1,4,.250,0,0,0,1,3,4,1,1,0,2,2,5,-19,27:59,.357,.357,.571,.000,3.4,14.7,8.0,5.6,1.7,0.0,22.2,13.5,66,117
2,Tristan Thompson,Cleveland Cavaliers,27:56,5,11,.455,0,1,.000,2,2,1.000,2,7,9,3,1,3,3,1,12,-10,27:56,.505,.455,.091,.182,6.7,34.4,18.0,20.3,1.7,8.5,20.2,22.3,93,106
3,Kevin Love,Cleveland Cavaliers,25:16,3,8,.375,2,5,.400,4,5,.800,0,6,6,0,0,0,0,2,12,-10,25:16,.588,.500,.625,.625,0.0,32.6,13.3,0.0,0.0,0.0,0.0,16.9,126,119
4,Darius Garland,Cleveland Cavaliers,24:48,4,13,.308,1,3,.333,2,2,1.000,0,0,0,2,2,0,2,2,11,-14,24:48,.396,.346,.231,.154,0.0,0.0,0.0,14.7,3.9,0.0,12.6,26.8,78,113
6,Jordan Clarkson,Cleveland Cavaliers,22:32,4,9,.444,1,3,.333,6,7,.857,1,1,2,3,1,1,0,1,15,-1,22:32,.621,.500,.333,.778,4.2,6.1,5.0,25.1,2.1,3.5,0.0,22.5,141,113
7,Alfonzo McKinnie,Cleveland Cavaliers,21:24,2,3,.667,1,1,1.000,2,2,1.000,0,6,6,0,1,0,2,2,7,-5,21:24,.902,.833,.333,.667,0.0,38.5,15.6,0.0,2.2,0.0,34.0,11.5,112,114
8,Brandon Knight,Cleveland Cavaliers,20:02,2,7,.286,0,3,.000,0,0,0,1,0,1,2,1,0,2,2,4,-6,20:02,.286,.286,.429,.000,4.7,0.0,2.8,16.4,2.4,0.0,22.2,18.8,60,116
9,Ante Žižić,Cleveland Cavaliers,16:38,3,6,.500,0,0,0,0,0,0,1,1,2,0,0,1,0,1,6,-13,16:38,.500,.500,.000,.000,5.7,8.2,6.7,0.0,0.0,4.7,0.0,15.1,109,116
10,Kevin Porter Jr.,Cleveland Cavaliers,16:16,1,6,.167,0,3,.000,0,0,0,1,3,4,2,1,0,0,4,2,-15,16:16,.167,.167,.500,.000,5.8,25.3,13.7,19.0,3.0,0.0,0.0,15.5,60,113
11,Matthew Dellavedova,Cleveland Cavaliers,5:30,0,2,.000,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,-11,5:30,.000,.000,.000,.000,0.0,49.9,20.3,0.0,0.0,0.0,50.0,30.5,0,117
12,Tyler Cook,Cleveland Cavaliers,3:26,1,1,1.000,0,0,0,2,2,1.000,1,1,2,0,0,0,0,0,4,+4,3:26,1.064,1.000,.000,2.000,27.4,39.9,32.5,0.0,0.0,0.0,0.0,22.9,226,119
13,Team Totals,Cleveland Cavaliers,240,34,90,.378,6,25,.240,21,24,.875,11,31,42,14,9,5,14,21,95,0,240,.472,.411,.278,.267,21.6,88.6,48.8,41.2,9.0,8.2,12.2,100.0,95.1,114.1
