,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Terrance Ferguson,Oklahoma City Thunder,35:20,2,5,.400,1,4,.250,0,0,0,4,3,7,0,2,0,1,4,5,-5,35:20,.500,.500,.800,.000,12.1,8.3,10.1,0.0,2.9,0.0,16.7,7.8,105,98
1,Chris Paul,Oklahoma City Thunder,33:20,5,10,.500,2,4,.500,10,11,.909,0,4,4,4,4,0,1,3,22,-1,33:20,.741,.600,.400,1.100,0.0,11.8,6.1,27.7,6.1,0.0,6.3,21.9,149,90
2,Danilo Gallinari,Oklahoma City Thunder,31:41,3,13,.231,2,8,.250,6,6,1.000,1,4,5,2,0,0,3,2,14,+3,31:41,.448,.308,.615,.462,3.4,12.4,8.1,12.9,0.0,0.0,16.1,27.1,85,103
3,Shai Gilgeous-Alexander,Oklahoma City Thunder,30:37,4,10,.400,1,4,.250,2,2,1.000,0,1,1,0,1,0,5,5,11,0,30:37,.506,.450,.400,.200,0.0,3.2,1.7,0.0,1.7,0.0,31.5,23.9,66,103
4,Steven Adams,Oklahoma City Thunder,27:02,4,8,.500,0,0,0,1,2,.500,0,10,10,6,2,0,2,2,9,0,27:02,.507,.500,.000,.250,0.0,36.2,18.9,51.0,3.8,0.0,18.4,18.5,99,85
6,Dennis Schröder,Oklahoma City Thunder,29:05,6,17,.353,0,1,.000,0,0,0,0,4,4,2,0,1,4,0,12,+4,29:05,.353,.353,.059,.000,0.0,13.5,7.0,18.2,0.0,3.2,19.0,33.2,60,101
7,Nerlens Noel,Oklahoma City Thunder,20:44,1,2,.500,0,0,0,5,6,.833,3,5,8,3,2,3,0,3,7,-2,20:44,.754,.500,.000,3.000,15.4,23.6,19.7,27.0,4.9,13.6,0.0,10.3,180,80
8,Abdel Nader,Oklahoma City Thunder,15:36,3,5,.600,1,2,.500,1,1,1.000,1,2,3,0,1,0,1,0,8,-4,15:36,.735,.700,.400,.200,6.8,12.6,9.8,0.0,3.3,0.0,15.5,19.0,119,96
9,Darius Bazley,Oklahoma City Thunder,14:13,0,4,.000,0,3,.000,0,0,0,0,2,2,0,0,0,0,0,0,-4,14:13,.000,.000,.750,.000,0.0,13.8,7.2,0.0,0.0,0.0,0.0,12.9,0,103
10,Deonte Burton,Oklahoma City Thunder,2:19,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,-1,2:19,.000,.000,1.000,.000,0.0,42.3,22.0,0.0,0.0,0.0,0.0,19.9,0,91
11,Devon Hall,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mike Muscala,Oklahoma City Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
