,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Langston Galloway,Detroit Pistons,39:58,3,12,.250,3,10,.300,4,4,1.000,0,3,3,1,0,0,3,2,13,-30,39:58,.472,.375,.833,.333,0.0,7.8,3.6,4.9,0.0,0.0,17.9,17.8,80,116
1,Luke Kennard,Detroit Pistons,38:26,4,15,.267,2,7,.286,4,4,1.000,0,1,1,4,1,0,2,2,14,-13,38:26,.418,.333,.467,.267,0.0,2.7,1.2,21.7,1.2,0.0,10.7,20.7,85,115
2,Andre Drummond,Detroit Pistons,33:31,3,10,.300,0,1,.000,0,0,0,2,12,14,4,2,3,3,6,6,-7,33:31,.300,.300,.100,.000,5.2,37.4,19.9,24.2,2.9,6.7,23.1,16.5,64,95
3,Bruce Brown,Detroit Pistons,29:52,1,6,.167,0,2,.000,0,4,.000,0,5,5,6,0,2,1,2,2,-18,29:52,.129,.167,.333,.667,0.0,17.5,8.0,36.5,0.0,5.0,11.4,12.5,51,110
4,Blake Griffin,Detroit Pistons,29:48,4,15,.267,1,5,.200,7,9,.778,5,3,8,1,1,0,4,1,16,-26,29:48,.422,.300,.333,.600,14.6,10.5,12.8,7.5,1.6,0.0,17.4,32.7,82,112
6,Derrick Rose,Detroit Pistons,24:26,5,11,.455,0,2,.000,8,9,.889,1,2,3,2,1,0,3,2,18,+5,24:26,.602,.455,.182,.818,3.6,8.5,5.8,21.6,2.0,0.0,16.7,31.2,106,111
7,Christian Wood,Detroit Pistons,18:20,5,9,.556,0,3,.000,2,2,1.000,3,7,10,1,0,3,0,1,12,-2,18:20,.607,.556,.333,.222,14.3,39.8,25.9,17.6,0.0,12.3,0.0,22.9,132,97
8,Svi Mykhailiuk,Detroit Pistons,14:40,1,1,1.000,1,1,1.000,0,0,0,0,0,0,1,0,0,0,2,3,-9,14:40,1.500,1.500,1.000,.000,0.0,0.0,0.0,13.2,0.0,0.0,0.0,2.9,276,118
9,Thon Maker,Detroit Pistons,5:31,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,-9,5:31,0,0,0,0,15.8,0.0,8.6,62.1,0.0,0.0,0,0.0,226,117
10,Markieff Morris,Detroit Pistons,5:28,2,4,.500,1,2,.500,0,0,0,0,1,1,1,1,0,0,0,5,+9,5:28,.625,.625,.500,.000,0.0,19.1,8.7,84.1,8.8,0.0,0.0,31.1,120,93
11,Tony Snell,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tim Frazier,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Detroit Pistons,240,28,83,.337,8,33,.242,25,32,.781,12,34,46,23,6,8,16,20,89,0,240,.458,.386,.398,.386,21.8,73.9,45.5,82.1,6.0,12.5,14.1,100.0,89.1,109.1
0,Wendell Carter Jr.,Chicago Bulls,33:03,3,7,.429,0,0,0,6,8,.750,5,10,15,1,1,1,1,2,12,+21,33:03,.570,.429,.000,1.143,15.8,26.4,21.6,4.2,1.5,2.9,8.7,14.4,129,85
1,Lauri Markkanen,Chicago Bulls,29:05,7,14,.500,3,4,.750,7,11,.636,1,5,6,0,1,2,1,3,24,+15,29:05,.637,.607,.286,.786,3.6,15.0,9.8,0.0,1.7,6.6,5.0,28.1,124,88
