,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jayson Tatum,Boston Celtics,40:34,12,24,.500,5,10,.500,1,2,.500,0,6,6,3,2,2,3,4,30,-6,40:34,.603,.604,.417,.083,0.0,16.0,7.4,15.5,2.5,5.4,10.8,28.6,111,98
1,Marcus Smart,Boston Celtics,40:05,7,20,.350,1,11,.091,0,0,0,2,1,3,8,2,0,0,1,15,-4,40:05,.375,.375,.550,.000,4.6,2.7,3.7,33.3,2.5,0.0,0.0,20.8,105,106
2,Jaylen Brown,Boston Celtics,39:11,3,14,.214,1,8,.125,2,4,.500,1,5,6,1,1,0,3,5,9,-4,39:11,.286,.250,.571,.286,2.4,13.8,7.7,3.7,1.3,0.0,16.0,20.0,59,104
3,Kemba Walker,Boston Celtics,38:44,4,17,.235,3,9,.333,2,3,.667,3,6,9,2,1,0,6,3,13,-8,38:44,.355,.324,.529,.176,7.2,16.8,11.6,7.7,1.3,0.0,24.7,26.2,66,103
4,Daniel Theis,Boston Celtics,31:05,4,8,.500,0,1,.000,0,0,0,7,7,14,6,3,0,1,5,8,-17,31:05,.500,.500,.125,.000,20.9,24.4,22.5,29.9,4.8,0.0,11.1,12.1,131,91
6,Brad Wanamaker,Boston Celtics,27:11,4,8,.500,2,4,.500,4,4,1.000,1,2,3,5,1,0,3,3,14,+6,27:11,.717,.625,.500,.500,3.4,8.0,5.5,29.4,1.8,0.0,23.5,19.6,124,105
7,Grant Williams,Boston Celtics,20:24,1,3,.333,0,1,.000,1,1,1.000,2,0,2,0,0,0,0,0,3,+7,20:24,.436,.333,.333,.333,9.1,0.0,4.9,0.0,0.0,0.0,0.0,7.0,119,113
8,Enes Freedom,Boston Celtics,12:15,4,6,.667,0,0,0,0,0,0,2,4,6,0,1,0,1,0,8,+9,12:15,.667,.667,.000,.000,15.2,35.3,24.5,0.0,4.1,0.0,14.3,23.8,114,89
9,Robert Williams,Boston Celtics,9:23,2,2,1.000,0,0,0,0,0,0,0,2,2,1,0,0,0,0,4,0,9:23,1.000,1.000,.000,.000,0.0,23.1,10.7,19.0,0.0,0.0,0.0,8.9,204,104
10,Semi Ojeleye,Boston Celtics,6:06,0,2,.000,0,1,.000,0,0,0,0,2,2,0,0,0,0,1,0,+2,6:06,.000,.000,.500,.000,0.0,35.5,16.4,0.0,0.0,0.0,0.0,13.7,0,99
11,Carsen Edwards,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Javonte Green,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Vincent Poirier,Boston Celtics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Boston Celtics,265,41,104,.394,12,45,.267,10,14,.714,18,35,53,26,11,2,17,22,104,0,265,.472,.452,.433,.135,31.6,71.4,50.0,63.4,10.4,4.2,13.4,100.0,98.5,101.3
0,Patrick Beverley,Los Angeles Clippers,40:41,5,11,.455,4,7,.571,0,0,0,4,12,16,7,3,2,2,4,14,+17,40:41,.636,.636,.636,.000,10.6,27.4,19.7,28.1,3.7,4.4,15.4,13.8,134,88
1,Kawhi Leonard,Los Angeles Clippers,37:37,7,20,.350,3,10,.300,0,0,0,0,6,6,3,3,2,5,2,17,-2,37:37,.425,.425,.500,.000,0.0,14.8,8.0,14.5,4.0,4.8,20.0,28.6,75,94
2,Paul George,Los Angeles Clippers,37:28,8,18,.444,4,11,.364,5,6,.833,0,5,5,8,0,1,5,2,25,+17,37:28,.606,.556,.611,.333,0.0,12.4,6.7,40.9,0.0,2.4,19.5,29.5,112,105
