,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Andrew Wiggins,Minnesota Timberwolves,36:28,9,19,.474,3,6,.500,4,6,.667,0,6,6,1,2,0,2,2,25,+13,36:28,.578,.553,.316,.316,0.0,18.8,8.9,4.5,2.5,0.0,8.5,26.2,109,107
1,Karl-Anthony Towns,Minnesota Timberwolves,31:47,8,19,.421,3,8,.375,9,10,.900,5,8,13,8,0,2,5,4,28,+5,31:47,.598,.500,.421,.526,16.1,28.8,22.1,41.8,0.0,4.9,17.6,36.1,122,106
2,Robert Covington,Minnesota Timberwolves,24:06,1,8,.125,1,5,.200,2,2,1.000,2,3,5,4,2,0,3,4,5,+5,24:06,.282,.188,.625,.250,8.5,14.2,11.2,20.4,3.8,0.0,25.3,19.9,76,105
3,Jarrett Culver,Minnesota Timberwolves,23:59,4,11,.364,0,1,.000,6,9,.667,4,1,5,3,2,0,0,0,14,+8,23:59,.468,.364,.091,.818,17.0,4.8,11.2,18.2,3.8,0.0,0.0,25.2,125,107
4,Treveon Graham,Minnesota Timberwolves,22:56,3,5,.600,1,2,.500,0,0,0,0,4,4,1,0,1,1,5,7,+1,22:56,.700,.700,.400,.000,0.0,19.9,9.4,6.0,0.0,3.4,16.7,10.6,115,109
6,Jeff Teague,Minnesota Timberwolves,30:52,2,8,.250,0,3,.000,4,4,1.000,0,2,2,8,2,0,1,3,8,+9,30:52,.410,.250,.375,.500,0.0,7.4,3.5,32.8,2.9,0.0,9.3,14.1,117,108
7,Keita Bates-Diop,Minnesota Timberwolves,23:57,5,8,.625,2,4,.500,1,3,.333,2,3,5,0,1,2,0,0,13,+10,23:57,.697,.750,.500,.375,8.5,14.3,11.3,0.0,1.9,6.5,0.0,15.7,143,104
8,Josh Okogie,Minnesota Timberwolves,18:41,2,2,1.000,1,1,1.000,2,2,1.000,1,1,2,1,0,0,1,2,7,+2,18:41,1.215,1.250,.500,1.000,5.5,6.1,5.8,7.2,0.0,0.0,25.8,8.4,172,115
9,Gorgui Dieng,Minnesota Timberwolves,16:13,5,6,.833,3,3,1.000,0,0,0,0,2,2,0,1,1,0,3,13,+7,16:13,1.083,1.083,.500,.000,0.0,14.1,6.7,0.0,2.8,4.8,0.0,14.9,201,103
10,Kelan Martin,Minnesota Timberwolves,7:19,1,3,.333,1,2,.500,0,0,0,0,3,3,1,0,0,0,1,3,+5,7:19,.500,.500,.667,.000,0.0,46.9,22.1,19.0,0.0,0.0,0.0,16.6,122,106
11,Jordan Bell,Minnesota Timberwolves,3:42,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-5,3:42,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,200,116
12,Noah Vonleh,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jaylen Nowell,Minnesota Timberwolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Minnesota Timberwolves,240,41,90,.456,15,35,.429,28,36,.778,14,33,47,27,10,6,13,25,125,0,240,.591,.539,.389,.400,29.8,78.6,52.8,65.9,9.5,9.7,10.9,100.0,118.5,107.1
0,De'Andre Hunter,Atlanta Hawks,37:16,3,10,.300,1,4,.250,0,0,0,0,3,3,2,0,1,5,3,7,-9,37:16,.350,.350,.400,.000,0.0,8.2,4.3,6.9,0.0,2.3,33.3,15.8,52,124
1,Trae Young,Atlanta Hawks,34:34,11,28,.393,5,11,.455,10,11,.909,2,4,6,9,0,0,7,2,37,-7,34:34,.563,.482,.393,.393,6.6,11.8,9.4,48.6,0.0,0.0,17.6,45.2,105,124
2,Jabari Parker,Atlanta Hawks,33:44,9,16,.563,1,4,.250,3,4,.750,3,4,7,2,2,0,0,5,22,-11,33:44,.619,.594,.250,.250,10.2,12.1,11.2,10.1,2.7,0.0,0.0,20.6,134,117
3,Cam Reddish,Atlanta Hawks,28:53,2,10,.200,0,5,.000,3,3,1.000,0,3,3,3,0,0,0,2,7,+2,28:53,.309,.200,.500,.300,0.0,10.6,5.6,13.2,0.0,0.0,0.0,15.4,82,124
4,Damian Jones,Atlanta Hawks,18:57,3,3,1.000,0,0,0,1,2,.500,0,3,3,0,0,2,0,4,7,-15,18:57,.902,1.000,.000,.667,0.0,16.2,8.5,0.0,0.0,9.2,0.0,8.0,177,117
6,Allen Crabbe,Atlanta Hawks,22:42,3,7,.429,1,4,.250,0,0,0,1,6,7,1,1,0,0,1,7,-7,22:42,.500,.500,.571,.000,5.0,27.0,16.6,6.1,2.0,0.0,0.0,12.1,112,114
7,Bruno Fernando,Atlanta Hawks,17:23,5,6,.833,1,1,1.000,2,2,1.000,2,2,4,1,1,1,2,4,13,-4,17:23,.945,.917,.167,.333,13.1,11.8,12.4,10.2,2.6,5.0,22.5,20.0,141,114
8,Vince Carter,Atlanta Hawks,15:55,1,4,.250,1,3,.333,0,0,0,0,1,1,1,0,0,0,2,3,-5,15:55,.375,.375,.750,.000,0.0,6.4,3.4,7.9,0.0,0.0,0.0,9.9,89,126
9,DeAndre' Bembry,Atlanta Hawks,15:54,3,4,.750,0,0,0,1,2,.500,1,2,3,1,1,0,1,1,7,-7,15:54,.717,.750,.000,.500,7.2,12.8,10.2,9.5,2.9,0.0,17.0,14.5,122,117
10,Evan Turner,Atlanta Hawks,10:48,1,5,.200,0,0,0,1,2,.500,0,4,4,5,0,0,1,0,3,-3,10:48,.255,.200,.000,.400,0.0,37.8,20.0,60.8,0.0,0.0,14.5,25.0,79,115
11,Alex Len,Atlanta Hawks,3:54,0,1,.000,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,+6,3:54,.000,.000,.000,.000,0.0,26.2,13.8,30.0,11.7,0.0,50.0,20.1,26,90
12,Tyrone Wallace,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chandler Parsons,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,41,94,.436,10,32,.313,21,26,.808,9,33,42,26,6,4,17,25,113,0,240,.536,.489,.340,.277,21.4,70.2,47.2,63.4,5.7,7.3,13.9,100.0,107.1,118.5
