,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Garrett Temple,Brooklyn Nets,36:29,3,7,.429,1,5,.200,0,0,0,0,5,5,3,1,1,2,3,7,-1,36:29,.500,.500,.714,.000,0.0,13.7,7.1,9.9,1.4,2.1,22.2,11.0,89,113
1,Jarrett Allen,Brooklyn Nets,34:17,9,10,.900,0,0,0,4,5,.800,9,12,21,3,2,2,0,2,22,+7,34:17,.902,.900,.000,.500,28.0,35.0,31.6,13.4,2.9,4.5,0.0,15.8,195,101
2,Spencer Dinwiddie,Brooklyn Nets,33:22,10,24,.417,1,5,.200,2,2,1.000,0,1,1,9,0,3,1,3,23,-1,33:22,.462,.438,.208,.083,0.0,3.0,1.5,43.7,0.0,7.0,3.9,34.5,109,116
3,Taurean Prince,Brooklyn Nets,33:19,7,14,.500,4,6,.667,0,0,0,1,5,6,4,1,0,2,4,18,+9,33:19,.643,.643,.429,.000,3.2,15.0,9.3,17.0,1.5,0.0,12.5,21.4,119,114
4,Joe Harris,Brooklyn Nets,32:59,8,17,.471,3,9,.333,0,0,0,0,6,6,1,2,0,0,0,19,+1,32:59,.559,.559,.529,.000,0.0,18.2,9.4,4.5,3.1,0.0,0.0,22.9,115,110
6,Džanan Musa,Brooklyn Nets,22:48,3,9,.333,1,4,.250,1,2,.500,0,3,3,1,0,0,2,3,8,-1,22:48,.405,.389,.444,.222,0.0,13.2,6.8,5.6,0.0,0.0,16.8,23.2,73,118
7,Iman Shumpert,Brooklyn Nets,18:01,1,6,.167,1,3,.333,0,0,0,1,2,3,1,2,1,0,3,3,+2,18:01,.250,.250,.500,.000,5.9,11.1,8.6,6.4,5.6,4.3,0.0,14.8,76,103
8,Theo Pinson,Brooklyn Nets,16:14,2,5,.400,0,2,.000,2,2,1.000,0,1,1,4,0,0,1,2,6,+2,16:14,.510,.400,.400,.400,0.0,6.2,3.2,31.1,0.0,0.0,14.5,18.9,113,120
9,Nic Claxton,Brooklyn Nets,12:31,1,2,.500,0,0,0,0,0,0,1,1,2,3,0,3,1,1,2,-8,12:31,.500,.500,.000,.000,8.5,8.0,8.2,28.6,0.0,18.6,33.3,10.7,111,106
10,Rodions Kurucs,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,David Nwaba,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Timothé Luwawu-Cabarrot,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Henry Ellenson,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Brooklyn Nets,240,44,94,.468,11,34,.324,9,11,.818,12,36,48,29,8,10,9,21,108,0,240,.546,.527,.362,.117,26.7,75.0,51.6,65.9,8.4,16.1,8.3,100.0,113.3,111.2
0,Larry Nance Jr.,Cleveland Cavaliers,33:29,8,16,.500,2,6,.333,2,2,1.000,5,8,13,2,1,1,1,1,20,+3,33:29,.592,.563,.375,.125,14.9,25.5,20.0,10.0,1.5,2.4,5.6,22.7,127,109
