,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zach LaVine,Chicago Bulls,36:12,13,24,.542,4,9,.444,6,6,1.000,0,5,5,5,2,2,2,2,36,+2,36:12,.676,.625,.375,.250,0.0,16.2,6.9,39.6,2.7,5.1,7.0,33.3,132,105
1,Tomáš Satoranský,Chicago Bulls,35:02,7,12,.583,3,5,.600,2,3,.667,5,2,7,7,2,0,4,2,19,-1,35:02,.713,.708,.417,.250,12.5,6.7,10.0,39.3,2.8,0.0,23.1,20.8,123,111
2,Wendell Carter Jr.,Chicago Bulls,30:30,4,10,.400,0,0,0,0,2,.000,5,4,9,0,2,0,1,4,8,-11,30:30,.368,.400,.000,.200,14.3,15.4,14.8,0.0,3.2,0.0,8.4,16.4,84,106
3,Lauri Markkanen,Chicago Bulls,25:18,3,10,.300,1,4,.250,1,1,1.000,1,3,4,3,1,0,2,2,8,+4,25:18,.383,.350,.400,.100,3.4,13.9,7.9,20.1,1.9,0.0,16.1,20.7,80,110
4,Chandler Hutchison,Chicago Bulls,2:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,2:07,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,119
6,Coby White,Chicago Bulls,26:02,0,7,.000,0,4,.000,2,2,1.000,0,1,1,0,2,0,3,0,2,-19,26:02,.127,.000,.571,.286,0.0,4.5,1.9,0.0,3.8,0.0,27.6,17.6,21,109
7,Thaddeus Young,Chicago Bulls,21:11,2,7,.286,1,1,1.000,1,2,.500,1,5,6,1,2,0,2,1,6,-20,21:11,.381,.357,.143,.286,4.1,27.6,14.2,7.7,4.7,0.0,20.2,19.7,71,99
8,Kris Dunn,Chicago Bulls,18:42,0,5,.000,0,2,.000,0,0,0,0,3,3,3,1,0,0,6,0,-3,18:42,.000,.000,.400,.000,0.0,18.8,8.0,22.6,2.6,0.0,0.0,11.3,34,106
9,Ryan Arcidiacono,Chicago Bulls,13:04,1,3,.333,0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,-19,13:04,.333,.333,.000,.000,0.0,9.0,3.8,12.1,3.8,0.0,40.0,16.1,48,108
10,Luke Kornet,Chicago Bulls,10:22,0,1,.000,0,1,.000,0,0,0,0,1,1,0,1,2,0,2,0,+3,10:22,.000,.000,1.000,.000,0.0,11.3,4.8,0.0,4.8,17.8,0.0,4.1,0,95
11,Daniel Gafford,Chicago Bulls,8:39,1,1,1.000,0,0,0,0,2,.000,1,2,3,0,0,0,0,0,2,-4,8:39,.532,1.000,.000,2.000,10.1,27.1,17.3,0.0,0.0,0.0,0.0,9.2,104,110
12,Shaquille Harrison,Chicago Bulls,7:17,3,7,.429,1,2,.500,0,0,0,1,0,1,0,0,0,1,0,7,0,7:17,.500,.500,.286,.000,12.0,0.0,6.9,0.0,0.0,0.0,12.5,46.3,87,119
13,Denzel Valentine,Chicago Bulls,5:34,0,2,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,-4,5:34,.000,.000,.500,.000,0.0,21.0,9.0,0.0,0.0,0.0,0.0,15.1,0,112
14,Team Totals,Chicago Bulls,240,34,89,.382,10,29,.345,12,18,.667,14,28,42,20,14,4,17,20,90,0,240,.464,.438,.326,.202,25.5,68.3,43.8,58.8,14.4,7.7,14.9,100.0,92.5,106.8
0,Eric Paschall,Golden State Warriors,35:41,9,17,.529,2,2,1.000,5,6,.833,3,4,7,3,0,0,1,0,25,+10,35:41,.636,.588,.118,.353,9.8,9.8,9.8,16.2,0.0,0.0,4.8,24.7,134,102
1,Alec Burks,Golden State Warriors,35:20,9,19,.474,3,8,.375,2,3,.667,2,8,10,7,0,0,2,3,23,+7,35:20,.566,.553,.421,.158,6.6,19.8,14.2,38.4,0.0,0.0,9.0,27.0,120,97
2,Glenn Robinson III,Golden State Warriors,34:21,4,11,.364,2,6,.333,1,2,.500,0,1,1,3,2,1,0,1,11,+12,34:21,.463,.455,.545,.182,0.0,2.5,1.5,13.3,2.9,2.3,0.0,14.8,111,97
3,Draymond Green,Golden State Warriors,23:38,2,3,.667,1,1,1.000,2,4,.500,0,5,5,8,3,2,5,3,7,+9,23:38,.735,.833,.333,1.333,0.0,18.5,10.6,49.3,6.3,6.8,51.2,17.6,93,79
4,Willie Cauley-Stein,Golden State Warriors,16:36,0,5,.000,0,0,0,3,4,.750,3,6,9,3,1,1,3,1,3,+1,16:36,.222,.000,.000,.800,21.2,31.5,27.1,23.4,3.0,4.8,30.7,25.1,67,83
6,Ky Bowman,Golden State Warriors,27:40,1,4,.250,1,4,.250,2,2,1.000,0,3,3,3,0,0,2,2,5,+3,27:40,.512,.375,1.000,.500,0.0,9.5,5.4,14.8,0.0,0.0,29.1,10.6,95,102
7,Omari Spellman,Golden State Warriors,24:23,5,11,.455,1,3,.333,2,2,1.000,4,7,11,1,2,3,1,1,13,+15,24:23,.547,.500,.273,.182,19.2,25.1,22.6,7.2,4.0,9.8,7.8,22.5,119,80
8,Jordan Poole,Golden State Warriors,22:02,2,6,.333,0,4,.000,2,3,.667,0,3,3,2,0,0,3,2,6,+7,22:02,.410,.333,.667,.500,0.0,11.9,6.8,13.3,0.0,0.0,29.1,20.0,70,101
9,Marquese Chriss,Golden State Warriors,20:19,5,5,1.000,1,1,1.000,0,0,0,1,4,5,1,4,2,3,4,11,+6,20:19,1.100,1.100,.200,.000,5.8,17.2,12.3,9.4,9.7,7.9,37.5,16.8,104,71
10,D'Angelo Russell,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jacob Evans,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Kevon Looney,Golden State Warriors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Golden State Warriors,240,37,81,.457,11,29,.379,19,26,.731,13,41,54,31,12,9,20,17,104,0,240,.563,.525,.358,.321,31.7,74.5,56.3,83.8,12.3,15.0,17.8,100.0,106.8,92.5
