,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Giannis Antetokounmpo,Milwaukee Bucks,32:03,14,26,.538,2,8,.250,3,4,.750,3,9,12,2,2,2,3,0,33,+10,32:03,.594,.577,.308,.154,10.2,30.6,20.4,12.5,3.1,5.5,9.8,41.5,112,103
1,Wesley Matthews,Milwaukee Bucks,27:10,2,6,.333,0,1,.000,2,2,1.000,0,3,3,4,0,0,1,2,6,+1,27:10,.436,.333,.167,.333,0.0,12.0,6.0,17.0,0.0,0.0,12.7,12.5,104,118
2,Donte DiVincenzo,Milwaukee Bucks,26:20,3,8,.375,3,6,.500,2,4,.500,1,4,5,2,2,0,1,4,11,+10,26:20,.564,.563,.750,.500,4.1,16.6,10.4,9.2,3.7,0.0,9.3,17.7,114,107
3,Brook Lopez,Milwaukee Bucks,26:05,4,8,.500,0,3,.000,0,0,0,0,7,7,3,1,1,0,1,8,0,26:05,.500,.500,.375,.000,0.0,29.3,14.6,14.7,1.9,3.4,0.0,13.2,118,107
4,Eric Bledsoe,Milwaukee Bucks,25:31,4,6,.667,1,3,.333,1,2,.500,0,3,3,5,0,1,4,2,10,+1,25:31,.727,.750,.500,.333,0.0,12.8,6.4,25.1,0.0,3.5,36.8,18.4,101,114
6,Pat Connaughton,Milwaukee Bucks,23:47,0,3,.000,0,1,.000,3,4,.750,1,5,6,1,2,0,1,1,3,+9,23:47,.315,.000,.333,1.333,4.6,22.9,13.8,4.5,4.1,0.0,17.4,10.5,79,106
7,Khris Middleton,Milwaukee Bucks,23:17,5,10,.500,0,2,.000,2,2,1.000,2,2,4,5,0,0,1,1,12,+3,23:17,.551,.500,.200,.200,9.4,9.4,9.4,29.7,0.0,0.0,8.4,22.0,127,118
8,George Hill,Milwaukee Bucks,22:17,6,10,.600,4,6,.667,2,2,1.000,1,1,2,4,0,0,0,0,18,+9,22:17,.827,.800,.600,.200,4.9,4.9,4.9,26.9,0.0,0.0,0.0,21.1,174,120
9,Ersan İlyasova,Milwaukee Bucks,18:53,4,7,.571,1,3,.333,1,1,1.000,0,0,0,0,0,0,0,1,10,0,18:53,.672,.643,.429,.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,134,120
10,Robin Lopez,Milwaukee Bucks,14:28,3,4,.750,1,1,1.000,1,2,.500,3,2,5,2,0,0,2,3,8,+2,14:28,.820,.875,.250,.500,22.6,15.1,18.9,18.9,0.0,0.0,29.1,20.5,130,116
11,Frank Mason III,Milwaukee Bucks,0:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
12,D.J. Wilson,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Milwaukee Bucks,240,45,88,.511,12,34,.353,17,23,.739,11,36,47,28,7,4,13,15,119,0,240,.606,.580,.386,.261,25.0,81.8,53.4,62.2,7.1,7.4,11.7,100.0,121.3,112.2
0,Cedi Osman,Cleveland Cavaliers,38:00,8,13,.615,3,6,.500,1,1,1.000,0,2,2,4,2,0,2,3,20,+1,38:00,.744,.731,.462,.077,0.0,5.7,2.9,14.9,2.6,0.0,13.0,18.3,128,121
1,Darius Garland,Cleveland Cavaliers,35:15,8,14,.571,5,7,.714,0,0,0,0,1,1,6,0,0,1,0,21,-3,35:15,.750,.750,.500,.000,0.0,3.1,1.5,24.7,0.0,0.0,6.7,19.2,141,128
2,Collin Sexton,Cleveland Cavaliers,31:43,7,15,.467,1,2,.500,1,2,.500,1,0,1,5,3,0,1,5,16,-2,31:43,.504,.500,.133,.133,3.4,0.0,1.7,22.7,4.6,0.0,5.9,24.0,110,118
3,Kevin Love,Cleveland Cavaliers,31:15,6,11,.545,4,8,.500,0,0,0,0,8,8,7,0,0,2,3,16,-2,31:15,.727,.727,.727,.000,0.0,27.9,14.0,30.9,0.0,0.0,15.4,18.8,131,121
4,Tristan Thompson,Cleveland Cavaliers,30:46,5,12,.417,0,0,0,1,4,.250,5,8,13,3,1,0,1,4,11,-2,30:46,.400,.417,.000,.333,17.7,28.4,23.0,12.9,1.6,0.0,6.8,21.6,102,118
6,Larry Nance Jr.,Cleveland Cavaliers,26:47,7,8,.875,3,4,.750,1,2,.500,1,8,9,1,0,1,2,2,18,-4,26:47,1.014,1.063,.500,.250,4.1,32.6,18.3,5.7,0.0,3.3,18.4,18.3,142,118
7,Jordan Clarkson,Cleveland Cavaliers,19:34,3,9,.333,1,4,.250,1,1,1.000,0,2,2,5,0,0,3,2,8,-7,19:34,.424,.389,.444,.111,0.0,11.2,5.6,33.5,0.0,0.0,24.1,28.7,84,125
8,Kevin Porter Jr.,Cleveland Cavaliers,12:54,0,2,.000,0,1,.000,0,0,0,0,3,3,0,0,0,2,2,0,-8,12:54,.000,.000,.500,.000,0.0,25.4,12.7,0.0,0.0,0.0,50.0,14.0,0,122
