,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devonte' Graham,Charlotte Hornets,37:28,6,14,.429,4,7,.571,0,0,0,0,1,1,8,0,2,2,0,16,+6,37:28,.571,.571,.500,.000,0.0,3.2,1.6,31.7,0.0,5.3,12.5,20.6,123,129
1,Terry Rozier,Charlotte Hornets,34:53,8,15,.533,6,9,.667,1,1,1.000,1,3,4,2,2,0,0,3,23,+7,34:53,.745,.733,.600,.067,3.3,10.3,6.7,9.5,3.1,0.0,0.0,21.3,153,121
2,P.J. Washington,Charlotte Hornets,34:30,9,12,.750,3,3,1.000,5,7,.714,0,5,5,3,4,0,1,3,26,+12,34:30,.862,.875,.250,.583,0.0,17.4,8.5,15.2,6.4,0.0,6.2,22.5,163,111
3,Bismack Biyombo,Charlotte Hornets,33:51,6,12,.500,0,0,0,1,3,.333,5,4,9,2,0,2,3,2,13,+5,33:51,.488,.500,.000,.250,16.9,14.2,15.6,9.0,0.0,5.9,18.4,23.2,101,124
4,Miles Bridges,Charlotte Hornets,27:36,6,13,.462,2,6,.333,2,2,1.000,3,4,7,3,0,2,0,2,16,-13,27:36,.576,.538,.462,.154,12.4,17.4,14.8,17.6,0.0,7.2,0.0,24.2,139,122
6,Nicolas Batum,Charlotte Hornets,26:44,0,3,.000,0,3,.000,0,0,0,2,3,5,2,1,0,0,2,0,+6,26:44,.000,.000,1.000,.000,8.6,13.5,10.9,9.0,2.0,0.0,0.0,5.4,88,123
7,Marvin Williams,Charlotte Hornets,22:50,3,8,.375,3,7,.429,0,0,0,0,3,3,4,1,0,2,3,9,-5,22:50,.563,.563,.875,.000,0.0,15.8,7.7,25.0,2.4,0.0,20.0,21.1,107,120
8,Malik Monk,Charlotte Hornets,22:08,2,6,.333,1,3,.333,2,2,1.000,0,3,3,2,0,0,2,2,7,-3,22:08,.509,.417,.500,.333,0.0,16.3,7.9,12.2,0.0,0.0,22.5,19.3,93,126
9,Michael Kidd-Gilchrist,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Willy Hernangómez,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dwayne Bacon,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Charlotte Hornets,240,40,83,.482,19,38,.500,11,15,.733,11,26,37,26,8,6,10,17,110,0,240,.614,.596,.458,.181,26.2,65.0,45.1,65.0,9.1,12.5,10.0,100.0,125.6,122.1
0,Andre Drummond,Detroit Pistons,37:38,7,12,.583,0,0,0,1,4,.250,8,11,19,3,1,2,4,4,15,-3,37:38,.545,.583,.000,.333,25.5,33.4,29.6,11.9,1.5,5.7,22.5,21.6,108,116
1,Luke Kennard,Detroit Pistons,33:19,8,17,.471,5,10,.500,0,0,0,0,1,1,4,0,1,0,3,21,-8,33:19,.618,.618,.588,.000,0.0,3.4,1.8,19.6,0.0,3.2,0.0,23.4,142,131
2,Blake Griffin,Detroit Pistons,31:44,6,13,.462,1,7,.143,4,7,.571,1,3,4,3,0,1,2,2,17,-5,31:44,.529,.500,.538,.538,3.8,10.8,7.4,14.2,0.0,3.4,11.1,26.1,110,129
3,Langston Galloway,Detroit Pistons,27:11,1,4,.250,1,4,.250,1,1,1.000,1,3,4,1,2,0,1,0,4,-8,27:11,.450,.375,1.000,.250,4.4,12.6,8.6,4.5,4.0,0.0,18.4,9.2,100,121
4,Bruce Brown,Detroit Pistons,26:16,2,6,.333,0,1,.000,0,0,0,0,4,4,5,1,0,1,3,4,0,26:16,.333,.333,.167,.000,0.0,17.4,8.9,24.5,2.1,0.0,14.3,12.2,101,124
6,Derrick Rose,Detroit Pistons,21:52,8,12,.667,3,4,.750,4,6,.667,0,2,2,4,0,0,1,1,23,-3,21:52,.786,.792,.333,.500,0.0,10.5,5.4,37.5,0.0,0.0,6.4,32.8,155,131
7,Tony Snell,Detroit Pistons,20:57,3,4,.750,3,4,.750,0,0,0,0,4,4,2,0,0,3,0,9,+5,20:57,1.125,1.125,1.000,.000,0.0,21.8,11.2,13.4,0.0,0.0,42.9,15.3,108,128
8,Markieff Morris,Detroit Pistons,16:16,4,6,.667,1,2,.500,0,0,0,1,0,1,3,1,0,1,2,9,+2,16:16,.750,.750,.333,.000,7.4,0.0,3.6,30.3,3.4,0.0,14.3,19.7,144,126
9,Svi Mykhailiuk,Detroit Pistons,14:33,1,5,.200,1,3,.333,0,0,0,2,0,2,2,0,0,0,1,3,+5,14:33,.300,.300,.600,.000,16.5,0.0,8.0,17.5,0.0,0.0,0.0,15.7,114,134
10,Christian Wood,Detroit Pistons,10:14,1,4,.250,0,0,0,0,2,.000,1,3,4,0,0,0,0,0,2,0,10:14,.205,.250,.000,.500,11.7,33.5,22.9,0.0,0.0,0.0,0.0,21.8,60,124
11,Thon Maker,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Tim Frazier,Detroit Pistons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Detroit Pistons,240,41,83,.494,15,35,.429,10,20,.500,14,31,45,27,5,4,13,16,107,0,240,.583,.584,.422,.241,35.0,73.8,54.9,65.9,5.7,8.9,12.4,100.0,122.1,125.6
