,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luka Dončić,Dallas Mavericks,32:41,10,23,.435,4,10,.400,3,3,1.000,2,7,9,10,3,0,7,1,27,+5,32:41,.555,.522,.435,.130,5.6,23.4,13.8,53.8,4.4,0.0,22.3,39.0,106,94
1,Dwight Powell,Dallas Mavericks,32:25,6,11,.545,0,1,.000,3,5,.600,3,6,9,0,1,0,1,3,15,+5,32:25,.568,.545,.091,.455,8.5,20.2,13.9,0.0,1.5,0.0,7.0,17.8,118,101
2,Tim Hardaway Jr.,Dallas Mavericks,30:31,3,10,.300,0,7,.000,2,2,1.000,0,2,2,1,2,0,2,1,8,0,30:31,.368,.300,.700,.200,0.0,7.1,3.3,4.2,3.2,0.0,15.5,17.2,73,101
3,Kristaps Porziņģis,Dallas Mavericks,27:49,5,11,.455,3,8,.375,2,4,.500,2,4,6,0,1,0,2,4,15,+12,27:49,.588,.591,.727,.364,6.6,15.7,10.8,0.0,1.7,0.0,13.6,21.6,107,102
4,Dorian Finney-Smith,Dallas Mavericks,21:23,2,7,.286,2,5,.400,0,0,0,4,1,5,0,0,1,0,2,6,+1,21:23,.429,.429,.714,.000,17.3,5.1,11.7,0.0,0.0,3.7,0.0,13.3,120,105
6,Delon Wright,Dallas Mavericks,27:33,7,12,.583,3,6,.500,0,0,0,1,4,5,9,4,0,0,3,17,+16,27:33,.708,.708,.500,.000,3.4,15.8,9.1,52.6,7.0,0.0,0.0,17.7,170,90
7,Maxi Kleber,Dallas Mavericks,22:07,1,4,.250,1,2,.500,3,4,.750,2,7,9,2,0,0,0,3,6,+4,22:07,.521,.375,.500,1.000,8.3,34.5,20.3,10.9,0.0,0.0,0.0,10.6,143,101
8,Seth Curry,Dallas Mavericks,15:33,1,5,.200,1,4,.250,0,0,0,0,1,1,0,0,0,1,1,3,+12,15:33,.300,.300,.800,.000,0.0,7.0,3.2,0.0,0.0,0.0,16.7,15.7,55,107
9,Justin Jackson,Dallas Mavericks,15:26,6,10,.600,3,5,.600,0,0,0,0,1,1,0,0,0,0,0,15,+5,15:26,.750,.750,.500,.000,0.0,7.1,3.2,0.0,0.0,0.0,0.0,26.4,144,108
10,Jalen Brunson,Dallas Mavericks,10:30,0,3,.000,0,1,.000,0,0,0,1,1,2,2,0,0,0,1,0,+5,10:30,.000,.000,.333,.000,8.8,10.4,9.5,21.8,0.0,0.0,0.0,11.6,65,107
11,Boban Marjanović,Dallas Mavericks,4:02,1,1,1.000,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,+5,4:02,1.000,1.000,.000,.000,22.9,27.0,24.8,0.0,0.0,0.0,0.0,10.1,211,103
12,Courtney Lee,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,J.J. Barea,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Dallas Mavericks,240,42,97,.433,17,49,.347,13,18,.722,16,35,51,24,11,1,13,20,114,0,240,.543,.521,.505,.186,30.8,79.5,53.1,57.1,11.0,1.7,11.0,100.0,114.5,100.4
0,LeBron James,Los Angeles Lakers,36:25,11,20,.550,0,5,.000,3,3,1.000,0,9,9,8,4,0,6,3,25,-16,36:25,.586,.550,.250,.150,0.0,22.8,12.4,41.3,5.3,0.0,22.0,32.4,99,103
1,Anthony Davis,Los Angeles Lakers,35:50,10,21,.476,1,2,.500,6,6,1.000,2,8,10,2,1,2,2,2,27,-7,35:50,.571,.500,.095,.286,6.1,20.6,14.0,10.1,1.3,5.6,7.8,30.9,112,111
2,Danny Green,Los Angeles Lakers,27:53,3,10,.300,2,8,.250,0,0,0,0,2,2,1,1,0,1,0,8,-4,27:53,.400,.400,.800,.000,0.0,6.6,3.6,4.9,1.7,0.0,9.1,17.1,77,119
3,Kentavious Caldwell-Pope,Los Angeles Lakers,23:39,3,7,.429,1,2,.500,0,0,0,0,3,3,2,1,0,1,3,7,-11,23:39,.500,.500,.286,.000,0.0,11.7,6.3,12.0,2.0,0.0,12.5,14.6,94,115
4,JaVale McGee,Los Angeles Lakers,15:40,2,5,.400,0,0,0,0,0,0,4,6,10,0,1,1,0,1,4,-4,15:40,.400,.400,.000,.000,27.9,35.4,31.9,0.0,3.1,6.4,0.0,13.8,113,100
6,Alex Caruso,Los Angeles Lakers,25:01,4,5,.800,2,2,1.000,0,0,0,1,3,4,1,0,0,2,1,10,+7,25:01,1.000,1.000,.400,.000,4.4,11.1,8.0,5.9,0.0,0.0,28.6,12.1,126,121
7,Kyle Kuzma,Los Angeles Lakers,21:24,1,8,.125,0,5,.000,2,3,.667,0,1,1,1,0,0,1,2,4,-15,21:24,.215,.125,.625,.375,0.0,4.3,2.3,5.9,0.0,0.0,9.7,20.8,48,124
8,Rajon Rondo,Los Angeles Lakers,18:02,2,3,.667,0,0,0,0,0,0,0,1,1,7,0,0,3,0,4,-18,18:02,.667,.667,.000,.000,0.0,5.1,2.8,53.7,0.0,0.0,50.0,14.4,98,124
9,Troy Daniels,Los Angeles Lakers,17:24,2,4,.500,1,2,.500,0,0,0,0,1,1,0,0,0,1,1,5,-4,17:24,.625,.625,.500,.000,0.0,5.3,2.9,0.0,0.0,0.0,20.0,12.4,91,123
10,Dwight Howard,Los Angeles Lakers,12:22,2,3,.667,0,0,0,0,2,.000,1,2,3,2,0,0,0,1,4,-8,12:22,.515,.667,.000,.667,8.8,14.9,12.1,24.1,0.0,0.0,0.0,13.6,122,119
