,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dorian Finney-Smith,Dallas Mavericks,37:16,3,8,.375,0,3,.000,1,1,1.000,0,3,3,1,1,0,2,3,7,+22,37:16,.415,.375,.375,.125,0.0,7.7,3.9,3.8,1.3,0.0,19.2,12.2,73,102
1,Luka Dončić,Dallas Mavericks,28:29,9,18,.500,5,12,.417,10,13,.769,2,16,18,5,0,0,4,0,33,+16,28:29,.696,.639,.667,.722,7.0,53.9,31.0,36.9,0.0,0.0,14.4,42.5,128,93
2,Dwight Powell,Dallas Mavericks,26:19,3,3,1.000,0,0,0,0,1,.000,0,4,4,0,1,0,0,1,6,+15,26:19,.872,1.000,.000,.333,0.0,14.6,7.4,0.0,1.8,0.0,0.0,5.7,165,99
3,Tim Hardaway Jr.,Dallas Mavericks,25:28,5,11,.455,2,7,.286,0,0,0,0,3,3,2,1,1,1,0,12,-3,25:28,.545,.545,.636,.000,0.0,11.3,5.8,13.2,1.9,3.6,8.3,20.6,105,98
4,Kristaps Porziņģis,Dallas Mavericks,17:34,2,11,.182,1,3,.333,2,2,1.000,2,4,6,1,0,5,1,4,7,-13,17:34,.295,.227,.273,.182,11.4,21.9,16.7,8.4,0.0,25.8,7.8,32.0,75,82
6,Seth Curry,Dallas Mavericks,27:04,6,11,.545,5,7,.714,2,2,1.000,0,4,4,1,0,0,1,4,19,+32,27:04,.800,.773,.636,.182,0.0,14.2,7.2,6.5,0.0,0.0,7.8,20.8,141,103
7,Delon Wright,Dallas Mavericks,24:15,1,6,.167,1,3,.333,2,2,1.000,1,3,4,5,1,1,1,1,5,+13,24:15,.363,.250,.500,.333,4.1,11.9,8.1,27.5,2.0,3.7,12.7,14.2,105,97
8,Maxi Kleber,Dallas Mavericks,20:54,3,5,.600,2,3,.667,4,4,1.000,4,0,4,0,0,1,0,0,12,+19,20:54,.888,.800,.600,.800,19.1,0.0,9.4,0.0,0.0,4.3,0.0,14.1,193,104
9,Justin Jackson,Dallas Mavericks,16:30,2,6,.333,1,4,.250,0,0,0,1,2,3,0,1,0,0,1,5,+1,16:30,.417,.417,.667,.000,6.1,11.6,8.9,0.0,2.9,0.0,0.0,15.9,95,97
10,J.J. Barea,Dallas Mavericks,10:58,3,7,.429,2,3,.667,0,0,0,0,2,2,6,0,0,0,0,8,+2,10:58,.571,.571,.429,.000,0.0,17.5,8.9,100.0,0.0,0.0,0.0,27.9,150,103
11,Jalen Brunson,Dallas Mavericks,5:13,1,2,.500,0,0,0,2,2,1.000,0,0,0,1,0,0,0,0,4,+1,5:13,.694,.500,.000,1.000,0.0,0.0,0.0,32.0,0.0,0.0,0.0,24.1,159,107
12,Courtney Lee,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Boban Marjanović,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Dallas Mavericks,240,38,88,.432,19,45,.422,23,27,.852,10,41,51,22,5,8,10,14,118,0,240,.591,.540,.511,.307,20.8,82.0,52.0,57.9,5.1,15.1,9.1,100.0,119.3,98.0
0,Brandon Ingram,New Orleans Pelicans,36:53,8,16,.500,1,3,.333,7,7,1.000,0,5,5,6,3,1,1,2,24,-10,36:53,.629,.531,.188,.438,0.0,13.6,6.6,28.3,3.9,3.0,5.0,23.4,131,112
