,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelly Oubre Jr.,Phoenix Suns,47:01,6,21,.286,1,4,.250,1,3,.333,6,9,15,1,3,4,3,4,14,-5,47:01,.314,.310,.190,.143,12.8,26.7,18.6,2.6,2.9,9.8,11.8,21.0,79,109
1,Devin Booker,Phoenix Suns,42:27,13,23,.565,5,11,.455,13,13,1.000,2,6,8,9,2,0,5,4,44,+11,42:27,.766,.674,.478,.565,4.7,19.7,11.0,33.3,2.2,0.0,14.8,31.0,146,117
2,Ricky Rubio,Phoenix Suns,41:46,6,15,.400,1,5,.200,0,0,0,2,4,6,15,4,1,3,2,13,+11,41:46,.433,.433,.333,.000,4.8,13.4,8.4,44.9,4.4,2.8,16.7,16.8,117,111
3,Frank Kaminsky,Phoenix Suns,32:38,7,15,.467,2,3,.667,4,4,1.000,4,2,6,1,2,0,2,4,20,+13,32:38,.597,.533,.200,.267,12.3,8.5,10.7,4.2,2.8,0.0,10.7,22.4,125,117
4,Dario Šarić,Phoenix Suns,25:56,4,9,.444,0,3,.000,1,1,1.000,2,1,3,1,1,0,1,6,9,+4,25:56,.477,.444,.333,.111,7.7,5.4,6.7,4.9,1.8,0.0,9.6,15.7,107,120
6,Cameron Johnson,Phoenix Suns,31:02,7,12,.583,4,8,.500,0,0,0,3,3,6,1,1,1,1,3,18,+8,31:02,.750,.750,.667,.000,9.7,13.5,11.3,4.5,1.5,3.7,7.7,16.3,148,117
7,Mikal Bridges,Phoenix Suns,21:32,5,6,.833,1,1,1.000,0,0,0,0,1,1,0,1,0,3,2,11,-2,21:32,.917,.917,.167,.000,0.0,6.5,2.7,0.0,2.1,0.0,33.3,16.3,100,119
8,Cheick Diallo,Phoenix Suns,11:23,2,2,1.000,0,0,0,4,4,1.000,0,4,4,1,0,0,0,4,8,-1,11:23,1.064,1.000,.000,2.000,0.0,49.0,20.5,11.4,0.0,0.0,0.0,12.9,227,118
9,Ty Jerome,Phoenix Suns,9:16,0,3,.000,0,1,.000,2,2,1.000,0,2,2,1,2,0,0,0,2,-1,9:16,.258,.000,.333,.667,0.0,30.1,12.6,11.4,9.9,0.0,0.0,16.3,85,99
10,Elie Okobo,Phoenix Suns,1:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1:58,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,125
11,Aron Baynes,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jevon Carter,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tyler Johnson,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Phoenix Suns,265,50,106,.472,14,36,.389,25,27,.926,19,32,51,30,16,6,18,29,139,0,265,.590,.538,.340,.255,35.8,84.2,56.0,60.0,13.9,13.0,13.2,100.0,120.8,114.8
0,Lonzo Ball,New Orleans Pelicans,43:27,6,9,.667,4,5,.800,4,4,1.000,0,6,6,11,3,2,7,2,20,+5,43:27,.929,.889,.556,.444,0.0,13.8,8.0,36.6,3.2,3.5,39.4,17.3,125,118
1,Jrue Holiday,New Orleans Pelicans,41:09,10,18,.556,2,6,.333,1,3,.333,2,5,7,6,5,0,4,4,23,-2,41:09,.595,.611,.333,.167,6.8,12.2,9.9,24.8,5.6,0.0,17.2,24.0,110,115
