,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jamal Murray,Denver Nuggets,34:05,5,14,.357,0,2,.000,0,0,0,1,2,3,3,2,1,1,1,10,-10,34:05,.357,.357,.143,.000,3.1,8.5,5.4,13.2,2.9,3.0,6.7,18.8,83,108
1,Gary Harris,Denver Nuggets,32:50,3,8,.375,1,3,.333,0,0,0,0,3,3,4,0,0,1,2,7,-6,32:50,.438,.438,.375,.000,0.0,13.3,5.6,16.9,0.0,0.0,11.1,11.7,97,117
2,Nikola Jokić,Denver Nuggets,30:40,13,21,.619,1,5,.200,3,3,1.000,4,6,10,4,1,2,1,3,30,0,30:40,.672,.643,.238,.143,13.9,28.5,20.1,33.6,1.6,6.7,4.3,32.4,140,106
3,Will Barton,Denver Nuggets,29:35,3,8,.375,0,4,.000,1,1,1.000,0,3,3,2,0,0,1,2,7,+4,29:35,.415,.375,.500,.125,0.0,14.8,6.2,9.5,0.0,0.0,10.6,13.6,88,117
4,Paul Millsap,Denver Nuggets,20:35,2,6,.333,1,2,.500,0,0,0,2,4,6,1,0,0,2,2,5,+1,20:35,.417,.417,.333,.000,10.4,28.3,17.9,6.8,0.0,0.0,25.0,16.6,79,116
6,Juancho Hernangómez,Denver Nuggets,20:00,3,9,.333,1,5,.200,0,0,0,1,2,3,0,0,0,1,2,7,-17,20:00,.389,.389,.556,.000,5.3,14.5,9.2,0.0,0.0,0.0,10.0,21.3,79,117
7,Jerami Grant,Denver Nuggets,17:53,1,5,.200,0,3,.000,2,3,.667,0,4,4,1,0,1,2,1,4,-24,17:53,.316,.200,.600,.600,0.0,32.5,13.8,7.4,0.0,5.7,24.0,19.8,58,111
8,Mason Plumlee,Denver Nuggets,17:20,2,4,.500,0,0,0,1,2,.500,2,3,5,1,2,0,1,1,5,-13,17:20,.512,.500,.000,.500,12.3,25.2,17.8,8.3,5.8,0.0,17.0,14.5,104,103
9,Malik Beasley,Denver Nuggets,15:10,1,7,.143,0,3,.000,0,0,0,0,0,0,0,0,0,0,1,2,-7,15:10,.143,.143,.429,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,35,118
10,Monte Morris,Denver Nuggets,13:55,2,5,.400,0,1,.000,5,6,.833,0,1,1,2,0,0,2,0,9,-3,13:55,.589,.400,.200,1.200,0.0,10.5,4.4,21.5,0.0,0.0,20.7,29.5,105,118
11,Michael Porter Jr.,Denver Nuggets,7:57,4,7,.571,1,2,.500,0,0,0,2,1,3,0,0,0,0,0,9,+10,7:57,.643,.643,.286,.000,26.8,18.3,23.2,0.0,0.0,0.0,0.0,37.5,132,117
12,Torrey Craig,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Denver Nuggets,240,39,94,.415,5,30,.167,12,15,.800,12,29,41,18,5,4,12,15,95,0,240,.472,.441,.319,.160,26.7,87.9,52.6,46.2,5.2,8.5,10.7,100.0,99.2,112.7
0,Jaylen Brown,Boston Celtics,32:48,8,15,.533,3,7,.429,2,2,1.000,0,7,7,2,0,0,1,3,21,+10,32:48,.661,.633,.467,.133,0.0,22.8,13.1,9.1,0.0,0.0,5.9,24.6,125,101
1,Jayson Tatum,Boston Celtics,29:53,10,19,.526,4,8,.500,2,2,1.000,0,7,7,5,1,0,1,1,26,+14,29:53,.654,.632,.421,.105,0.0,25.0,14.4,28.7,1.7,0.0,4.8,33.4,130,96
2,Kemba Walker,Boston Celtics,28:37,8,16,.500,3,8,.375,0,0,0,0,2,2,3,2,2,4,2,19,+3,28:37,.594,.594,.500,.000,0.0,7.5,4.3,16.5,3.5,5.2,20.0,33.4,96,95
3,Marcus Smart,Boston Celtics,28:28,4,5,.800,1,1,1.000,0,0,0,1,1,2,2,0,0,3,1,9,+11,28:28,.900,.900,.200,.000,5.1,3.7,4.3,9.1,0.0,0.0,37.5,13.4,115,107
4,Daniel Theis,Boston Celtics,14:38,3,4,.750,1,1,1.000,0,0,0,0,1,1,2,0,1,2,3,7,-2,14:38,.875,.875,.250,.000,0.0,7.3,4.2,19.2,0.0,5.1,33.3,19.6,117,102
6,Semi Ojeleye,Boston Celtics,28:40,1,4,.250,1,4,.250,0,0,0,0,4,4,1,0,0,0,3,3,+15,28:40,.375,.375,1.000,.000,0.0,14.9,8.6,4.0,0.0,0.0,0.0,6.7,88,103
7,Brad Wanamaker,Boston Celtics,19:23,2,5,.400,0,2,.000,1,2,.500,0,1,1,3,1,1,1,0,5,+10,19:23,.425,.400,.400,.400,0.0,5.5,3.2,19.0,2.6,3.9,14.5,16.9,94,98
