,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Domantas Sabonis,Indiana Pacers,38:21,8,11,.727,0,0,0,3,5,.600,2,13,15,2,1,2,5,3,19,-2,38:21,.720,.727,.000,.455,6.0,31.3,20.0,8.1,1.3,3.9,27.5,21.3,104,97
1,T.J. Warren,Indiana Pacers,38:01,10,19,.526,2,5,.400,3,4,.750,1,3,4,0,1,1,1,3,25,+2,38:01,.602,.579,.263,.211,3.0,7.3,5.4,0.0,1.3,1.9,4.6,25.7,111,108
2,Jeremy Lamb,Indiana Pacers,34:20,5,15,.333,2,5,.400,1,1,1.000,0,4,4,2,1,0,1,2,13,-2,34:20,.421,.400,.333,.067,0.0,10.8,5.9,8.2,1.4,0.0,6.1,21.5,82,108
3,Myles Turner,Indiana Pacers,31:27,3,8,.375,1,4,.250,0,0,0,1,5,6,1,2,5,2,1,7,+2,31:27,.438,.438,.500,.000,3.6,14.7,9.7,4.2,3.1,11.7,20.0,14.3,76,95
4,Aaron Holiday,Indiana Pacers,28:24,4,12,.333,2,6,.333,2,2,1.000,0,4,4,5,0,0,2,1,12,-5,28:24,.466,.417,.500,.167,0.0,13.0,7.2,24.7,0.0,0.0,13.4,23.6,93,110
6,Justin Holiday,Indiana Pacers,21:01,2,5,.400,2,3,.667,0,0,0,1,2,3,2,1,0,1,1,6,+8,21:01,.600,.600,.600,.000,5.4,8.8,7.3,12.5,2.3,0.0,16.7,12.8,110,107
7,Doug McDermott,Indiana Pacers,19:47,6,11,.545,3,4,.750,1,1,1.000,0,2,2,3,0,1,2,4,16,+3,19:47,.699,.682,.364,.091,0.0,9.3,5.2,27.5,0.0,3.7,14.9,30.6,115,109
8,T.J. McConnell,Indiana Pacers,19:36,3,3,1.000,0,0,0,0,0,0,0,2,2,11,1,0,2,2,6,+6,19:36,1.000,1.000,.000,.000,0.0,9.4,5.2,80.0,2.5,0.0,40.0,11.5,158,106
9,Goga Bitadze,Indiana Pacers,9:03,0,1,.000,0,1,.000,0,0,0,0,2,2,0,0,0,0,0,0,-7,9:03,.000,.000,1.000,.000,0.0,20.4,11.3,0.0,0.0,0.0,0.0,5.0,0,107
10,Alize Johnson,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,T.J. Leaf,Indiana Pacers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Team Totals,Indiana Pacers,240,41,85,.482,12,28,.429,10,13,.769,5,37,42,26,7,9,16,17,104,0,240,.573,.553,.329,.153,11.9,71.2,44.7,63.4,7.1,13.8,15.0,100.0,104.8,103.8
0,RJ Barrett,New York Knicks,36:22,4,11,.364,1,3,.333,3,6,.500,1,8,9,3,1,1,2,2,12,+9,36:22,.440,.409,.273,.545,2.5,25.1,12.6,11.7,1.3,2.3,12.8,17.8,91,106
