,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Trae Young,Atlanta Hawks,31:44,4,14,.286,1,6,.167,6,7,.857,0,2,2,13,2,0,7,3,15,-17,31:44,.439,.321,.429,.500,0.0,8.0,3.6,67.9,2.9,0.0,29.1,31.0,89,127
1,Kevin Huerter,Atlanta Hawks,24:19,3,9,.333,1,6,.167,2,2,1.000,1,1,2,4,1,0,2,2,9,-24,24:19,.455,.389,.667,.222,4.4,5.2,4.8,27.2,1.9,0.0,16.8,20.0,95,130
2,De'Andre Hunter,Atlanta Hawks,23:54,2,9,.222,2,5,.400,0,0,0,1,1,2,1,0,1,0,1,6,-1,23:54,.333,.333,.556,.000,4.5,5.3,4.8,6.5,0.0,2.9,0.0,15.4,81,131
3,Jabari Parker,Atlanta Hawks,21:08,5,10,.500,1,2,.500,0,0,0,2,5,7,0,1,1,2,2,11,-9,21:08,.550,.550,.200,.000,10.1,29.9,19.2,0.0,2.1,3.2,16.7,23.2,90,123
4,Damian Jones,Atlanta Hawks,13:55,5,6,.833,0,0,0,0,0,0,1,2,3,0,0,1,1,4,10,-12,13:55,.833,.833,.000,.000,7.7,18.2,12.5,0.0,0.0,4.9,14.3,20.6,129,127
6,Cam Reddish,Atlanta Hawks,29:00,4,11,.364,3,9,.333,5,8,.625,0,5,5,1,0,1,3,4,16,-23,29:00,.551,.500,.818,.727,0.0,21.8,10.0,5.8,0.0,2.4,17.1,24.7,92,130
7,Allen Crabbe,Atlanta Hawks,21:31,2,4,.500,2,4,.500,0,0,0,1,1,2,1,0,0,0,0,6,-24,21:31,.750,.750,1.000,.000,5.0,5.9,5.4,7.3,0.0,0.0,0.0,7.6,153,134
8,Alex Len,Atlanta Hawks,19:46,7,9,.778,1,1,1.000,2,4,.500,3,2,5,3,0,0,0,2,17,-18,19:46,.790,.833,.111,.444,16.2,12.8,14.6,40.5,0.0,0.0,0.0,22.2,164,133
9,Bruno Fernando,Atlanta Hawks,13:14,1,3,.333,0,0,0,3,3,1.000,1,3,4,2,1,0,1,2,5,-11,13:14,.579,.333,.000,1.000,8.1,28.6,17.5,23.1,3.4,0.0,18.8,16.4,119,124
10,Vince Carter,Atlanta Hawks,12:50,1,5,.200,1,2,.500,1,2,.500,0,3,3,0,1,0,1,0,4,-14,12:50,.340,.300,.400,.400,0.0,29.5,13.5,0.0,3.5,0.0,14.5,21.9,61,123
