,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jrue Holiday,New Orleans Pelicans,34:34,4,18,.222,0,6,.000,4,5,.800,3,3,6,10,0,1,2,0,12,-4,34:34,.297,.222,.333,.278,8.3,9.9,9.1,42.8,0.0,2.1,9.0,27.4,87,120
1,J.J. Redick,New Orleans Pelicans,34:10,6,15,.400,3,5,.600,4,5,.800,0,3,3,3,1,0,2,3,19,+4,34:10,.552,.500,.333,.333,0.0,10.0,4.6,14.3,1.4,0.0,10.4,24.0,106,118
2,Brandon Ingram,New Orleans Pelicans,33:33,10,17,.588,1,3,.333,11,13,.846,0,6,6,0,0,0,1,6,32,-14,33:33,.704,.618,.176,.765,0.0,20.4,9.3,0.0,0.0,0.0,4.2,30.2,138,119
3,Kenrich Williams,New Orleans Pelicans,25:36,1,3,.333,1,3,.333,0,0,0,1,3,4,1,0,0,0,5,3,-13,25:36,.500,.500,1.000,.000,3.8,13.4,8.2,5.2,0.0,0.0,0.0,5.0,125,120
4,Derrick Favors,New Orleans Pelicans,15:00,4,10,.400,0,0,0,0,1,.000,3,5,8,0,0,0,0,1,8,-3,15:00,.383,.400,.000,.100,19.2,38.1,27.8,0.0,0.0,0.0,0.0,29.7,92,116
6,Josh Hart,New Orleans Pelicans,30:31,3,4,.750,2,2,1.000,2,2,1.000,1,4,5,3,1,1,2,6,10,+6,30:31,1.025,1.000,.500,.500,3.1,15.0,8.5,14.2,1.6,2.3,29.1,9.6,142,114
7,Lonzo Ball,New Orleans Pelicans,23:11,2,6,.333,1,3,.333,1,2,.500,1,1,2,3,1,0,1,2,6,-8,23:11,.436,.417,.500,.333,4.1,4.9,4.5,18.3,2.1,0.0,12.7,14.5,98,118
8,Jaxson Hayes,New Orleans Pelicans,18:21,3,4,.750,0,0,0,1,4,.250,1,4,5,1,0,0,0,3,7,+6,18:21,.608,.750,.000,1.000,5.2,24.9,14.2,8.7,0.0,0.0,0.0,13.4,127,118
9,Jahlil Okafor,New Orleans Pelicans,14:39,4,8,.500,0,0,0,1,3,.333,2,3,5,2,0,0,0,2,9,-10,14:39,.483,.500,.000,.375,13.1,23.4,17.8,26.3,0.0,0.0,0.0,27.2,114,118
10,Nickeil Alexander-Walker,New Orleans Pelicans,10:25,1,3,.333,1,2,.500,0,0,0,0,1,1,1,2,0,1,1,3,+1,10:25,.500,.500,.667,.000,0.0,11.0,5.0,13.8,9.3,0.0,25.0,16.4,81,101
11,Frank Jackson,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nicolò Melli,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,E'Twaun Moore,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New Orleans Pelicans,240,38,88,.432,9,24,.375,24,35,.686,12,33,45,24,5,2,9,29,109,0,240,.527,.483,.273,.398,24.0,78.6,48.9,63.2,5.1,3.0,8.0,100.0,110.3,117.4
0,Tobias Harris,Philadelphia 76ers,37:31,12,20,.600,1,3,.333,6,7,.857,0,5,5,2,0,0,0,1,31,+2,37:31,.672,.625,.150,.350,0.0,12.8,7.0,9.3,0.0,0.0,0.0,26.6,139,116
1,Ben Simmons,Philadelphia 76ers,37:30,9,15,.600,0,0,0,6,10,.600,1,2,3,11,3,2,1,2,24,+6,37:30,.619,.600,.000,.667,3.0,5.1,4.2,44.7,3.9,4.0,4.9,23.5,137,107
2,Joel Embiid,Philadelphia 76ers,31:03,6,16,.375,1,3,.333,11,14,.786,1,10,11,5,1,1,2,5,24,+3,31:03,.542,.406,.188,.875,3.7,30.9,18.5,22.9,1.6,2.4,8.3,33.7,115,105
