,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,RJ Barrett,New York Knicks,31:22,4,14,.286,0,5,.000,0,0,0,1,3,4,2,0,0,0,0,8,-11,31:22,.286,.286,.357,.000,3.3,10.9,6.9,8.1,0.0,0.0,0.0,19.9,77,118
1,Julius Randle,New York Knicks,30:38,10,17,.588,3,8,.375,3,5,.600,1,8,9,4,0,0,2,2,26,-7,30:38,.677,.676,.471,.294,3.3,29.8,15.8,22.1,0.0,0.0,9.4,30.9,130,113
2,Marcus Morris,New York Knicks,29:44,4,12,.333,1,4,.250,1,1,1.000,2,3,5,5,0,0,1,5,10,-4,29:44,.402,.375,.333,.083,6.9,11.5,9.1,21.5,0.0,0.0,7.4,20.2,103,117
3,Taj Gibson,New York Knicks,22:43,2,5,.400,0,0,0,0,0,0,2,5,7,2,1,2,1,4,4,-2,22:43,.400,.400,.000,.000,9.0,25.2,16.6,10.6,2.3,9.6,16.7,11.8,97,102
4,Frank Ntilikina,New York Knicks,21:05,1,5,.200,0,3,.000,0,0,0,0,1,1,0,2,0,0,2,2,-22,21:05,.200,.200,.600,.000,0.0,5.4,2.6,0.0,5.0,0.0,0.0,10.6,48,107
6,Elfrid Payton,New York Knicks,27:04,7,13,.538,1,1,1.000,1,2,.500,2,2,4,4,1,0,0,0,16,+19,27:04,.576,.577,.077,.154,7.5,8.4,8.0,22.5,2.0,0.0,0.0,22.9,135,114
7,Mitchell Robinson,New York Knicks,25:15,7,9,.778,0,0,0,0,0,0,5,4,9,0,1,0,0,2,14,+5,25:15,.778,.778,.000,.000,20.2,18.1,19.2,0.0,2.1,0.0,0.0,15.9,167,111
8,Kevin Knox,New York Knicks,18:15,1,5,.200,0,2,.000,1,2,.500,0,2,2,1,1,1,2,2,3,+6,18:15,.255,.200,.400,.400,0.0,12.5,5.9,6.4,2.9,6.0,25.4,19.3,48,106
9,Bobby Portis,New York Knicks,17:22,4,9,.444,1,2,.500,0,0,0,1,3,4,3,0,0,2,1,9,+9,17:22,.500,.500,.222,.000,5.9,19.7,12.4,25.2,0.0,0.0,18.2,28.3,98,116
10,Damyean Dotson,New York Knicks,16:30,4,6,.667,3,5,.600,0,0,0,0,3,3,3,1,0,0,0,11,+17,16:30,.917,.917,.833,.000,0.0,20.8,9.8,27.0,3.2,0.0,0.0,16.3,190,108
11,Ignas Brazdeikis,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dennis Smith Jr.,New York Knicks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,New York Knicks,240,44,95,.463,9,30,.300,6,10,.600,14,34,48,24,7,3,8,18,103,0,240,.518,.511,.316,.105,29.8,81.0,53.9,54.5,7.7,6.8,7.4,100.0,113.8,111.6
0,Harrison Barnes,Sacramento Kings,37:24,7,14,.500,3,6,.500,1,2,.500,0,5,5,2,0,0,1,3,18,-8,37:24,.605,.607,.429,.143,0.0,13.7,7.2,8.6,0.0,0.0,6.3,20.5,117,115
1,Buddy Hield,Sacramento Kings,36:22,14,23,.609,6,13,.462,0,0,0,4,8,12,3,0,0,3,3,34,+14,36:22,.739,.739,.565,.000,12.6,22.5,17.8,19.3,0.0,0.0,11.5,34.5,134,112
2,Cory Joseph,Sacramento Kings,28:40,3,6,.500,1,3,.333,0,0,0,0,5,5,2,0,0,2,2,7,+4,28:40,.583,.583,.500,.000,0.0,17.8,9.4,9.9,0.0,0.0,25.0,13.5,95,113
3,Nemanja Bjelica,Sacramento Kings,26:40,3,9,.333,3,6,.500,3,4,.750,1,1,2,7,0,1,0,1,12,+13,26:40,.558,.500,.667,.444,4.3,3.8,4.0,37.5,0.0,2.8,0.0,19.5,144,117
4,Richaun Holmes,Sacramento Kings,26:37,1,3,.333,0,0,0,2,2,1.000,0,5,5,0,0,0,1,4,4,+6,26:37,.515,.333,.000,.667,0.0,19.2,10.1,0.0,0.0,0.0,20.5,8.8,85,112
6,Bogdan Bogdanović,Sacramento Kings,28:40,5,10,.500,4,5,.800,0,0,0,0,1,1,1,0,0,3,1,14,-11,28:40,.700,.700,.500,.000,0.0,3.6,1.9,5.5,0.0,0.0,23.1,21.9,102,119
7,Trevor Ariza,Sacramento Kings,23:51,0,5,.000,0,3,.000,0,0,0,0,3,3,2,0,0,1,1,0,-8,23:51,.000,.000,.600,.000,0.0,12.8,6.8,10.3,0.0,0.0,16.7,12.1,25,115
8,Marvin Bagley III,Sacramento Kings,21:23,5,10,.500,0,1,.000,0,0,0,3,4,7,0,0,2,2,3,10,-8,21:23,.500,.500,.100,.000,16.0,19.1,17.7,0.0,0.0,6.9,16.7,27.1,94,108
9,Yogi Ferrell,Sacramento Kings,10:21,1,3,.333,0,2,.000,0,0,0,0,1,1,2,0,0,0,0,2,-12,10:21,.333,.333,.667,.000,0.0,9.9,5.2,27.0,0.0,0.0,0.0,14.0,103,117
10,Harry Giles,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dewayne Dedmon,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
