,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Luke Kennard,Detroit Pistons,34:23,6,13,.462,4,7,.571,6,6,1.000,0,7,7,3,0,1,2,2,22,+8,34:23,.703,.615,.538,.462,0.0,17.8,9.7,12.8,0.0,2.4,11.3,21.0,130,104
1,Tony Snell,Detroit Pistons,32:26,4,7,.571,3,6,.500,4,4,1.000,0,5,5,0,1,1,0,1,15,+1,32:26,.856,.786,.857,.571,0.0,13.5,7.3,0.0,1.4,2.6,0.0,11.1,172,102
2,Bruce Brown,Detroit Pistons,30:38,6,9,.667,0,1,.000,4,6,.667,0,10,10,6,4,1,2,4,16,+10,30:38,.687,.667,.111,.667,0.0,28.5,15.5,29.8,6.0,2.7,14.7,18.3,129,86
3,Thon Maker,Detroit Pistons,25:09,1,4,.250,0,0,0,2,2,1.000,3,3,6,1,0,2,1,3,4,+8,25:09,.410,.250,.000,.500,12.4,10.4,11.3,4.9,0.0,6.7,17.0,9.6,104,103
4,Blake Griffin,Detroit Pistons,15:20,0,7,.000,0,3,.000,2,2,1.000,1,1,2,2,0,0,1,0,2,+4,15:20,.127,.000,.429,.286,6.8,5.7,6.2,15.3,0.0,0.0,11.3,23.8,48,109
6,Markieff Morris,Detroit Pistons,27:23,6,13,.462,3,6,.500,0,0,0,3,5,8,2,1,0,5,1,15,+4,27:23,.577,.577,.462,.000,11.4,15.9,13.9,11.5,1.7,0.0,27.8,27.0,89,102
7,Derrick Rose,Detroit Pistons,26:57,10,21,.476,0,4,.000,0,0,0,2,2,4,12,0,0,2,2,20,-6,26:57,.476,.476,.190,.000,7.7,6.5,7.1,92.2,0.0,0.0,8.7,35.0,114,109
8,Christian Wood,Detroit Pistons,21:46,4,8,.500,0,3,.000,3,5,.600,2,10,12,1,0,1,1,0,11,0,21:46,.539,.500,.375,.625,9.6,40.1,26.2,6.9,0.0,3.9,8.9,21.1,111,96
9,Langston Galloway,Detroit Pistons,21:00,4,7,.571,2,4,.500,0,0,0,0,1,1,0,0,0,0,1,10,+7,21:00,.714,.714,.571,.000,0.0,4.2,2.3,0.0,0.0,0.0,0.0,13.7,136,110
10,Svi Mykhailiuk,Detroit Pistons,4:58,0,3,.000,0,3,.000,0,0,0,0,0,0,0,0,0,0,1,0,+4,4:58,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0,110
