,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bradley Beal,Washington Wizards,33:57,8,23,.348,5,13,.385,8,12,.667,4,6,10,4,4,0,6,4,29,-26,33:57,.513,.457,.565,.522,11.8,26.5,17.7,22.9,5.4,0.0,17.5,41.4,96,114
1,Rui Hachimura,Washington Wizards,28:40,4,10,.400,1,2,.500,1,2,.500,0,4,4,0,0,0,0,3,10,-18,28:40,.460,.450,.200,.200,0.0,20.9,8.4,0.0,0.0,0.0,0.0,15.6,95,127
2,Ish Smith,Washington Wizards,28:05,6,11,.545,1,3,.333,1,1,1.000,1,2,3,4,3,0,4,0,14,-20,28:05,.612,.591,.273,.091,3.6,10.7,6.4,26.6,4.9,0.0,25.9,22.5,99,118
3,Isaac Bonga,Washington Wizards,26:08,0,3,.000,0,1,.000,2,2,1.000,2,1,3,0,0,1,1,2,2,-2,26:08,.258,.000,.333,.667,7.7,5.7,6.9,0.0,0.0,3.2,20.5,7.7,70,127
4,Ian Mahinmi,Washington Wizards,17:24,1,5,.200,0,1,.000,2,2,1.000,2,1,3,1,0,1,1,3,4,-8,17:24,.340,.200,.200,.400,11.5,8.6,10.3,8.3,0.0,4.8,14.5,16.2,86,126
6,Troy Brown Jr.,Washington Wizards,30:51,5,8,.625,0,1,.000,6,7,.857,2,0,2,5,1,0,2,0,16,-12,30:51,.722,.625,.125,.875,6.5,0.0,3.9,27.6,1.5,0.0,15.3,17.4,140,127
7,Dāvis Bertāns,Washington Wizards,25:23,2,9,.222,1,6,.167,4,4,1.000,0,2,2,2,1,2,1,4,9,-9,25:23,.418,.278,.667,.444,0.0,11.8,4.7,11.7,1.8,6.6,8.5,19.0,92,120
8,Admiral Schofield,Washington Wizards,20:52,5,8,.625,3,5,.600,1,2,.500,0,2,2,3,1,0,0,4,14,+4,20:52,.788,.813,.625,.250,0.0,14.4,5.8,28.2,2.2,0.0,0.0,17.4,161,123
9,Chris Chiozza,Washington Wizards,18:16,3,6,.500,2,5,.400,0,0,0,0,4,4,2,2,0,2,2,8,+2,18:16,.667,.667,.833,.000,0.0,32.8,13.1,18.7,5.0,0.0,25.0,18.0,101,114
10,Justin Robinson,Washington Wizards,5:20,1,1,1.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,+7,5:20,1.000,1.000,.000,.000,0.0,0.0,0.0,33.3,0.0,0.0,0.0,7.7,210,130
11,Garrison Mathews,Washington Wizards,5:04,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,1,0,3,-3,5:04,1.500,1.500,1.000,.000,0.0,29.6,11.8,0.0,0.0,0.0,50.0,16.2,80,126
12,Moritz Wagner,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Isaiah Thomas,Washington Wizards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Washington Wizards,240,36,85,.424,14,38,.368,25,32,.781,11,23,34,22,12,4,18,22,111,0,240,.560,.506,.447,.376,22.9,71.9,42.5,61.1,11.5,7.0,15.4,100.0,105.9,122.2
0,Jonas Valančiūnas,Memphis Grizzlies,28:44,3,6,.500,0,1,.000,0,0,0,5,7,12,0,0,2,6,3,6,+11,28:44,.500,.500,.167,.000,26.1,24.4,25.1,0.0,0.0,7.1,50.0,17.1,70,106
1,Ja Morant,Memphis Grizzlies,28:27,5,11,.455,1,2,.500,7,7,1.000,0,4,4,5,3,1,3,0,18,+4,28:27,.639,.500,.182,.636,0.0,14.1,8.4,21.3,4.8,3.6,17.6,24.5,123,100
2,Dillon Brooks,Memphis Grizzlies,26:21,10,17,.588,2,7,.286,5,6,.833,1,1,2,3,3,0,2,5,27,+6,26:21,.687,.647,.412,.353,5.7,3.8,4.6,18.3,5.2,0.0,9.2,33.5,132,104
3,Kyle Anderson,Memphis Grizzlies,25:44,1,5,.200,0,1,.000,0,0,0,1,4,5,5,1,1,2,2,2,+4,25:44,.200,.200,.200,.000,5.8,15.5,11.7,20.2,1.8,4.0,28.6,11.1,80,106
4,Jaren Jackson Jr.,Memphis Grizzlies,23:49,6,10,.600,2,4,.500,2,3,.667,0,4,4,1,1,2,1,4,16,+7,23:49,.707,.700,.400,.300,0.0,16.8,10.1,5.6,1.9,8.6,8.1,21.1,130,103
6,Brandon Clarke,Memphis Grizzlies,24:13,11,14,.786,1,1,1.000,2,2,1.000,0,4,4,0,0,0,1,2,25,+18,24:13,.840,.821,.071,.143,0.0,16.5,9.9,0.0,0.0,0.0,6.3,26.8,150,112
7,De'Anthony Melton,Memphis Grizzlies,22:22,2,4,.500,0,0,0,3,4,.750,1,3,4,4,1,0,4,5,7,+13,22:22,.608,.500,.000,1.000,6.7,13.4,10.7,19.6,2.0,0.0,41.0,17.8,95,108
8,Tyus Jones,Memphis Grizzlies,20:30,4,5,.800,1,2,.500,0,0,0,0,1,1,9,2,0,1,2,9,+14,20:30,.900,.900,.400,.000,0.0,4.9,2.9,54.5,4.5,0.0,16.7,12.0,173,106
9,Marko Guduric,Memphis Grizzlies,16:56,1,4,.250,0,2,.000,2,2,1.000,0,3,3,2,0,1,1,1,4,-1,16:56,.410,.250,.500,.500,0.0,17.7,10.6,12.6,0.0,6.0,17.0,14.2,94,109
10,Solomon Hill,Memphis Grizzlies,11:13,4,4,1.000,4,4,1.000,0,0,0,0,3,3,3,0,0,1,0,12,+8,11:13,1.500,1.500,1.000,.000,0.0,26.7,16.0,41.6,0.0,0.0,20.0,18.2,203,109
11,Yuta Watanabe,Memphis Grizzlies,7:07,0,1,.000,0,1,.000,0,0,0,1,2,3,0,0,0,1,0,0,+8,7:07,.000,.000,1.000,.000,21.1,28.1,25.3,0.0,0.0,0.0,50.0,11.5,38,109
12,Bruno Caboclo,Memphis Grizzlies,4:34,1,3,.333,0,2,.000,0,0,0,0,1,1,0,0,0,0,0,2,-7,4:34,.333,.333,.667,.000,0.0,21.9,13.1,0.0,0.0,0.0,0.0,26.8,73,111
13,Jae Crowder,Memphis Grizzlies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Memphis Grizzlies,240,48,84,.571,11,27,.407,21,24,.875,9,37,46,32,11,7,23,24,128,0,240,.677,.637,.321,.286,28.1,77.1,57.5,66.7,10.5,14.9,19.6,100.0,122.2,105.9
