,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Harrison Barnes,Sacramento Kings,37:23,6,17,.353,1,6,.167,1,1,1.000,1,3,4,1,0,0,1,1,14,-3,37:23,.401,.382,.353,.059,2.9,9.9,6.1,4.2,0.0,0.0,5.4,22.2,84,128
1,Nemanja Bjelica,Sacramento Kings,30:29,4,10,.400,2,7,.286,2,2,1.000,1,4,5,3,2,1,1,3,12,-1,30:29,.551,.500,.700,.200,3.5,16.2,9.4,14.9,3.4,3.1,8.4,17.5,116,116
2,Buddy Hield,Sacramento Kings,29:29,5,13,.385,4,8,.500,0,0,0,0,2,2,2,1,0,1,0,14,+1,29:29,.538,.538,.615,.000,0.0,8.3,3.9,10.9,1.8,0.0,7.1,21.4,104,125
3,Richaun Holmes,Sacramento Kings,21:33,4,10,.400,0,0,0,3,3,1.000,4,1,5,1,2,3,0,4,11,+6,21:33,.486,.400,.000,.300,19.8,5.7,13.3,7.7,4.9,13.1,0.0,23.6,122,112
4,Cory Joseph,Sacramento Kings,20:47,1,3,.333,0,1,.000,0,0,0,1,1,2,5,0,1,2,1,2,-9,20:47,.333,.333,.333,.000,5.1,5.9,5.5,32.4,0.0,4.5,40.0,10.8,89,128
6,De'Aaron Fox,Sacramento Kings,29:43,6,13,.462,2,6,.333,5,6,.833,1,1,2,8,2,0,3,5,19,-3,29:43,.607,.538,.462,.462,3.6,4.1,3.8,45.6,3.5,0.0,16.1,28.2,120,121
7,Bogdan Bogdanović,Sacramento Kings,29:22,4,7,.571,2,4,.500,0,0,0,0,0,0,2,2,0,1,3,10,-13,29:22,.714,.714,.571,.000,0.0,0.0,0.0,10.4,3.6,0.0,12.5,12.3,125,123
8,Marvin Bagley III,Sacramento Kings,22:16,6,13,.462,1,2,.500,1,1,1.000,2,5,7,1,0,0,0,3,14,-19,22:16,.521,.500,.154,.077,9.6,27.6,18.0,8.6,0.0,0.0,0.0,27.1,115,120
9,Trevor Ariza,Sacramento Kings,18:58,2,5,.400,2,5,.400,0,0,0,0,6,6,0,1,0,1,2,6,+1,18:58,.600,.600,1.000,.000,0.0,38.9,18.1,0.0,2.8,0.0,16.7,14.2,93,109
10,Dewayne Dedmon,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Harry Giles,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justin James,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Yogi Ferrell,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
