,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Devonte' Graham,Charlotte Hornets,38:09,3,16,.188,2,9,.222,1,2,.500,1,0,1,9,2,1,2,3,9,-10,38:09,.267,.250,.563,.125,2.4,0.0,1.5,34.1,2.8,2.6,10.6,22.0,80,112
1,Terry Rozier,Charlotte Hornets,37:30,12,27,.444,7,15,.467,4,4,1.000,3,0,3,2,4,0,3,2,35,-2,37:30,.608,.574,.556,.148,7.2,0.0,4.6,11.8,5.6,0.0,9.4,37.7,115,107
2,Cody Zeller,Charlotte Hornets,31:03,6,10,.600,0,1,.000,3,4,.750,5,4,9,1,2,0,2,2,15,-1,31:03,.638,.600,.100,.400,14.6,20.6,16.8,5.6,3.4,0.0,14.5,19.7,122,107
3,Miles Bridges,Charlotte Hornets,20:45,3,7,.429,0,2,.000,0,0,0,0,3,3,1,0,0,1,3,6,-21,20:45,.429,.429,.286,.000,0.0,23.1,8.4,7.7,0.0,0.0,12.5,17.1,81,114
4,Bismack Biyombo,Charlotte Hornets,18:30,2,4,.500,0,0,0,0,3,.000,5,2,7,2,0,1,1,2,4,-26,18:30,.376,.500,.000,.750,24.5,17.3,21.9,16.3,0.0,5.4,15.8,15.2,102,112
6,Marvin Williams,Charlotte Hornets,29:18,4,10,.400,2,4,.500,0,0,0,0,4,4,4,0,0,0,6,10,+14,29:18,.500,.500,.400,.000,0.0,21.8,7.9,21.5,0.0,0.0,0.0,15.2,119,114
7,Cody Martin,Charlotte Hornets,28:34,2,6,.333,0,2,.000,1,1,1.000,0,2,2,4,3,0,0,1,5,+19,28:34,.388,.333,.333,.167,0.0,11.2,4.0,20.0,5.5,0.0,0.0,10.0,111,105
8,Michael Kidd-Gilchrist,Charlotte Hornets,12:42,2,4,.500,1,2,.500,0,0,0,0,2,2,1,0,1,0,1,5,+5,12:42,.625,.625,.500,.000,0.0,25.2,9.1,12.8,0.0,7.9,0.0,14.0,133,110
9,Malik Monk,Charlotte Hornets,11:52,2,4,.500,1,1,1.000,0,0,0,0,2,2,0,0,0,0,0,5,+2,11:52,.625,.625,.250,.000,0.0,27.0,9.7,0.0,0.0,0.0,0.0,15.0,123,113
10,Dwayne Bacon,Charlotte Hornets,11:37,1,3,.333,0,1,.000,2,4,.500,1,1,2,1,1,0,0,0,4,+10,11:37,.420,.333,.333,1.333,7.8,13.8,10.0,12.6,4.5,0.0,0.0,18.2,109,106
11,Willy Hernangómez,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nicolas Batum,Charlotte Hornets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Charlotte Hornets,240,37,91,.407,13,37,.351,11,18,.611,15,20,35,25,12,3,9,20,98,0,240,.495,.478,.407,.198,28.3,66.7,42.2,67.6,13.1,6.3,8.3,100.0,107.4,109.6
0,Tristan Thompson,Cleveland Cavaliers,36:32,6,9,.667,0,0,0,2,2,1.000,4,9,13,2,1,0,3,3,14,+10,36:32,.709,.667,.000,.222,17.5,22.3,20.6,8.2,1.4,0.0,23.3,16.2,121,104
1,Kevin Love,Cleveland Cavaliers,32:22,5,9,.556,4,6,.667,2,2,1.000,0,14,14,7,1,1,3,1,16,+15,32:22,.810,.778,.667,.222,0.0,39.2,25.0,31.9,1.6,2.7,23.3,18.3,137,95
2,Cedi Osman,Cleveland Cavaliers,32:11,8,12,.667,1,4,.250,1,4,.250,1,2,3,1,2,1,3,0,18,+15,32:11,.654,.708,.333,.333,5.0,5.6,5.4,5.3,3.3,2.8,17.9,23.9,105,107
3,Collin Sexton,Cleveland Cavaliers,30:57,10,14,.714,0,1,.000,3,3,1.000,0,2,2,2,3,0,5,5,23,+17,30:57,.751,.714,.071,.214,0.0,5.9,3.7,12.7,5.1,0.0,24.6,30.2,110,104
4,Darius Garland,Cleveland Cavaliers,27:08,3,10,.300,1,7,.143,0,0,0,0,1,1,6,0,0,3,2,7,+6,27:08,.350,.350,.700,.000,0.0,3.3,2.1,30.6,0.0,0.0,23.1,22.0,83,117
6,Jordan Clarkson,Cleveland Cavaliers,24:46,4,9,.444,0,2,.000,2,2,1.000,1,2,3,3,0,0,1,0,10,-20,24:46,.506,.444,.222,.222,6.5,7.3,7.0,18.0,0.0,0.0,9.2,20.2,116,116
7,Larry Nance Jr.,Cleveland Cavaliers,15:57,1,3,.333,0,2,.000,1,2,.500,0,6,6,0,0,1,2,2,3,-15,15:57,.387,.333,.667,.667,0.0,34.1,21.8,0.0,0.0,5.6,34.0,16.9,53,98
8,Kevin Porter Jr.,Cleveland Cavaliers,15:49,3,6,.500,1,3,.333,0,0,0,2,0,2,1,0,0,1,3,7,-13,15:49,.583,.583,.500,.000,20.2,0.0,7.3,9.8,0.0,0.0,14.3,20.3,117,118
9,Matthew Dellavedova,Cleveland Cavaliers,13:09,0,2,.000,0,1,.000,2,2,1.000,1,0,1,3,0,0,2,3,2,+1,13:09,.347,.000,.500,1.000,12.2,0.0,4.4,27.4,0.0,0.0,41.0,17.0,84,118
10,John Henson,Cleveland Cavaliers,11:09,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,2,0,-6,11:09,0,0,0,0,14.3,16.2,15.6,0.0,0.0,0.0,0,0.0,215,110
11,Brandon Knight,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ante Žižić,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alfonzo McKinnie,Cleveland Cavaliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Cleveland Cavaliers,240,40,74,.541,7,26,.269,13,17,.765,10,38,48,25,7,3,23,21,100,0,240,.614,.588,.351,.230,33.3,71.7,57.8,62.5,7.7,5.6,22.0,100.0,109.6,107.4
