,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nikola Vučević,Orlando Magic,33:07,9,20,.450,0,3,.000,5,7,.714,4,8,12,1,6,2,0,2,23,-23,33:07,.498,.450,.150,.350,9.5,28.3,17.1,5.6,8.5,6.0,0.0,26.2,115,96
1,Jonathan Isaac,Orlando Magic,30:06,3,9,.333,1,1,1.000,3,4,.750,1,3,4,0,4,2,3,3,10,-20,30:06,.465,.389,.111,.444,2.6,11.7,6.3,0.0,6.2,6.6,21.8,17.2,79,105
2,Aaron Gordon,Orlando Magic,29:48,4,17,.235,0,2,.000,3,4,.750,6,5,11,4,0,1,0,2,11,-9,29:48,.293,.235,.118,.235,15.8,19.6,17.4,19.8,0.0,3.4,0.0,23.7,90,121
3,Evan Fournier,Orlando Magic,29:10,7,17,.412,1,5,.200,1,2,.500,0,2,2,3,1,0,0,1,16,-21,29:10,.447,.441,.294,.118,0.0,8.0,3.2,18.0,1.6,0.0,0.0,23.1,103,122
4,Markelle Fultz,Orlando Magic,26:01,4,7,.571,1,1,1.000,1,2,.500,0,2,2,4,1,0,2,4,10,-16,26:01,.635,.643,.143,.286,0.0,9.0,3.6,23.3,1.8,0.0,20.2,14.3,110,121
6,D.J. Augustin,Orlando Magic,29:16,6,16,.375,2,8,.250,3,4,.750,0,1,1,3,0,0,1,0,17,+1,29:16,.479,.438,.500,.250,0.0,4.0,1.6,16.9,0.0,0.0,5.3,24.1,103,127
7,Terrence Ross,Orlando Magic,22:17,3,11,.273,1,6,.167,2,3,.667,1,1,2,0,1,0,2,3,9,-2,22:17,.365,.318,.545,.273,3.5,5.3,4.2,0.0,2.1,0.0,14.0,24.2,72,121
8,Mo Bamba,Orlando Magic,12:44,1,2,.500,0,0,0,0,0,0,3,3,6,2,1,0,0,0,2,+5,12:44,.500,.500,.000,.000,18.5,27.6,22.2,21.4,3.7,0.0,0.0,5.9,152,111
9,Wes Iwundu,Orlando Magic,12:34,1,3,.333,0,1,.000,0,0,0,3,0,3,3,0,0,0,1,2,+2,12:34,.333,.333,.333,.000,18.8,0.0,11.2,32.6,0.0,0.0,0.0,9.0,127,128
10,Michael Carter-Williams,Orlando Magic,8:30,0,2,.000,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,-1,8:30,.000,.000,.000,.000,0.0,27.5,11.1,14.5,0.0,0.0,33.3,13.3,16,120
11,Melvin Frazier,Orlando Magic,2:09,1,1,1.000,1,1,1.000,0,0,0,0,1,1,0,0,0,0,0,3,+3,2:09,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0,128
12,Khem Birch,Orlando Magic,2:09,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3,2:09,1.500,1.500,1.000,.000,0.0,54.5,21.9,0.0,0.0,0.0,0.0,17.5,300,113
13,Amile Jefferson,Orlando Magic,2:09,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,+3,2:09,0,0,0,0,0.0,100.0,43.8,0.0,0.0,0.0,100.0,17.5,0,99
14,Team Totals,Orlando Magic,240,39,106,.368,7,28,.250,18,26,.692,18,30,48,21,14,5,10,16,103,0,240,.439,.401,.264,.245,29.5,73.2,47.1,53.8,13.7,10.4,7.8,100.0,100.6,115.2
0,CJ McCollum,Portland Trail Blazers,37:26,12,20,.600,4,8,.500,3,3,1.000,0,7,7,4,1,0,2,0,31,+8,37:26,.727,.700,.400,.150,0.0,14.7,8.8,19.3,1.3,0.0,8.6,26.6,144,101
1,Damian Lillard,Portland Trail Blazers,36:26,13,21,.619,7,13,.538,3,3,1.000,0,3,3,6,1,0,5,1,36,+28,36:26,.806,.786,.619,.143,0.0,6.5,3.9,31.8,1.3,0.0,18.3,32.0,140,105
2,Hassan Whiteside,Portland Trail Blazers,32:39,3,9,.333,0,1,.000,4,6,.667,3,14,17,1,0,5,5,5,10,+22,32:39,.430,.333,.111,.667,10.8,33.7,24.5,3.9,0.0,9.4,30.0,21.8,77,88
3,Kent Bazemore,Portland Trail Blazers,32:10,4,8,.500,2,4,.500,1,1,1.000,0,4,4,0,1,1,3,1,11,+18,32:10,.652,.625,.500,.125,0.0,9.8,5.9,0.0,1.5,1.9,26.2,15.2,95,102
4,Carmelo Anthony,Portland Trail Blazers,9:24,1,6,.167,1,2,.500,2,2,1.000,3,3,6,0,0,3,1,2,5,+14,9:24,.363,.250,.333,.333,37.4,25.1,30.0,0.0,0.0,19.6,12.7,35.8,94,85
6,Skal Labissière,Portland Trail Blazers,23:51,2,4,.500,0,0,0,4,4,1.000,2,4,6,3,0,2,1,3,8,0,23:51,.694,.500,.000,1.000,9.8,13.2,11.8,15.9,0.0,5.2,14.8,12.1,150,101
7,Anfernee Simons,Portland Trail Blazers,20:20,4,8,.500,0,2,.000,0,0,0,2,4,6,1,0,0,1,1,8,-3,20:20,.500,.500,.250,.000,11.5,15.5,13.9,7.3,0.0,0.0,11.1,18.9,109,103
8,Anthony Tolliver,Portland Trail Blazers,18:47,1,2,.500,1,2,.500,0,0,0,1,0,1,1,1,0,1,5,3,-6,18:47,.750,.750,1.000,.000,6.2,0.0,2.5,6.5,2.5,0.0,33.3,6.8,123,105
9,Gary Trent Jr.,Portland Trail Blazers,17:38,2,4,.500,2,3,.667,0,0,0,0,1,1,0,0,0,1,2,6,-6,17:38,.750,.750,.750,.000,0.0,4.5,2.7,0.0,0.0,0.0,20.0,12.1,117,109
10,Mario Hezonja,Portland Trail Blazers,11:19,0,2,.000,0,1,.000,0,0,0,0,3,3,0,0,0,0,4,0,0,11:19,.000,.000,.500,.000,0.0,20.9,12.5,0.0,0.0,0.0,0.0,7.5,0,99
11,Rodney Hood,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nassir Little,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Portland Trail Blazers,240,42,84,.500,17,36,.472,17,19,.895,11,43,54,16,4,11,20,24,118,0,240,.639,.601,.429,.226,26.8,70.5,52.9,38.1,3.9,14.1,17.8,100.0,115.2,100.6
