,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kawhi Leonard,Los Angeles Clippers,27:05,11,16,.688,1,2,.500,3,3,1.000,2,5,7,9,4,0,2,2,26,+15,27:05,.751,.719,.125,.188,7.9,26.1,15.7,46.2,6.9,0.0,10.4,28.9,151,95
1,Paul George,Los Angeles Clippers,25:48,4,11,.364,0,4,.000,3,3,1.000,0,5,5,4,0,0,2,0,11,+16,25:48,.446,.364,.364,.273,0.0,27.4,11.8,16.0,0.0,0.0,14.0,22.5,97,111
2,Maurice Harkless,Los Angeles Clippers,25:12,6,8,.750,2,3,.667,1,1,1.000,1,1,2,1,1,0,1,0,15,+21,25:12,.889,.875,.375,.125,4.2,5.6,4.8,4.5,1.8,0.0,10.6,15.2,157,108
3,Patrick Beverley,Los Angeles Clippers,22:07,3,9,.333,2,7,.286,0,0,0,0,5,5,6,0,1,0,2,8,+18,22:07,.444,.444,.778,.000,0.0,31.9,13.7,27.4,0.0,4.0,0.0,16.5,124,107
4,Ivica Zubac,Los Angeles Clippers,21:26,7,7,1.000,0,0,0,1,3,.333,3,2,5,2,1,0,1,4,15,+14,21:26,.901,1.000,.000,.429,14.9,13.2,14.2,11.7,2.2,0.0,10.7,17.6,163,107
6,Lou Williams,Los Angeles Clippers,23:46,8,13,.615,3,6,.500,1,1,1.000,0,0,0,4,2,0,0,1,20,+24,23:46,.744,.731,.462,.077,0.0,0.0,0.0,21.3,3.9,0.0,0.0,22.9,159,104
7,Rodney McGruder,Los Angeles Clippers,20:55,2,5,.400,1,4,.250,0,0,0,0,0,0,0,0,0,1,2,5,+10,20:55,.500,.500,.800,.000,0.0,0.0,0.0,0.0,0.0,0.0,16.7,11.6,83,113
8,Montrezl Harrell,Los Angeles Clippers,19:46,8,16,.500,0,0,0,5,6,.833,5,3,8,2,1,0,2,1,21,+16,19:46,.563,.500,.000,.375,27.0,21.4,24.6,14.0,2.4,0.0,9.7,42.3,121,106
9,Patrick Patterson,Los Angeles Clippers,18:47,1,5,.200,1,5,.200,0,0,0,2,4,6,1,1,0,0,0,3,+3,18:47,.300,.300,1.000,.000,11.4,30.1,19.4,5.0,2.5,0.0,0.0,10.8,103,105
10,Landry Shamet,Los Angeles Clippers,14:21,1,3,.333,1,3,.333,0,0,0,0,1,1,0,1,1,1,3,3,+2,14:21,.500,.500,1.000,.000,0.0,9.8,4.2,0.0,3.2,6.2,25.0,11.3,73,99
