,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Khris Middleton,Milwaukee Bucks,33:00,12,21,.571,5,9,.556,2,2,1.000,3,5,8,4,1,0,1,3,31,-7,33:00,.708,.690,.429,.095,10.1,13.7,12.1,21.1,1.5,0.0,4.4,30.7,142,125
1,Brook Lopez,Milwaukee Bucks,32:43,4,8,.500,3,5,.600,0,0,0,1,4,5,1,0,1,0,2,11,+5,32:43,.688,.688,.625,.000,3.4,11.1,7.6,3.7,0.0,2.6,0.0,10.8,142,128
2,Giannis Antetokounmpo,Milwaukee Bucks,30:19,8,27,.296,0,7,.000,2,4,.500,2,12,14,7,1,1,3,3,18,-18,30:19,.313,.296,.259,.148,7.4,35.8,23.1,34.3,1.6,2.8,9.4,46.3,76,113
3,Donte DiVincenzo,Milwaukee Bucks,26:17,3,5,.600,0,2,.000,0,0,0,1,3,4,2,2,0,1,2,6,-8,26:17,.600,.600,.400,.000,4.2,10.3,7.6,9.2,3.7,0.0,16.7,10.1,115,121
4,Wesley Matthews,Milwaukee Bucks,24:41,2,5,.400,0,1,.000,0,0,0,0,2,2,3,0,0,0,1,4,-19,24:41,.400,.400,.200,.000,0.0,7.3,4.1,14.2,0.0,0.0,0.0,9.0,107,131
6,George Hill,Milwaukee Bucks,26:16,6,7,.857,3,3,1.000,0,0,0,0,1,1,2,0,1,1,1,15,-8,26:16,1.071,1.071,.429,.000,0.0,3.4,1.9,10.7,0.0,3.2,12.5,13.5,176,131
7,Kyle Korver,Milwaukee Bucks,20:29,1,4,.250,1,2,.500,0,0,0,0,5,5,2,0,0,0,1,3,-2,20:29,.375,.375,.500,.000,0.0,22.1,12.2,11.0,0.0,0.0,0.0,8.6,99,125
8,Ersan İlyasova,Milwaukee Bucks,15:05,3,5,.600,1,1,1.000,0,0,0,0,1,1,1,0,2,2,0,7,-9,15:05,.700,.700,.200,.000,0.0,6.0,3.3,9.0,0.0,11.2,28.6,20.5,96,124
9,Sterling Brown,Milwaukee Bucks,12:00,3,4,.750,0,0,0,1,1,1.000,0,3,3,0,0,0,0,1,7,+15,12:00,.788,.750,.000,.250,0.0,22.6,12.5,0.0,0.0,0.0,0.0,16.4,157,125
10,Pat Connaughton,Milwaukee Bucks,11:29,2,5,.400,0,0,0,1,1,1.000,1,3,4,1,2,1,2,0,5,+3,11:29,.460,.400,.000,.200,9.7,23.7,17.4,11.4,8.5,7.3,26.9,28.7,81,99
11,Robin Lopez,Milwaukee Bucks,7:41,1,4,.250,0,3,.000,0,0,0,0,0,0,0,0,0,0,1,2,-12,7:41,.250,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,53,134
12,Thanasis Antetokounmpo,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,D.J. Wilson,Milwaukee Bucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Milwaukee Bucks,240,45,95,.474,13,33,.394,6,8,.750,8,39,47,23,6,6,10,15,109,0,240,.553,.542,.347,.084,18.6,73.6,49.0,51.1,6.1,10.5,9.2,100.0,111.1,123.4
0,Ben Simmons,Philadelphia 76ers,38:03,7,10,.700,0,0,0,1,2,.500,1,6,7,14,3,2,2,3,15,+9,38:03,.689,.700,.000,.200,2.4,17.6,9.2,50.2,3.9,4.1,15.5,14.2,151,105
1,Josh Richardson,Philadelphia 76ers,36:52,7,20,.350,4,11,.364,0,0,0,3,2,5,4,1,1,1,1,18,+4,36:52,.450,.450,.550,.000,7.4,6.1,6.8,14.9,1.3,2.1,4.8,23.9,106,115
2,Tobias Harris,Philadelphia 76ers,34:51,8,16,.500,5,7,.714,1,1,1.000,1,3,4,2,1,0,1,0,22,+5,34:51,.669,.656,.438,.063,2.6,9.6,5.7,8.4,1.4,0.0,5.7,21.0,130,116
3,Al Horford,Philadelphia 76ers,32:54,3,12,.250,3,7,.429,2,2,1.000,2,8,10,5,1,1,0,1,11,-2,32:54,.427,.375,.583,.167,5.5,27.1,15.2,18.4,1.5,2.4,0.0,16.4,119,110
4,Joel Embiid,Philadelphia 76ers,28:26,11,21,.524,3,6,.500,6,6,1.000,2,9,11,3,0,2,1,5,31,+15,28:26,.656,.595,.286,.286,6.4,35.3,19.3,19.9,0.0,5.4,4.1,36.3,136,109
6,Furkan Korkmaz,Philadelphia 76ers,25:10,5,10,.500,4,5,.800,2,4,.500,1,1,2,0,3,1,0,1,16,+20,25:10,.680,.700,.500,.400,3.6,4.4,4.0,0.0,5.8,3.1,0.0,19.6,136,104
7,Mike Scott,Philadelphia 76ers,17:24,1,3,.333,1,3,.333,0,0,0,0,2,2,0,0,0,1,0,3,+10,17:24,.500,.500,1.000,.000,0.0,12.8,5.7,0.0,0.0,0.0,25.0,9.6,71,119
