,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rudy Gobert,Utah Jazz,36:19,4,6,.667,0,0,0,4,5,.800,1,7,8,0,0,1,1,2,12,+14,36:19,.732,.667,.000,.833,3.7,16.2,11.4,0.0,0.0,2.4,10.9,11.5,135,112
1,Donovan Mitchell,Utah Jazz,35:49,13,23,.565,4,9,.444,0,0,0,0,7,7,9,1,0,5,2,30,+19,35:49,.652,.652,.391,.000,0.0,16.5,10.1,43.7,1.4,0.0,17.9,35.6,117,110
2,Bojan Bogdanović,Utah Jazz,34:10,6,16,.375,2,5,.400,3,4,.750,1,4,5,3,2,0,2,2,17,+27,34:10,.479,.438,.313,.250,3.9,9.9,7.6,11.5,2.9,0.0,10.1,26.3,98,110
3,Royce O'Neale,Utah Jazz,34:02,4,5,.800,3,3,1.000,0,0,0,1,9,10,1,1,1,1,3,11,+11,34:02,1.100,1.100,.600,.000,3.9,22.3,15.2,3.6,1.5,2.6,16.7,8.0,170,105
4,Joe Ingles,Utah Jazz,33:54,5,10,.500,5,8,.625,0,0,0,0,6,6,8,0,0,1,3,15,+21,33:54,.750,.750,.800,.000,0.0,14.9,9.1,29.9,0.0,0.0,9.1,14.8,152,114
6,Jordan Clarkson,Utah Jazz,24:39,7,13,.538,1,4,.250,4,6,.667,1,3,4,2,0,0,0,1,19,+1,24:39,.607,.577,.308,.462,5.4,10.2,8.4,12.4,0.0,0.0,0.0,28.9,131,117
7,Emmanuel Mudiay,Utah Jazz,15:43,3,5,.600,0,1,.000,2,2,1.000,1,4,5,1,0,0,2,2,8,-16,15:43,.680,.600,.200,.400,8.5,21.4,16.4,8.5,0.0,0.0,25.4,22.8,111,110
8,Georges Niang,Utah Jazz,13:43,2,7,.286,2,5,.400,0,0,0,1,1,2,1,0,0,0,1,6,-11,13:43,.429,.429,.714,.000,9.7,6.1,7.5,9.2,0.0,0.0,0.0,23.2,103,119
9,Tony Bradley,Utah Jazz,11:41,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,-1,11:41,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,200,122
10,Juwan Morgan,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rayjon Tucker,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ed Davis,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Utah Jazz,240,45,86,.523,17,35,.486,13,17,.765,6,41,47,25,4,2,12,20,120,0,240,.642,.622,.407,.198,16.7,71.9,50.5,55.6,4.2,3.6,11.4,100.0,124.8,111.3
0,Paul George,Los Angeles Clippers,36:34,6,20,.300,4,10,.400,4,4,1.000,1,9,10,2,1,0,0,1,20,-8,36:34,.460,.400,.500,.200,2.3,32.8,14.1,9.7,1.4,0.0,0.0,25.1,107,125
1,Kawhi Leonard,Los Angeles Clippers,36:03,6,24,.250,1,7,.143,6,6,1.000,1,3,4,6,2,0,2,1,19,-23,36:03,.357,.271,.292,.250,2.3,11.1,5.7,29.6,2.8,0.0,7.0,33.5,86,125
2,Ivica Zubac,Los Angeles Clippers,27:46,4,7,.571,0,0,0,7,8,.875,9,3,12,2,0,1,1,4,15,-11,27:46,.713,.571,.000,1.143,27.3,14.4,22.3,12.3,0.0,3.4,8.7,17.5,160,128
3,Patrick Beverley,Los Angeles Clippers,23:08,5,9,.556,1,2,.500,1,1,1.000,4,1,5,0,0,1,1,1,12,-4,23:08,.636,.611,.222,.111,14.6,5.8,11.2,0.0,0.0,4.1,9.6,19.0,126,128
4,Maurice Harkless,Los Angeles Clippers,17:13,0,1,.000,0,0,0,0,0,0,0,4,4,1,1,1,0,2,0,-6,17:13,.000,.000,.000,.000,0.0,31.0,12.0,8.0,2.9,5.5,0.0,2.4,52,117
6,Lou Williams,Los Angeles Clippers,32:31,5,14,.357,1,6,.167,5,5,1.000,0,4,4,9,2,1,2,1,16,-3,32:31,.494,.393,.429,.357,0.0,16.4,6.3,48.1,3.1,2.9,11.0,23.6,112,121
7,Landry Shamet,Los Angeles Clippers,25:37,4,6,.667,4,5,.800,1,1,1.000,0,1,1,1,1,0,0,2,13,-6,25:37,1.009,1.000,.833,.167,0.0,5.2,2.0,6.8,1.9,0.0,0.0,10.6,195,127
8,JaMychal Green,Los Angeles Clippers,20:14,2,7,.286,0,5,.000,1,2,.500,1,2,3,1,1,0,1,4,5,-2,20:14,.317,.286,.714,.286,4.2,13.2,7.7,7.8,2.5,0.0,11.3,18.5,72,125
9,Rodney McGruder,Los Angeles Clippers,11:46,1,2,.500,1,2,.500,0,0,0,0,2,2,0,1,0,0,1,3,0,11:46,.750,.750,1.000,.000,0.0,22.7,8.8,0.0,4.2,0.0,0.0,7.2,146,120
10,Patrick Patterson,Los Angeles Clippers,7:32,2,5,.400,0,3,.000,0,0,0,0,1,1,0,0,0,0,1,4,-2,7:32,.400,.400,.600,.000,0.0,17.7,6.9,0.0,0.0,0.0,0.0,28.0,83,130
11,Jerome Robinson,Los Angeles Clippers,0:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,133
12,Derrick Walton,Los Angeles Clippers,0:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,133
13,Johnathan Motley,Los Angeles Clippers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Los Angeles Clippers,240,35,95,.368,12,40,.300,25,27,.926,16,30,46,22,9,4,7,18,107,0,240,.501,.432,.421,.284,28.1,83.3,49.5,62.9,9.4,7.8,6.1,100.0,111.3,124.8
