,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Evan Fournier,Orlando Magic,31:42,8,16,.500,4,7,.571,3,3,1.000,0,2,2,2,1,0,3,3,23,+9,31:42,.664,.625,.438,.188,0.0,7.0,3.3,13.2,1.5,0.0,14.8,28.9,107,118
1,Nikola Vučević,Orlando Magic,31:42,7,16,.438,5,10,.500,2,2,1.000,0,8,8,4,3,2,1,1,21,+3,31:42,.622,.594,.625,.125,0.0,28.2,13.2,24.8,4.5,6.4,5.6,25.5,118,102
2,Jonathan Isaac,Orlando Magic,29:54,8,13,.615,1,3,.333,2,2,1.000,4,5,9,2,7,1,2,3,19,+2,29:54,.684,.654,.231,.154,13.1,18.7,15.7,14.5,11.2,3.4,12.6,24.0,126,91
3,Markelle Fultz,Orlando Magic,29:37,1,10,.100,0,1,.000,2,2,1.000,0,3,3,6,0,0,2,3,4,+4,29:37,.184,.100,.100,.200,0.0,11.3,5.3,29.1,0.0,0.0,15.5,19.6,57,120
4,Aaron Gordon,Orlando Magic,21:24,2,9,.222,1,4,.250,0,0,0,0,2,2,0,0,2,1,0,5,-6,21:24,.278,.278,.444,.000,0.0,10.4,4.9,0.0,0.0,9.5,10.0,21.1,48,116
6,D.J. Augustin,Orlando Magic,28:15,4,7,.571,2,3,.667,2,2,1.000,0,1,1,4,2,0,0,2,12,-35,28:15,.761,.714,.429,.286,0.0,4.0,1.8,24.1,3.4,0.0,0.0,12.6,159,115
7,Terrence Ross,Orlando Magic,27:24,3,7,.429,1,4,.250,2,2,1.000,0,2,2,1,1,1,0,0,9,-21,27:24,.571,.500,.571,.286,0.0,8.1,3.8,5.9,1.8,3.7,0.0,13.0,116,116
8,Wes Iwundu,Orlando Magic,18:19,1,5,.200,0,3,.000,0,0,0,0,4,4,1,0,0,2,3,2,-12,18:19,.200,.200,.600,.000,0.0,24.4,11.4,8.1,0.0,0.0,28.6,17.2,36,116
9,Khem Birch,Orlando Magic,16:18,0,3,.000,0,0,0,2,4,.500,1,2,3,1,1,1,0,2,2,-14,16:18,.210,.000,.000,1.333,6.0,13.7,9.6,8.4,2.9,6.3,0.0,13.2,69,109
10,Josh Magette,Orlando Magic,1:48,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+5,1:48,.568,0,0,0,0.0,0.0,0.0,0.0,26.7,0.0,0.0,22.1,124,64
11,Melvin Frazier,Orlando Magic,1:48,0,0,0,0,0,0,1,2,.500,0,0,0,0,1,0,0,0,1,+5,1:48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,124
12,Amile Jefferson,Orlando Magic,1:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+5,1:48,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,200,124
13,Team Totals,Orlando Magic,240,35,87,.402,14,35,.400,16,19,.842,5,29,34,21,16,7,11,17,100,0,240,.524,.483,.402,.218,10.2,67.4,37.0,60.0,16.0,14.9,10.3,100.0,100.1,111.1
0,Khris Middleton,Milwaukee Bucks,33:00,7,17,.412,1,5,.200,6,6,1.000,1,4,5,7,2,0,4,1,21,0,33:00,.535,.441,.294,.353,3.4,11.9,7.9,31.0,2.9,0.0,16.9,29.9,111,99
1,Brook Lopez,Milwaukee Bucks,27:24,5,16,.313,0,6,.000,0,0,0,2,1,3,1,3,3,3,2,10,0,27:24,.313,.313,.375,.000,8.1,3.6,5.7,5.1,5.3,10.1,15.8,29.0,66,85
2,Ersan İlyasova,Milwaukee Bucks,26:35,6,10,.600,5,6,.833,0,0,0,3,11,14,5,0,1,2,0,17,+18,26:35,.850,.850,.600,.000,12.6,40.5,27.5,28.1,0.0,3.5,16.7,18.9,149,98
