,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelly Oubre Jr.,Phoenix Suns,40:57,8,14,.571,2,4,.500,2,2,1.000,2,13,15,5,2,0,2,2,20,+1,40:57,.672,.643,.286,.143,6.5,38.1,23.1,16.5,2.4,0.0,11.8,18.7,128,110
1,Devin Booker,Phoenix Suns,40:55,14,23,.609,0,4,.000,4,6,.667,1,2,3,10,2,0,3,3,32,+6,40:55,.624,.609,.174,.261,3.3,5.9,4.6,41.1,2.4,0.0,10.5,31.8,124,115
2,Ricky Rubio,Phoenix Suns,33:20,7,15,.467,3,5,.600,4,4,1.000,1,2,3,8,2,2,2,3,21,+1,33:20,.626,.567,.333,.267,4.0,7.2,5.7,33.0,3.0,5.4,10.7,25.6,127,109
3,Aron Baynes,Phoenix Suns,29:38,8,11,.727,1,3,.333,0,0,0,1,4,5,0,0,0,1,5,17,+7,29:38,.773,.773,.273,.000,4.5,16.2,10.7,0.0,0.0,0.0,8.3,18.4,132,118
4,Dario Šarić,Phoenix Suns,21:09,0,7,.000,0,3,.000,0,0,0,0,2,2,2,1,0,2,3,0,-4,21:09,.000,.000,.429,.000,0.0,11.3,6.0,10.1,2.3,0.0,22.2,19.3,16,114
6,Mikal Bridges,Phoenix Suns,24:41,5,7,.714,1,2,.500,0,0,0,1,1,2,1,2,0,2,3,11,-1,24:41,.786,.786,.286,.000,5.4,4.9,5.1,5.5,4.0,0.0,22.2,16.6,116,111
7,Cameron Johnson,Phoenix Suns,14:16,1,3,.333,1,3,.333,0,0,0,1,2,3,0,0,0,1,1,3,-1,14:16,.500,.500,1.000,.000,9.3,16.8,13.3,0.0,0.0,0.0,25.0,12.7,85,119
8,Elie Okobo,Phoenix Suns,11:54,1,4,.250,1,2,.500,3,3,1.000,0,1,1,3,1,0,0,0,6,+6,11:54,.564,.375,.500,.750,0.0,10.1,5.3,29.5,4.2,0.0,0.0,20.3,139,111
9,Cheick Diallo,Phoenix Suns,11:34,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,1,0,-1,11:34,0,0,0,0,0.0,51.9,27.3,9.2,0.0,0.0,0,0.0,220,113
10,Frank Kaminsky,Phoenix Suns,6:48,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,6:48,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,122
11,Jevon Carter,Phoenix Suns,4:45,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4:45,1.000,1.000,.000,.000,0.0,25.3,13.3,0.0,0.0,0.0,0.0,9.6,200,118
12,Ty Jerome,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Tyler Johnson,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Phoenix Suns,240,45,86,.523,9,26,.346,13,15,.867,7,33,40,30,10,2,13,21,112,0,240,.605,.576,.302,.174,19.4,82.5,52.6,66.7,10.3,3.8,12.3,100.0,115.5,113.4
0,Harrison Barnes,Sacramento Kings,38:37,7,16,.438,0,4,.000,7,10,.700,3,7,10,1,1,0,1,0,21,0,38:37,.515,.438,.250,.625,9.3,24.2,16.4,3.8,1.3,0.0,4.7,25.0,111,114
1,Buddy Hield,Sacramento Kings,37:18,8,17,.471,4,6,.667,3,5,.600,0,5,5,2,0,1,4,2,23,-3,37:18,.599,.588,.353,.294,0.0,17.9,8.5,8.4,0.0,2.1,17.2,28.0,100,116
2,Richaun Holmes,Sacramento Kings,35:48,5,5,1.000,0,0,0,4,5,.800,0,3,3,0,0,1,0,3,14,-6,35:48,.972,1.000,.000,1.000,0.0,11.2,5.3,0.0,0.0,2.2,0.0,9.1,200,117
3,Cory Joseph,Sacramento Kings,32:28,5,10,.500,0,4,.000,0,0,0,2,3,5,5,0,0,0,3,10,-3,32:28,.500,.500,.400,.000,7.4,12.3,9.7,22.0,0.0,0.0,0.0,13.9,128,119
4,Nemanja Bjelica,Sacramento Kings,30:08,4,12,.333,2,4,.500,1,2,.500,2,4,6,4,1,1,2,2,11,+9,30:08,.427,.417,.333,.167,8.0,17.7,12.6,18.4,1.6,2.7,13.4,22.2,95,112
6,Bogdan Bogdanović,Sacramento Kings,31:42,8,12,.667,5,7,.714,1,2,.500,0,4,4,3,0,0,4,3,22,-1,31:42,.854,.875,.583,.167,0.0,16.8,8.0,15.7,0.0,0.0,23.7,24.0,124,118
7,Yogi Ferrell,Sacramento Kings,22:18,2,7,.286,1,4,.250,0,0,0,0,1,1,4,0,0,1,2,5,-2,22:18,.357,.357,.571,.000,0.0,6.0,2.8,23.5,0.0,0.0,12.5,16.2,87,120
8,Justin James,Sacramento Kings,8:45,2,5,.400,0,2,.000,0,0,0,0,2,2,0,1,1,0,1,4,-2,8:45,.400,.400,.400,.000,0.0,30.5,14.4,0.0,5.7,9.1,0.0,25.7,81,96
9,Wenyen Gabriel,Sacramento Kings,2:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2:53,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,121
10,Dewayne Dedmon,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Trevor Ariza,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Harry Giles,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Caleb Swanigan,Sacramento Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Sacramento Kings,240,41,84,.488,12,31,.387,16,24,.667,7,29,36,19,3,4,12,16,110,0,240,.582,.560,.369,.286,17.5,80.6,47.4,46.3,3.1,6.7,11.3,100.0,113.4,115.5
