,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jimmy Butler,Miami Heat,36:39,6,10,.600,0,0,0,15,19,.789,1,5,6,4,0,0,1,0,27,-7,36:39,.735,.600,.000,1.900,3.2,15.2,9.4,20.8,0.0,0.0,5.2,23.4,155,131
1,Bam Adebayo,Miami Heat,35:45,6,11,.545,0,0,0,2,3,.667,3,11,14,5,0,0,6,4,14,-23,35:45,.568,.545,.000,.273,9.8,34.3,22.4,26.9,0.0,0.0,32.8,22.7,93,127
2,Kendrick Nunn,Miami Heat,33:44,5,14,.357,3,8,.375,1,2,.500,0,2,2,3,0,0,3,2,14,-17,33:44,.470,.464,.571,.143,0.0,6.6,3.4,16.5,0.0,0.0,16.8,23.5,87,133
3,Duncan Robinson,Miami Heat,31:11,5,11,.455,3,8,.375,3,3,1.000,0,4,4,1,1,0,1,2,16,-13,31:11,.649,.591,.727,.273,0.0,14.3,7.3,6.1,1.6,0.0,7.5,19.0,125,127
4,Meyers Leonard,Miami Heat,24:11,2,3,.667,1,1,1.000,2,2,1.000,3,4,7,1,0,0,2,3,7,+10,24:11,.902,.833,.333,.667,14.5,18.5,16.5,6.8,0.0,0.0,34.0,10.8,132,130
6,Derrick Jones Jr.,Miami Heat,30:38,3,4,.750,0,1,.000,3,5,.600,0,4,4,0,3,1,0,2,9,-17,30:38,.726,.750,.250,1.250,0.0,14.6,7.5,0.0,4.9,3.3,0.0,9.0,149,118
7,Goran Dragić,Miami Heat,22:53,3,12,.250,2,6,.333,2,3,.667,2,0,2,2,1,0,1,3,10,-17,22:53,.375,.333,.500,.250,10.2,0.0,5.0,15.7,2.2,0.0,7.0,27.8,90,129
8,Tyler Herro,Miami Heat,20:29,2,7,.286,1,4,.250,1,2,.500,0,3,3,2,0,0,3,2,6,-2,20:29,.381,.357,.571,.286,0.0,16.3,8.4,16.6,0.0,0.0,27.6,23.6,66,131
9,Kelly Olynyk,Miami Heat,2:38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,+1,2:38,0,0,0,0,0.0,42.4,21.7,0.0,0.0,0.0,0,0.0,0,118
10,Chris Silva,Miami Heat,1:52,1,1,1.000,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,-5,1:52,1.000,1.000,.000,.000,62.7,0.0,30.6,0.0,0.0,0.0,50.0,47.5,92,131
