,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jrue Holiday,New Orleans Pelicans,35:34,4,14,.286,0,4,.000,4,4,1.000,0,3,3,6,1,1,3,0,12,-12,35:34,.381,.286,.286,.286,0.0,10.4,4.7,19.0,1.3,2.4,16.0,21.8,82,122
1,Brandon Ingram,New Orleans Pelicans,35:07,10,27,.370,2,8,.250,0,0,0,1,2,3,3,0,2,3,3,22,-21,35:07,.407,.407,.296,.000,2.8,7.0,4.7,11.9,0.0,4.8,10.0,35.3,80,123
2,Derrick Favors,New Orleans Pelicans,33:54,7,11,.636,0,1,.000,1,1,1.000,5,9,14,2,0,4,0,3,15,+8,33:54,.656,.636,.091,.091,14.7,32.7,22.8,7.4,0.0,9.9,0.0,14.0,149,115
3,Lonzo Ball,New Orleans Pelicans,33:21,10,16,.625,2,7,.286,1,2,.500,0,2,2,5,2,0,1,2,23,-12,33:21,.681,.688,.438,.125,0.0,7.4,3.3,21.4,2.8,0.0,5.6,22.2,134,121
4,J.J. Redick,New Orleans Pelicans,27:57,5,9,.556,4,5,.800,0,0,0,1,4,5,2,0,0,1,1,14,-22,27:57,.778,.778,.556,.000,3.6,17.6,9.9,8.7,0.0,0.0,10.0,14.8,140,125
6,E'Twaun Moore,New Orleans Pelicans,29:24,7,14,.500,2,6,.333,0,0,0,0,3,3,2,0,1,1,3,16,0,29:24,.571,.571,.429,.000,0.0,12.6,5.6,8.9,0.0,2.9,6.7,21.1,109,124
7,Josh Hart,New Orleans Pelicans,24:28,2,7,.286,1,6,.167,0,0,0,0,4,4,1,1,1,1,3,5,+15,24:28,.357,.357,.857,.000,0.0,20.1,9.0,4.5,1.9,3.4,12.5,13.5,69,118
8,Jaxson Hayes,New Orleans Pelicans,14:06,3,4,.750,0,0,0,0,0,0,2,1,3,3,0,1,1,3,6,-18,14:06,.750,.750,.000,.000,14.2,8.7,11.7,27.0,0.0,6.0,20.0,14.7,142,122
9,Kenrich Williams,New Orleans Pelicans,6:09,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,+12,6:09,0,0,0,0,0.0,60.0,26.9,0.0,0.0,0.0,0,0.0,0,117
10,Frank Jackson,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Jahlil Okafor,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nickeil Alexander-Walker,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Nicolò Melli,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New Orleans Pelicans,240,48,102,.471,11,37,.297,6,7,.857,9,31,40,24,4,10,11,20,113,0,240,.538,.525,.363,.069,18.8,79.5,46.0,50.0,3.9,17.5,9.5,100.0,110.4,120.2
0,Anthony Davis,Los Angeles Lakers,37:57,15,21,.714,3,5,.600,13,13,1.000,2,11,13,1,3,1,3,3,46,+26,37:57,.861,.786,.238,.619,6.5,29.0,18.9,5.3,3.7,1.9,10.1,34.1,154,103
1,LeBron James,Los Angeles Lakers,37:13,7,17,.412,1,3,.333,2,5,.400,0,8,8,15,2,0,2,1,17,+17,37:13,.443,.441,.176,.294,0.0,21.5,11.9,56.9,2.5,0.0,9.4,24.8,114,109
2,Danny Green,Los Angeles Lakers,32:49,9,14,.643,6,10,.600,1,2,.500,2,3,5,5,2,0,0,1,25,+27,32:49,.840,.857,.714,.143,7.5,9.1,8.4,24.5,2.9,0.0,0.0,19.7,170,110
3,Avery Bradley,Los Angeles Lakers,31:16,2,6,.333,1,3,.333,2,2,1.000,1,1,2,1,1,0,1,2,7,+21,31:16,.509,.417,.500,.333,3.9,3.2,3.5,3.8,1.5,0.0,12.7,11.0,104,115
4,JaVale McGee,Los Angeles Lakers,15:05,2,5,.400,0,0,0,2,2,1.000,2,5,7,0,1,1,0,2,6,+19,15:05,.510,.400,.000,.400,16.3,33.1,25.6,0.0,3.1,4.9,0.0,17.0,125,100
6,Kentavious Caldwell-Pope,Los Angeles Lakers,26:24,1,7,.143,0,3,.000,3,4,.750,0,2,2,1,0,0,1,2,5,-5,26:24,.285,.143,.429,.571,0.0,7.6,4.2,4.4,0.0,0.0,10.2,16.1,63,117
7,Kyle Kuzma,Los Angeles Lakers,18:58,4,10,.400,2,4,.500,0,0,0,0,2,2,1,0,1,1,2,10,-13,18:58,.500,.500,.400,.000,0.0,10.5,5.8,7.7,0.0,3.9,9.1,25.2,91,113
8,Dwight Howard,Los Angeles Lakers,15:56,1,1,1.000,0,0,0,0,0,0,1,2,3,0,0,1,2,1,2,-18,15:56,1.000,1.000,.000,.000,7.7,12.6,10.4,0.0,0.0,4.6,66.7,8.2,70,112
9,Rajon Rondo,Los Angeles Lakers,15:20,1,4,.250,0,0,0,0,0,0,0,5,5,5,0,0,1,0,2,-19,15:20,.250,.250,.000,.000,0.0,32.6,18.0,39.3,0.0,0.0,20.0,14.2,90,112
10,Troy Daniels,Los Angeles Lakers,9:02,1,1,1.000,1,1,1.000,0,0,0,0,0,0,0,0,0,1,0,3,-5,9:02,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.6,85,119
11,Jared Dudley,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Quinn Cook,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Lakers,240,43,86,.500,14,29,.483,23,28,.821,8,39,47,29,9,4,12,14,123,0,240,.626,.581,.337,.326,20.5,81.3,54.0,67.4,8.8,6.2,10.9,100.0,120.2,110.4
