,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Damian Lillard,Portland Trail Blazers,36:58,5,11,.455,4,7,.571,6,6,1.000,0,4,4,9,0,2,4,0,20,+8,36:58,.733,.636,.636,.545,0.0,9.4,5.1,37.1,0.0,4.8,22.7,22.0,125,109
1,Hassan Whiteside,Portland Trail Blazers,36:55,7,13,.538,0,0,0,0,1,.000,5,11,16,4,0,7,2,3,14,+8,36:55,.521,.538,.000,.077,13.8,26.0,20.4,18.0,0.0,16.9,13.0,19.3,111,93
2,Carmelo Anthony,Portland Trail Blazers,35:50,10,17,.588,5,8,.625,3,3,1.000,0,7,7,1,2,0,1,3,28,+11,35:50,.764,.735,.471,.176,0.0,17.0,9.2,5.4,2.8,0.0,5.2,24.8,136,100
3,CJ McCollum,Portland Trail Blazers,35:13,5,19,.263,0,6,.000,0,1,.000,1,4,5,6,1,0,0,2,10,-1,35:13,.257,.263,.316,.053,2.9,9.9,6.7,26.2,1.4,0.0,0.0,25.4,73,108
4,Kent Bazemore,Portland Trail Blazers,25:32,3,10,.300,1,5,.200,0,0,0,0,2,2,0,2,0,0,0,7,+1,25:32,.350,.350,.500,.000,0.0,6.8,3.7,0.0,3.9,0.0,0.0,18.0,69,104
6,Anfernee Simons,Portland Trail Blazers,29:36,4,10,.400,2,4,.500,2,2,1.000,0,4,4,1,0,0,2,1,12,+6,29:36,.551,.500,.400,.200,0.0,11.8,6.4,5.1,0.0,0.0,15.5,20.1,92,110
7,Gary Trent Jr.,Portland Trail Blazers,12:29,1,3,.333,0,2,.000,0,0,0,0,0,0,1,0,2,1,0,2,-5,12:29,.333,.333,.667,.000,0.0,0.0,0.0,11.3,0.0,14.2,25.0,14.8,60,110
8,Mario Hezonja,Portland Trail Blazers,12:13,2,3,.667,1,2,.500,0,0,0,0,2,2,1,1,0,0,4,5,-9,12:13,.833,.833,.667,.000,0.0,14.3,7.7,13.0,4.1,0.0,0.0,11.3,163,98
9,Anthony Tolliver,Portland Trail Blazers,11:02,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0,-6,11:02,0,0,0,0,9.3,23.7,17.1,0.0,0.0,0.0,0,0.0,232,102
10,Nassir Little,Portland Trail Blazers,4:12,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,0,3,-3,4:12,.615,.500,.500,.500,0.0,20.8,11.2,0.0,0.0,0.0,0.0,26.8,124,105
11,Jaylen Hoard,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jusuf Nurkić,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Portland Trail Blazers,240,38,88,.432,13,35,.371,12,14,.857,7,38,45,23,6,11,10,15,101,0,240,.536,.506,.398,.159,14.9,69.1,44.1,60.5,6.2,20.4,9.6,100.0,105.2,103.1
0,Kyle Lowry,Toronto Raptors,38:03,7,23,.304,4,16,.250,6,7,.857,1,3,4,10,0,1,2,4,24,-7,38:03,.460,.391,.696,.304,2.3,8.1,4.9,48.2,0.0,2.4,7.1,30.2,112,110
1,Patrick McCaw,Toronto Raptors,35:49,2,8,.250,0,1,.000,2,2,1.000,0,4,4,3,3,0,1,2,6,-1,35:49,.338,.250,.125,.250,0.0,11.4,5.3,12.4,4.2,0.0,10.1,11.3,84,102
2,Serge Ibaka,Toronto Raptors,32:13,7,12,.583,2,3,.667,1,2,.500,1,10,11,2,0,0,4,3,17,-10,32:13,.660,.667,.250,.167,2.7,31.7,16.1,12.1,0.0,0.0,23.7,21.4,101,107
3,OG Anunoby,Toronto Raptors,29:44,3,9,.333,2,4,.500,0,0,0,2,4,6,0,0,1,1,2,8,-9,29:44,.444,.444,.444,.000,5.9,13.7,9.5,0.0,0.0,3.0,10.0,13.8,93,108
4,Rondae Hollis-Jefferson,Toronto Raptors,25:13,4,13,.308,0,0,0,0,0,0,5,1,6,2,1,0,0,3,8,-5,25:13,.308,.308,.000,.000,17.3,4.1,11.2,13.9,2.0,0.0,0.0,21.1,93,108
6,Oshae Brissett,Toronto Raptors,22:44,5,9,.556,2,4,.500,0,0,0,3,3,6,1,1,0,0,1,12,+3,22:44,.667,.667,.444,.000,11.5,13.5,12.4,8.6,2.2,0.0,0.0,16.2,148,106
7,Stanley Johnson,Toronto Raptors,17:25,1,7,.143,1,4,.250,1,2,.500,1,2,3,2,0,1,1,0,4,+7,17:25,.254,.214,.571,.286,5.0,11.7,8.1,17.1,0.0,5.2,11.3,20.9,69,107
8,Chris Boucher,Toronto Raptors,15:47,4,7,.571,2,3,.667,2,4,.500,3,6,9,0,0,3,1,5,12,+8,15:47,.685,.714,.429,.571,16.6,38.8,26.8,0.0,0.0,17.2,10.2,25.3,126,90
9,Matt Thomas,Toronto Raptors,14:54,2,6,.333,2,6,.333,2,2,1.000,0,6,6,0,0,0,2,1,8,+7,14:54,.581,.500,1.000,.333,0.0,41.1,18.9,0.0,0.0,0.0,22.5,24.4,92,105
10,Terence Davis,Toronto Raptors,8:08,0,2,.000,0,1,.000,0,0,0,1,1,2,1,0,1,1,0,0,-3,8:08,.000,.000,.500,.000,10.7,12.6,11.6,16.9,0.0,11.1,33.3,15.1,36,101
11,Shamorie Ponds,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Malcolm Miller,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Toronto Raptors,240,35,96,.365,15,42,.357,14,19,.737,17,40,57,21,5,7,13,21,99,0,240,.474,.443,.438,.198,30.9,85.1,55.9,60.0,5.2,13.2,11.1,100.0,103.1,105.2
