,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kyle Kuzma,Los Angeles Lakers,33:55,9,22,.409,2,8,.250,6,6,1.000,4,2,6,2,0,0,0,2,26,+8,33:55,.528,.455,.364,.273,13.5,5.2,8.8,8.3,0.0,0.0,0.0,31.7,129,123
1,LeBron James,Los Angeles Lakers,32:16,14,25,.560,3,6,.500,4,5,.800,2,14,16,7,1,0,3,0,35,+13,32:16,.643,.620,.240,.200,7.1,38.6,24.8,39.8,1.5,0.0,9.9,40.8,132,105
2,Danny Green,Los Angeles Lakers,22:24,1,4,.250,1,2,.500,0,0,0,0,3,3,2,0,1,0,3,3,+13,22:24,.375,.375,.500,.000,0.0,11.9,6.7,9.6,0.0,3.7,0.0,7.8,108,118
3,Avery Bradley,Los Angeles Lakers,21:24,3,6,.500,2,3,.667,0,0,0,0,1,1,0,1,0,1,3,8,+10,21:24,.667,.667,.500,.000,0.0,4.2,2.3,0.0,2.3,0.0,14.3,14.3,115,119
4,JaVale McGee,Los Angeles Lakers,18:08,4,4,1.000,0,0,0,1,4,.250,2,1,3,0,2,1,0,5,9,+9,18:08,.781,1.000,.000,1.000,12.6,4.9,8.3,0.0,5.4,4.6,0.0,13.9,161,108
6,Alex Caruso,Los Angeles Lakers,25:13,2,3,.667,0,0,0,5,5,1.000,0,2,2,2,1,0,1,2,9,+6,25:13,.865,.667,.000,1.667,0.0,7.1,4.0,8.8,1.9,0.0,16.1,10.7,159,118
7,Rajon Rondo,Los Angeles Lakers,24:13,3,9,.333,0,0,0,4,4,1.000,1,4,5,3,0,0,2,1,10,+9,24:13,.465,.333,.000,.444,4.7,14.7,10.3,14.5,0.0,0.0,15.7,23.0,101,119
8,Kentavious Caldwell-Pope,Los Angeles Lakers,24:07,2,6,.333,1,3,.333,3,4,.750,1,2,3,1,1,1,0,1,8,+6,24:07,.515,.417,.500,.667,4.7,7.4,6.2,4.6,2.0,3.4,0.0,14.0,128,116
9,Jared Dudley,Los Angeles Lakers,19:45,2,3,.667,1,2,.500,0,0,0,0,4,4,0,0,1,0,5,5,+6,19:45,.833,.833,.667,.000,0.0,18.0,10.1,0.0,0.0,4.2,0.0,6.6,171,114
10,Dwight Howard,Los Angeles Lakers,10:13,4,4,1.000,0,0,0,2,4,.500,2,4,6,0,0,1,0,5,10,+3,10:13,.868,1.000,.000,1.000,22.4,34.8,29.4,0.0,0.0,8.1,0.0,24.6,179,103
11,Quinn Cook,Los Angeles Lakers,3:02,3,3,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-2,3:02,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,200,126
12,Troy Daniels,Los Angeles Lakers,3:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3:02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,126
13,Kostas Antetokounmpo,Los Angeles Lakers,2:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4,2:18,0,0,0,0,0.0,0.0,0.0,44.4,0.0,0.0,0,0.0,221,126
14,Team Totals,Los Angeles Lakers,240,47,89,.528,10,24,.417,25,32,.781,12,37,49,18,6,5,7,27,129,0,240,.626,.584,.270,.360,28.6,68.5,51.0,38.3,6.1,8.6,6.4,100.0,131.3,116.0
0,Luka Dončić,Dallas Mavericks,32:04,8,19,.421,1,5,.200,8,13,.615,2,8,10,7,0,0,6,3,25,-13,32:04,.506,.447,.263,.684,5.5,28.5,15.6,38.8,0.0,0.0,19.5,37.9,98,131
1,Tim Hardaway Jr.,Dallas Mavericks,31:53,7,16,.438,3,9,.333,5,6,.833,1,6,7,1,1,0,1,2,22,-5,31:53,.590,.531,.563,.375,2.8,21.5,11.0,5.3,1.5,0.0,5.1,24.4,125,129
2,Dorian Finney-Smith,Dallas Mavericks,27:52,5,14,.357,2,9,.222,1,2,.500,4,2,6,0,1,0,0,5,13,-7,27:52,.437,.429,.643,.143,12.8,8.2,10.8,0.0,1.8,0.0,0.0,21.1,109,132
3,Dwight Powell,Dallas Mavericks,26:10,2,4,.500,0,0,0,3,5,.600,0,4,4,2,0,0,0,2,7,-11,26:10,.565,.500,.000,1.250,0.0,17.5,7.6,10.4,0.0,0.0,0.0,9.4,133,134
4,Delon Wright,Dallas Mavericks,26:04,2,6,.333,0,1,.000,0,1,.000,2,3,5,2,1,0,1,2,4,-13,26:04,.311,.333,.167,.167,6.8,13.2,9.6,10.4,1.9,0.0,13.4,11.3,83,130
6,Seth Curry,Dallas Mavericks,31:43,6,14,.429,3,6,.500,1,1,1.000,0,1,1,2,1,0,0,1,16,-13,31:43,.554,.536,.429,.071,0.0,3.6,1.6,10.1,1.5,0.0,0.0,18.0,126,134
7,Maxi Kleber,Dallas Mavericks,22:42,0,3,.000,0,2,.000,2,3,.667,1,1,2,1,0,3,0,3,2,-3,22:42,.231,.000,.667,1.000,3.9,5.0,4.4,5.4,0.0,9.8,0.0,7.5,81,129
8,Jalen Brunson,Dallas Mavericks,14:11,2,7,.286,0,2,.000,2,2,1.000,0,1,1,4,0,0,0,0,6,-4,14:11,.381,.286,.286,.286,0.0,8.1,3.5,42.0,0.0,0.0,0.0,22.0,110,136
9,Justin Jackson,Dallas Mavericks,13:09,1,3,.333,1,3,.333,0,0,0,0,0,0,0,0,0,1,0,3,-4,13:09,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,76,138
10,Boban Marjanović,Dallas Mavericks,10:19,5,9,.556,1,1,1.000,3,4,.750,7,3,10,0,0,0,0,2,14,-5,10:19,.651,.611,.111,.444,60.3,33.2,48.5,0.0,0.0,0.0,0.0,41.3,152,129
11,Antonius Cleveland,Dallas Mavericks,3:53,1,1,1.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,+3,3:53,1.000,1.000,.000,.000,0.0,29.4,12.9,0.0,0.0,0.0,0.0,10.2,200,131
12,Courtney Lee,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,J.J. Barea,Dallas Mavericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Dallas Mavericks,240,39,96,.406,11,38,.289,25,37,.676,17,30,47,19,4,3,9,20,114,0,240,.508,.464,.396,.385,31.5,71.4,49.0,48.7,4.1,4.6,7.4,100.0,116.0,131.3
