,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cam Reddish,Atlanta Hawks,29:14,6,16,.375,4,8,.500,4,4,1.000,0,0,0,2,5,0,3,0,20,-26,29:14,.563,.500,.500,.250,0.0,0.0,0.0,14.8,7.7,0.0,14.5,29.9,91,95
1,John Collins,Atlanta Hawks,28:12,2,11,.182,0,5,.000,4,5,.800,1,4,5,3,0,2,1,3,8,-19,28:12,.303,.182,.455,.455,2.9,18.9,9.0,17.9,0.0,6.7,7.0,21.2,69,104
2,Brandon Goodwin,Atlanta Hawks,26:46,3,12,.250,1,8,.125,1,1,1.000,1,3,4,3,2,0,4,4,8,-21,26:46,.322,.292,.667,.083,3.0,14.9,7.6,20.2,3.4,0.0,24.3,25.9,56,101
3,Kevin Huerter,Atlanta Hawks,25:54,3,11,.273,2,5,.400,0,0,0,0,5,5,5,0,0,0,2,8,-23,25:54,.364,.364,.455,.000,0.0,25.7,9.8,35.0,0.0,0.0,0.0,17.9,84,108
4,De'Andre Hunter,Atlanta Hawks,17:28,1,5,.200,0,4,.000,0,0,0,0,1,1,1,0,0,1,3,2,-20,17:28,.200,.200,.800,.000,0.0,7.6,2.9,9.4,0.0,0.0,16.7,14.5,39,109
6,DeAndre' Bembry,Atlanta Hawks,22:11,5,10,.500,2,4,.500,0,0,0,1,2,3,3,4,0,3,3,12,-6,22:11,.600,.600,.400,.000,3.7,12.0,6.8,30.6,8.1,0.0,23.1,24.7,90,91
7,Damian Jones,Atlanta Hawks,18:43,2,2,1.000,0,0,0,0,0,0,1,4,5,0,0,1,0,3,4,+3,18:43,1.000,1.000,.000,.000,4.3,28.5,13.5,0.0,0.0,5.0,0.0,4.5,207,103
8,Alex Len,Atlanta Hawks,16:21,5,8,.625,0,3,.000,0,0,0,0,4,4,1,0,0,0,2,10,-6,16:21,.625,.625,.375,.000,0.0,32.6,12.4,16.9,0.0,0.0,0.0,20.6,114,107
9,Allen Crabbe,Atlanta Hawks,16:11,0,3,.000,0,1,.000,0,0,0,0,2,2,1,1,0,0,2,0,0,16:11,.000,.000,.333,.000,0.0,16.5,6.2,9.3,2.8,0.0,0.0,7.8,16,103
10,Vince Carter,Atlanta Hawks,14:27,3,6,.500,2,5,.400,0,0,0,0,2,2,0,3,0,0,1,8,-16,14:27,.667,.667,.833,.000,0.0,18.5,7.0,0.0,9.3,0.0,0.0,17.5,111,89
11,Paul Watson,Atlanta Hawks,13:29,0,6,.000,0,2,.000,0,0,0,0,1,1,3,1,0,0,0,0,+8,13:29,.000,.000,.333,.000,0.0,9.9,3.7,33.4,3.3,0.0,0.0,18.8,23,103
12,Charlie Brown Jr.,Atlanta Hawks,11:04,2,7,.286,1,3,.333,1,1,1.000,0,1,1,1,0,1,0,0,6,+16,11:04,.403,.357,.429,.143,0.0,12.0,4.6,18.6,0.0,8.5,0.0,28.3,81,105
13,Trae Young,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,32,97,.330,12,48,.250,10,11,.909,4,29,33,23,16,4,12,23,86,0,240,.422,.392,.495,.113,6.8,80.6,34.7,71.9,15.0,7.8,10.5,100.0,80.5,101.0
