,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rudy Gobert,Utah Jazz,37:31,8,10,.800,0,0,0,5,9,.556,5,9,14,2,1,2,3,5,21,+15,37:31,.752,.800,.000,.900,16.0,28.1,22.1,6.8,1.3,3.6,17.7,19.4,135,113
1,Bojan Bogdanović,Utah Jazz,36:18,12,23,.522,2,8,.250,5,5,1.000,0,3,3,3,0,0,4,0,31,+10,36:18,.615,.565,.348,.217,0.0,9.7,4.9,12.3,0.0,0.0,13.7,34.5,114,123
2,Joe Ingles,Utah Jazz,33:15,6,15,.400,4,8,.500,4,4,1.000,0,2,2,9,2,0,0,2,20,+12,33:15,.597,.533,.533,.267,0.0,7.0,3.6,33.0,3.0,0.0,0.0,21.6,149,117
3,Emmanuel Mudiay,Utah Jazz,30:10,6,10,.600,1,4,.250,1,1,1.000,1,4,5,5,0,0,0,2,14,+2,30:10,.670,.650,.400,.100,4.0,15.5,9.8,20.7,0.0,0.0,0.0,14.8,157,122
4,Royce O'Neale,Utah Jazz,28:53,3,4,.750,2,2,1.000,2,2,1.000,1,4,5,1,0,0,0,4,10,+10,28:53,1.025,1.000,.500,.500,4.2,16.2,10.3,3.9,0.0,0.0,0.0,7.2,212,122
6,Jordan Clarkson,Utah Jazz,34:18,10,22,.455,1,5,.200,2,2,1.000,2,0,2,3,2,0,2,1,23,+6,34:18,.503,.477,.227,.091,7.0,0.0,3.5,12.3,2.9,0.0,8.0,31.1,109,119
7,Georges Niang,Utah Jazz,17:24,2,4,.500,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,1,6,+3,17:24,.615,.500,.500,.500,0.0,13.5,6.8,0.0,0.0,0.0,0.0,12.0,136,123
8,Rayjon Tucker,Utah Jazz,11:42,0,1,.000,0,1,.000,0,0,0,0,4,4,0,0,0,0,1,0,+1,11:42,.000,.000,1.000,.000,0.0,40.0,20.3,0.0,0.0,0.0,0.0,3.7,0,117
9,Tony Bradley,Utah Jazz,10:29,1,1,1.000,0,0,0,0,0,0,3,4,7,1,1,0,2,2,2,-4,10:29,1.000,1.000,.000,.000,34.3,44.7,39.6,10.5,4.7,0.0,66.7,12.3,109,106
10,Juwan Morgan,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ed Davis,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Justin Wright-Foreman,Utah Jazz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Utah Jazz,240,48,90,.533,10,30,.333,21,25,.840,12,32,44,24,6,2,11,18,127,0,240,.629,.589,.333,.278,30.0,78.0,54.3,50.0,6.1,2.8,9.8,100.0,129.9,118.7
0,Ian Mahinmi,Washington Wizards,30:46,5,7,.714,1,1,1.000,4,4,1.000,2,4,6,7,2,1,0,3,15,-7,30:46,.856,.786,.143,.571,7.6,15.6,11.6,27.9,3.2,2.6,0.0,12.5,187,124
1,Bradley Beal,Washington Wizards,27:02,11,25,.440,0,7,.000,3,3,1.000,0,1,1,4,1,0,3,1,25,-10,27:02,.475,.440,.280,.120,0.0,4.4,2.2,25.9,1.8,0.0,10.2,47.6,92,132
2,Isaac Bonga,Washington Wizards,22:10,1,1,1.000,0,0,0,2,2,1.000,2,5,7,2,1,0,0,4,4,-2,22:10,1.064,1.000,.000,2.000,10.6,27.1,18.7,9.7,2.2,0.0,0.0,3.7,221,125
3,Isaiah Thomas,Washington Wizards,19:58,4,5,.800,0,0,0,0,0,0,0,0,0,3,0,0,2,1,8,-4,19:58,.800,.800,.000,.000,0.0,0.0,0.0,19.3,0.0,0.0,28.6,15.4,115,137
4,Gary Payton II,Washington Wizards,12:38,2,5,.400,0,1,.000,0,0,0,0,0,0,0,0,0,0,2,4,-2,12:38,.400,.400,.200,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,82,137
6,Troy Brown Jr.,Washington Wizards,31:08,4,7,.571,1,2,.500,0,0,0,0,6,6,1,1,0,0,2,9,-5,31:08,.643,.643,.286,.000,0.0,23.1,11.4,3.8,1.6,0.0,0.0,9.9,131,127
7,Ish Smith,Washington Wizards,28:02,4,12,.333,1,2,.500,0,0,0,1,3,4,7,0,1,2,0,9,-7,28:02,.375,.375,.167,.000,4.2,12.8,8.5,29.9,0.0,2.9,14.3,21.9,91,132
8,Dāvis Bertāns,Washington Wizards,25:50,5,11,.455,4,7,.571,4,5,.800,0,4,4,1,0,1,0,1,18,-9,25:50,.682,.636,.636,.455,0.0,18.6,9.2,4.9,0.0,3.1,0.0,22.4,140,130
9,Jordan McRae,Washington Wizards,25:12,7,14,.500,0,2,.000,2,3,.667,2,4,6,2,0,1,2,0,16,-5,25:12,.522,.500,.143,.214,9.3,19.0,14.1,11.3,0.0,3.2,11.5,30.1,102,130
10,Thomas Bryant,Washington Wizards,15:27,4,6,.667,0,0,0,0,0,0,2,1,3,1,0,0,0,2,8,-3,15:27,.667,.667,.000,.000,15.2,7.8,11.5,9.0,0.0,0.0,0.0,17.0,147,135
11,Anžejs Pasečņiks,Washington Wizards,1:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,1:47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,135
