,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Collin Sexton,Cleveland Cavaliers,28:29,10,18,.556,4,6,.667,1,1,1.000,0,1,1,1,2,0,3,1,25,-17,28:29,.678,.667,.333,.056,0.0,3.7,1.8,8.0,3.4,0.0,14.0,32.7,105,128
1,Darius Garland,Cleveland Cavaliers,27:41,5,16,.313,2,7,.286,2,2,1.000,0,0,0,10,1,0,3,3,14,-24,27:41,.415,.375,.438,.125,0.0,0.0,0.0,59.1,1.7,0.0,15.1,31.2,93,132
2,Cedi Osman,Cleveland Cavaliers,24:08,7,13,.538,5,8,.625,2,2,1.000,0,3,3,1,0,0,2,3,21,-19,24:08,.756,.731,.615,.154,0.0,13.0,6.4,8.3,0.0,0.0,12.6,28.6,119,132
3,Tristan Thompson,Cleveland Cavaliers,23:32,0,5,.000,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,-23,23:32,.000,.000,.000,.000,17.4,17.7,17.5,0.0,0.0,0.0,0.0,9.2,54,131
4,Alfonzo McKinnie,Cleveland Cavaliers,20:38,3,5,.600,1,2,.500,0,0,0,1,4,5,1,0,0,1,4,7,-3,20:38,.700,.700,.400,.000,4.9,20.2,12.5,7.5,0.0,0.0,16.7,12.6,117,130
6,Brandon Knight,Cleveland Cavaliers,26:15,0,6,.000,0,6,.000,0,0,0,0,1,1,1,0,0,1,3,0,-21,26:15,.000,.000,1.000,.000,0.0,4.0,2.0,4.8,0.0,0.0,14.3,11.6,10,135
7,Dante Exum,Cleveland Cavaliers,20:15,1,5,.200,0,2,.000,0,0,0,0,3,3,2,0,0,1,2,2,-6,20:15,.200,.200,.400,.000,0.0,15.5,7.6,13.3,0.0,0.0,16.7,12.9,52,132
8,Larry Nance Jr.,Cleveland Cavaliers,18:42,0,1,.000,0,1,.000,0,0,0,1,2,3,4,1,0,0,1,0,-20,18:42,.000,.000,1.000,.000,5.5,11.2,8.3,27.0,2.6,0.0,0.0,2.3,143,127
9,John Henson,Cleveland Cavaliers,18:35,4,8,.500,0,1,.000,2,2,1.000,1,6,7,2,1,3,0,2,10,-7,18:35,.563,.500,.125,.250,5.5,33.7,19.4,18.7,2.6,13.8,0.0,20.7,126,112
10,Dean Wade,Cleveland Cavaliers,13:52,3,5,.600,0,1,.000,0,0,0,1,7,8,1,0,3,1,1,6,0,13:52,.600,.600,.200,.000,7.4,52.7,29.8,12.5,0.0,18.5,16.7,18.8,105,109
11,Matthew Dellavedova,Cleveland Cavaliers,12:00,4,7,.571,2,3,.667,4,6,.667,0,0,0,2,0,0,1,0,14,+10,12:00,.726,.714,.429,.857,0.0,0.0,0.0,36.4,0.0,0.0,9.4,38.5,131,137
12,Tyler Cook,Cleveland Cavaliers,5:53,1,2,.500,0,0,0,2,2,1.000,0,1,1,0,0,0,0,1,4,+5,5:53,.694,.500,.000,1.000,0.0,17.7,8.8,0.0,0.0,0.0,0.0,21.2,146,131
13,Team Totals,Cleveland Cavaliers,240,38,91,.418,14,37,.378,13,15,.867,8,32,40,25,5,6,13,21,103,0,240,.528,.495,.407,.165,17.0,69.6,43.0,65.8,5.0,10.7,11.8,100.0,103.5,128.6
0,Kawhi Leonard,Los Angeles Clippers,28:44,14,22,.636,6,10,.600,9,10,.900,0,3,3,4,2,1,1,0,43,+39,28:44,.814,.773,.455,.455,0.0,10.7,5.4,26.1,3.4,3.1,3.6,40.1,163,101
1,Maurice Harkless,Los Angeles Clippers,26:55,3,4,.750,0,0,0,0,0,0,3,8,11,0,0,1,1,0,6,+35,26:55,.750,.750,.000,.000,11.6,30.4,21.1,0.0,0.0,3.3,20.0,7.8,135,103
2,Landry Shamet,Los Angeles Clippers,25:44,4,11,.364,4,11,.364,0,0,0,0,7,7,3,0,0,0,2,12,+37,25:44,.545,.545,1.000,.000,0.0,27.8,14.0,13.5,0.0,0.0,0.0,18.0,129,107
3,Ivica Zubac,Los Angeles Clippers,24:39,6,8,.750,0,0,0,0,0,0,5,5,10,2,0,4,1,0,12,+23,24:39,.750,.750,.000,.000,21.2,20.7,20.9,10.4,0.0,14.4,11.1,15.3,154,97
4,Patrick Beverley,Los Angeles Clippers,22:51,3,7,.429,2,5,.400,2,4,.500,4,3,7,9,1,0,0,3,10,+24,22:51,.571,.571,.714,.571,18.3,13.4,15.8,44.3,2.1,0.0,0.0,16.1,163,105
6,JaMychal Green,Los Angeles Clippers,21:05,0,2,.000,0,1,.000,0,0,0,0,6,6,1,0,1,1,1,0,-10,21:05,.000,.000,.500,.000,0.0,29.1,14.7,4.6,0.0,4.2,33.3,6.0,25,103
7,Montrezl Harrell,Los Angeles Clippers,19:35,5,11,.455,0,0,0,2,5,.400,0,3,3,2,2,0,1,2,12,+3,19:35,.455,.455,.000,.455,0.0,15.6,7.9,13.3,4.9,0.0,7.0,30.5,96,98
8,Lou Williams,Los Angeles Clippers,19:31,10,13,.769,2,4,.500,2,2,1.000,0,1,1,4,0,0,3,0,24,+7,19:31,.865,.846,.308,.154,0.0,5.2,2.6,40.3,0.0,0.0,17.8,36.3,139,112
9,Jerome Robinson,Los Angeles Clippers,15:48,3,6,.500,1,2,.500,0,0,0,1,2,3,4,2,0,1,0,7,-11,15:48,.583,.583,.333,.000,6.6,12.9,9.8,30.5,6.1,0.0,14.3,18.6,129,96
10,Rodney McGruder,Los Angeles Clippers,14:27,1,3,.333,0,2,.000,0,0,0,0,1,1,0,0,1,1,2,2,-4,14:27,.333,.333,.667,.000,0.0,7.1,3.6,0.0,0.0,6.2,25.0,11.6,52,107
11,Terance Mann,Los Angeles Clippers,12:00,0,4,.000,0,1,.000,0,0,0,1,0,1,0,0,0,1,1,0,-10,12:00,.000,.000,.250,.000,8.7,0.0,4.3,0.0,0.0,0.0,20.0,17.5,19,113
12,Derrick Walton,Los Angeles Clippers,4:55,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,4:55,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0,114
13,Patrick Patterson,Los Angeles Clippers,3:46,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,1,0,-1,3:46,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,0,113
14,Team Totals,Los Angeles Clippers,240,49,94,.521,15,38,.395,15,21,.714,14,39,53,29,7,8,11,12,128,0,240,.620,.601,.404,.223,30.4,83.0,57.0,59.2,7.0,14.8,9.6,100.0,128.6,103.5
