,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kyle Lowry,Toronto Raptors,29:09,3,11,.273,0,5,.000,4,4,1.000,1,3,4,7,1,1,3,4,10,+8,29:09,.392,.273,.455,.364,3.1,11.8,6.9,34.9,1.5,3.3,19.0,20.8,90,108
1,Pascal Siakam,Toronto Raptors,29:06,6,13,.462,0,4,.000,6,7,.857,0,6,6,1,1,1,1,2,18,+5,29:06,.560,.462,.308,.538,0.0,23.6,10.4,5.9,1.5,3.3,5.9,22.6,111,106
2,Fred VanVleet,Toronto Raptors,26:24,4,11,.364,1,4,.250,11,14,.786,1,3,4,2,3,0,1,2,20,-6,26:24,.583,.409,.364,1.273,3.4,13.0,7.7,11.8,5.0,0.0,5.5,26.4,124,102
3,Marc Gasol,Toronto Raptors,23:19,4,8,.500,2,6,.333,4,7,.571,0,5,5,2,0,0,2,1,14,-10,23:19,.632,.625,.750,.875,0.0,24.5,10.8,13.8,0.0,0.0,15.3,21.6,109,111
4,OG Anunoby,Toronto Raptors,20:35,2,6,.333,0,2,.000,0,0,0,3,1,4,1,0,0,1,2,4,+1,20:35,.333,.333,.333,.000,13.2,5.6,9.8,7.0,0.0,0.0,14.3,13.1,87,114
6,Norman Powell,Toronto Raptors,25:16,7,14,.500,6,9,.667,7,7,1.000,1,0,1,1,2,0,3,3,27,+10,25:16,.790,.714,.643,.500,3.6,0.0,2.0,7.7,3.5,0.0,14.9,30.5,130,108
7,Serge Ibaka,Toronto Raptors,24:06,3,10,.300,2,6,.333,0,0,0,2,5,7,0,1,0,1,2,8,+14,24:06,.400,.400,.600,.000,7.5,23.7,14.7,0.0,1.8,0.0,9.1,17.5,83,107
8,Patrick McCaw,Toronto Raptors,22:40,1,2,.500,0,0,0,0,0,0,0,0,0,4,3,0,1,3,2,+7,22:40,.500,.500,.000,.000,0.0,0.0,0.0,23.6,5.8,0.0,33.3,5.1,107,102
9,Rondae Hollis-Jefferson,Toronto Raptors,20:24,3,7,.429,0,0,0,1,4,.250,2,8,10,3,2,0,0,5,7,-4,20:24,.400,.429,.000,.571,8.9,44.8,24.8,22.8,4.3,0.0,0.0,16.5,106,97
10,Terence Davis,Toronto Raptors,19:01,5,10,.500,2,6,.333,0,0,0,2,2,4,4,0,1,1,1,12,0,19:01,.600,.600,.600,.000,9.5,12.0,10.6,39.8,0.0,5.0,9.1,22.2,125,110
11,Stanley Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Matt Thomas,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Chris Boucher,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Toronto Raptors,240,38,92,.413,13,42,.310,33,43,.767,12,33,45,25,13,3,14,25,122,0,240,.550,.484,.457,.467,22.6,78.6,47.4,65.8,11.8,6.0,11.2,100.0,111.1,106.5
0,Trae Young,Atlanta Hawks,39:01,11,20,.550,2,7,.286,18,21,.857,1,5,6,15,1,0,7,3,42,+1,39:01,.718,.600,.350,1.050,2.9,11.6,7.8,67.2,1.1,0.0,19.3,37.0,134,115
1,John Collins,Atlanta Hawks,37:02,8,11,.727,0,1,.000,1,2,.500,2,9,11,0,0,3,3,6,17,-2,37:02,.715,.727,.091,.182,6.2,22.0,15.0,0.0,0.0,7.8,20.2,16.0,109,110
2,Cam Reddish,Atlanta Hawks,34:32,5,13,.385,3,6,.500,0,0,0,1,7,8,1,2,0,3,3,13,-6,34:32,.500,.500,.462,.000,3.3,18.4,11.7,4.1,2.5,0.0,18.8,18.5,84,110
3,Kevin Huerter,Atlanta Hawks,29:38,3,12,.250,3,9,.333,0,1,.000,0,7,7,3,0,1,1,4,9,+2,29:38,.362,.375,.750,.083,0.0,21.4,11.9,13.4,0.0,3.2,7.4,18.1,80,113
4,De'Andre Hunter,Atlanta Hawks,27:19,4,8,.500,2,4,.500,3,4,.750,1,5,6,4,1,2,3,6,13,+13,27:19,.666,.625,.500,.500,4.2,16.6,11.1,20.7,1.6,7.0,23.5,18.6,113,108
6,DeAndre' Bembry,Atlanta Hawks,17:16,1,4,.250,0,1,.000,1,2,.500,1,2,3,1,2,0,1,2,3,-5,17:16,.307,.250,.250,.500,6.6,10.5,8.8,7.3,5.1,0.0,17.0,13.6,73,107
7,Damian Jones,Atlanta Hawks,16:38,0,1,.000,0,0,0,0,2,.000,0,1,1,0,2,1,1,2,0,-13,16:38,.000,.000,.000,2.000,0.0,5.4,3.0,0.0,5.3,5.8,34.7,6.9,0,105
8,Bruno Fernando,Atlanta Hawks,16:12,6,7,.857,0,0,0,0,1,.000,2,2,4,0,1,0,1,5,12,+8,16:12,.806,.857,.000,.143,14.1,11.2,12.5,0.0,2.7,0.0,11.8,20.7,133,111
9,Jeff Teague,Atlanta Hawks,11:24,1,3,.333,0,1,.000,0,0,0,1,0,1,1,0,0,2,2,2,-10,11:24,.333,.333,.333,.000,10.0,0.0,4.4,11.4,0.0,0.0,40.0,17.5,61,121
10,Vince Carter,Atlanta Hawks,8:37,2,3,.667,2,3,.667,0,0,0,0,2,2,1,0,1,1,1,6,-16,8:37,1.000,1.000,1.000,.000,0.0,21.0,11.7,18.7,0.0,11.1,25.0,18.5,132,109
11,Brandon Goodwin,Atlanta Hawks,2:21,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,+3,2:21,.000,.000,1.000,.000,0.0,38.5,21.5,0.0,0.0,0.0,0.0,16.9,0,109
12,Charlie Brown Jr.,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Treveon Graham,Atlanta Hawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Atlanta Hawks,240,41,83,.494,12,33,.364,23,33,.697,9,41,50,26,9,8,23,34,117,0,240,.600,.566,.398,.398,21.4,77.4,52.6,63.4,8.2,16.0,19.1,100.0,106.5,111.1
