,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Zach LaVine,Chicago Bulls,35:50,7,19,.368,2,8,.250,8,9,.889,0,5,5,1,3,0,2,3,24,-12,35:50,.523,.421,.421,.474,0.0,19.1,7.7,5.4,3.8,0.0,8.0,28.8,99,101
1,Kris Dunn,Chicago Bulls,31:58,6,12,.500,3,5,.600,0,0,0,0,5,5,2,3,0,3,0,15,-18,31:58,.625,.625,.417,.000,0.0,21.5,8.6,12.0,4.2,0.0,20.0,19.4,96,101
2,Lauri Markkanen,Chicago Bulls,31:20,2,11,.182,0,7,.000,4,4,1.000,2,6,8,0,0,0,2,0,8,-24,31:20,.313,.182,.636,.364,5.9,26.3,14.1,0.0,0.0,0.0,13.6,19.5,64,110
3,Tomáš Satoranský,Chicago Bulls,25:37,3,11,.273,1,6,.167,0,0,0,0,3,3,4,1,0,3,2,7,-11,25:37,.318,.318,.545,.000,0.0,16.1,6.5,26.4,1.8,0.0,21.4,22.6,62,106
4,Luke Kornet,Chicago Bulls,15:00,2,6,.333,2,6,.333,0,0,0,0,1,1,2,0,0,1,4,6,-2,15:00,.500,.500,1.000,.000,0.0,9.1,3.7,23.2,0.0,0.0,14.3,19.3,93,107
6,Thaddeus Young,Chicago Bulls,27:57,5,11,.455,4,8,.500,0,0,0,2,4,6,3,2,2,0,2,14,-1,27:57,.636,.636,.727,.000,6.6,19.6,11.8,20.3,3.2,6.7,0.0,16.3,135,97
7,Coby White,Chicago Bulls,24:50,2,8,.250,1,3,.333,2,2,1.000,1,2,3,1,1,0,1,2,7,+2,24:50,.394,.313,.375,.250,3.7,11.0,6.7,6.4,1.8,0.0,10.1,16.5,82,106
8,Chandler Hutchison,Chicago Bulls,19:16,3,5,.600,1,1,1.000,1,2,.500,1,4,5,2,0,0,3,4,8,-8,19:16,.680,.700,.200,.400,4.8,28.5,14.3,18.8,0.0,0.0,33.8,19.1,95,107
9,Cristiano Felício,Chicago Bulls,12:03,1,2,.500,0,0,0,0,0,0,1,2,3,2,0,0,0,1,2,+4,12:03,.500,.500,.000,.000,7.7,22.8,13.7,26.5,0.0,0.0,0.0,6.9,141,109
10,Ryan Arcidiacono,Chicago Bulls,12:00,2,5,.400,0,3,.000,0,0,0,0,0,0,1,1,0,1,3,4,+1,12:00,.400,.400,.600,.000,0.0,0.0,0.0,15.4,3.8,0.0,16.7,20.7,71,100
11,Shaquille Harrison,Chicago Bulls,2:04,1,2,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,+2,2:04,.615,.500,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,122,111
12,Denzel Valentine,Chicago Bulls,2:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,2:04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,111
13,Adam Mokoka,Chicago Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Chicago Bulls,240,34,92,.370,14,48,.292,16,18,.889,7,32,39,18,11,2,16,21,98,0,240,.490,.446,.522,.196,13.5,91.4,44.8,52.9,10.3,3.9,13.8,100.0,92.0,104.2
0,Giannis Antetokounmpo,Milwaukee Bucks,31:00,12,20,.600,1,5,.200,3,9,.333,1,13,14,10,1,1,8,3,28,+23,31:00,.584,.625,.250,.450,4.4,38.7,24.9,58.6,1.5,3.5,25.0,44.9,97,86
1,Khris Middleton,Milwaukee Bucks,30:32,10,13,.769,3,4,.750,1,1,1.000,0,6,6,6,0,0,2,1,24,+17,30:32,.893,.885,.308,.077,0.0,18.1,10.8,32.2,0.0,0.0,13.0,22.0,148,97
2,Eric Bledsoe,Milwaukee Bucks,28:30,3,5,.600,0,0,0,1,2,.500,0,3,3,2,0,0,1,1,7,+10,28:30,.595,.600,.000,.400,0.0,9.7,5.8,8.4,0.0,0.0,14.5,10.5,106,99
3,Brook Lopez,Milwaukee Bucks,27:28,3,10,.300,1,6,.167,0,1,.000,0,3,3,2,1,3,0,2,7,+10,27:28,.335,.350,.600,.100,0.0,10.1,6.0,8.8,1.6,11.9,0.0,16.6,74,87
