,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Monte Morris,Denver Nuggets,35:34,4,12,.333,0,3,.000,0,0,0,2,2,4,8,1,0,0,1,8,+9,35:34,.333,.333,.250,.000,6.1,5.3,5.7,28.7,1.4,0.0,0.0,15.0,112,113
1,Nikola Jokić,Denver Nuggets,34:16,7,15,.467,0,3,.000,3,4,.750,5,8,13,5,1,0,5,4,17,-6,34:16,.507,.467,.200,.267,15.9,22.0,19.2,21.1,1.5,0.0,23.0,28.2,99,106
2,Will Barton,Denver Nuggets,32:50,6,11,.545,3,6,.500,3,4,.750,0,2,2,4,2,0,1,2,18,+7,32:50,.705,.682,.545,.364,0.0,5.7,3.1,17.1,3.1,0.0,7.3,18.6,141,108
3,Jerami Grant,Denver Nuggets,31:43,8,13,.615,3,6,.500,0,0,0,3,4,7,2,1,0,1,2,19,+1,31:43,.731,.731,.462,.000,10.3,11.9,11.2,9.8,1.6,0.0,7.1,19.6,143,110
4,Torrey Craig,Denver Nuggets,16:22,1,4,.250,0,2,.000,0,0,0,0,2,2,0,1,0,1,1,2,-7,16:22,.250,.250,.500,.000,0.0,11.5,6.2,0.0,3.1,0.0,20.0,13.5,43,106
6,Michael Porter Jr.,Denver Nuggets,29:41,7,12,.583,4,8,.500,2,2,1.000,2,12,14,4,0,1,1,4,20,+17,29:41,.776,.750,.667,.167,7.4,38.0,23.8,20.4,0.0,3.3,7.2,20.7,155,102
7,Malik Beasley,Denver Nuggets,23:58,4,10,.400,1,2,.500,2,2,1.000,0,3,3,0,3,0,1,1,11,+9,23:58,.506,.450,.200,.200,0.0,11.8,6.3,0.0,6.4,0.0,8.4,22.0,98,99
8,PJ Dozier,Denver Nuggets,18:37,3,8,.375,0,0,0,0,0,0,0,3,3,3,0,0,2,2,6,+6,18:37,.375,.375,.000,.000,0.0,15.2,8.1,21.9,0.0,0.0,20.0,23.8,77,112
9,Mason Plumlee,Denver Nuggets,10:22,3,4,.750,0,0,0,0,0,0,1,3,4,0,0,0,0,1,6,+6,10:22,.750,.750,.000,.000,10.5,27.2,19.5,0.0,0.0,0.0,0.0,17.1,155,108
10,Juancho Hernangómez,Denver Nuggets,6:37,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,1,0,0,-7,6:37,.000,.000,1.000,.000,0.0,14.2,7.6,0.0,0.0,0.0,50.0,13.4,0,113
11,Vlatko Čančar,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jarred Vanderbilt,Denver Nuggets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
