,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rudy Gobert,Utah Jazz,30:16,10,13,.769,0,0,0,2,7,.286,6,9,15,2,1,3,1,2,22,+31,30:16,.684,.769,.000,.538,23.2,27.4,25.6,9.3,1.7,7.3,5.9,24.2,142,92
1,Bojan Bogdanović,Utah Jazz,28:54,6,14,.429,4,8,.500,2,3,.667,0,4,4,3,1,0,0,0,18,+31,28:54,.587,.571,.571,.214,0.0,12.8,7.1,12.4,1.8,0.0,0.0,22.7,139,103
2,Royce O'Neale,Utah Jazz,26:22,2,3,.667,0,1,.000,0,0,0,1,8,9,6,0,0,0,2,4,+23,26:22,.667,.667,.333,.000,4.4,28.0,17.6,23.6,0.0,0.0,0.0,4.9,187,101
3,Joe Ingles,Utah Jazz,25:04,4,7,.571,2,3,.667,1,2,.500,0,2,2,8,0,0,2,1,11,+20,25:04,.698,.714,.429,.286,0.0,7.4,4.1,36.2,0.0,0.0,20.2,16.9,140,108
4,Donovan Mitchell,Utah Jazz,22:22,8,13,.615,4,8,.500,3,4,.750,0,4,4,3,1,0,1,1,23,+24,22:22,.779,.769,.615,.308,0.0,16.5,9.2,19.6,2.3,0.0,6.3,30.2,154,100
6,Jordan Clarkson,Utah Jazz,26:14,3,11,.273,1,6,.167,3,4,.750,2,3,5,3,0,0,0,0,10,+10,26:14,.392,.318,.545,.364,8.9,10.6,9.8,12.3,0.0,0.0,0.0,20.8,117,107
7,Georges Niang,Utah Jazz,21:32,4,7,.571,3,5,.600,0,0,0,0,2,2,3,1,0,1,2,11,+10,21:32,.786,.786,.714,.000,0.0,8.6,4.8,16.3,2.4,0.0,12.5,15.9,149,103
8,Mike Conley,Utah Jazz,18:30,4,10,.400,0,4,.000,0,0,0,0,1,1,1,1,0,0,2,8,+11,18:30,.400,.400,.400,.000,0.0,5.0,2.8,6.5,2.8,0.0,0.0,23.1,99,103
9,Tony Bradley,Utah Jazz,10:27,1,3,.333,0,0,0,1,3,.333,3,4,7,0,0,0,0,3,3,+3,10:27,.347,.333,.000,1.000,33.6,35.3,34.6,0.0,0.0,0.0,0.0,17.7,115,98
10,Emmanuel Mudiay,Utah Jazz,9:29,3,4,.750,2,3,.667,0,0,0,0,0,0,2,0,0,2,1,8,-1,9:29,1.000,1.000,.750,.000,0.0,0.0,0.0,29.1,0.0,0.0,33.3,27.1,126,111
