,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Bradley Beal,Washington Wizards,38:15,16,24,.667,2,8,.250,4,4,1.000,1,8,9,5,1,0,2,5,38,+4,38:15,.738,.708,.333,.167,3.1,27.7,14.8,24.9,1.3,0.0,7.2,32.4,138,124
1,Ian Mahinmi,Washington Wizards,34:59,3,8,.375,0,1,.000,4,5,.800,3,7,10,4,1,2,0,3,10,-5,34:59,.490,.375,.125,.625,10.3,26.5,18.0,13.3,1.4,5.8,0.0,13.0,130,120
2,Isaiah Thomas,Washington Wizards,24:29,5,11,.455,3,7,.429,1,2,.500,1,3,4,3,1,0,3,2,14,-2,24:29,.589,.591,.636,.182,4.9,16.2,10.3,16.6,2.0,0.0,20.2,27.1,100,124
3,Isaac Bonga,Washington Wizards,19:46,2,3,.667,1,2,.500,0,0,0,0,2,2,0,2,0,3,3,5,-1,19:46,.833,.833,.667,.000,0.0,13.4,6.4,0.0,4.9,0.0,50.0,13.5,66,118
4,Gary Payton II,Washington Wizards,14:55,1,2,.500,0,1,.000,0,0,0,0,1,1,2,2,0,0,3,2,+8,14:55,.500,.500,.500,.000,0.0,8.9,4.2,15.3,6.5,0.0,0.0,6.0,131,114
6,Jordan McRae,Washington Wizards,34:04,5,15,.333,2,8,.250,2,2,1.000,1,2,3,5,1,0,0,5,14,-9,34:04,.441,.400,.533,.133,3.5,7.8,5.6,18.4,1.4,0.0,0.0,20.8,107,127
7,Dāvis Bertāns,Washington Wizards,31:51,8,18,.444,4,12,.333,4,5,.800,1,0,1,4,1,1,1,3,24,-5,31:51,.594,.556,.667,.278,3.8,0.0,2.0,18.1,1.5,3.2,4.7,29.7,121,125
8,Ish Smith,Washington Wizards,28:15,3,6,.500,1,1,1.000,0,0,0,0,1,1,1,0,0,1,1,7,-2,28:15,.583,.583,.167,.000,0.0,4.7,2.2,4.2,0.0,0.0,14.3,11.1,99,130
9,Troy Brown Jr.,Washington Wizards,20:29,4,8,.500,0,2,.000,1,2,.500,0,3,3,4,1,0,1,3,9,-16,20:29,.507,.500,.250,.250,0.0,19.4,9.2,26.1,2.4,0.0,10.1,21.5,106,123
10,Thomas Bryant,Washington Wizards,16:36,3,4,.750,0,0,0,0,0,0,0,6,6,2,0,2,0,1,6,+1,16:36,.750,.750,.000,.000,0.0,47.9,22.8,15.8,0.0,12.3,0.0,10.8,158,115
