,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Domantas Sabonis,Indiana Pacers,33:42,8,11,.727,0,0,0,8,11,.727,3,10,13,4,0,1,1,2,24,+22,33:42,.758,.727,.000,1.000,11.0,30.3,21.5,17.0,0.0,2.2,5.9,23.6,154,90
1,T.J. Warren,Indiana Pacers,30:20,11,18,.611,0,0,0,3,4,.750,1,2,3,0,3,1,1,4,25,+18,30:20,.633,.611,.000,.222,4.1,6.7,5.5,0.0,4.9,2.5,4.8,32.3,116,87
2,Myles Turner,Indiana Pacers,25:27,4,9,.444,1,4,.250,0,1,.000,0,8,8,0,0,4,1,2,9,+14,25:27,.477,.500,.444,.111,0.0,32.1,17.5,0.0,0.0,11.8,9.6,19.3,80,82
3,Jeremy Lamb,Indiana Pacers,21:08,2,9,.222,0,3,.000,0,0,0,0,2,2,2,1,0,0,3,4,+22,21:08,.222,.222,.333,.000,0.0,9.7,5.3,11.2,2.4,0.0,0.0,20.1,57,93
4,Malcolm Brogdon,Indiana Pacers,15:52,2,4,.500,1,1,1.000,0,0,0,0,0,0,3,0,0,0,1,5,0,15:52,.625,.625,.250,.000,0.0,0.0,0.0,23.3,0.0,0.0,0.0,11.9,139,102
6,T.J. McConnell,Indiana Pacers,26:34,4,5,.800,0,0,0,2,2,1.000,0,4,4,11,3,1,1,2,10,+27,26:34,.850,.800,.000,.400,0.0,15.4,8.4,52.6,5.6,2.8,14.5,12.2,170,82
7,Doug McDermott,Indiana Pacers,25:35,5,8,.625,2,4,.500,0,0,0,0,3,3,2,0,0,1,2,12,+3,25:35,.750,.750,.500,.000,0.0,12.0,6.5,10.5,0.0,0.0,11.1,16.6,127,98
8,Justin Holiday,Indiana Pacers,25:08,4,6,.667,3,4,.750,0,0,0,0,3,3,1,0,0,1,2,11,+9,25:08,.917,.917,.667,.000,0.0,12.2,6.7,5.1,0.0,0.0,14.3,13.1,140,98
9,Aaron Holiday,Indiana Pacers,19:07,3,10,.300,1,3,.333,0,0,0,0,2,2,2,1,0,1,2,7,+1,19:07,.350,.350,.300,.000,0.0,10.7,5.8,13.4,2.6,0.0,9.1,27.1,71,92
10,Edmond Sumner,Indiana Pacers,9:55,1,2,.500,1,1,1.000,0,2,.000,0,1,1,0,0,0,1,0,3,+1,9:55,.521,.750,.500,1.000,0.0,10.3,5.6,0.0,0.0,0.0,25.8,18.4,64,98
11,JaKarr Sampson,Indiana Pacers,3:35,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,+4,3:35,0,0,0,0,0.0,85.5,46.7,29.8,0.0,20.9,100.0,13.2,49,58
12,Goga Bitadze,Indiana Pacers,3:35,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,1,0,0,+4,3:35,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,93,102
