,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Davis,Los Angeles Lakers,38:38,13,22,.591,2,5,.400,3,4,.750,0,7,7,2,2,1,5,3,31,-10,38:38,.652,.636,.227,.182,0.0,23.5,11.4,13.2,2.5,3.0,17.4,33.4,101,106
1,LeBron James,Los Angeles Lakers,35:21,9,18,.500,1,6,.167,10,13,.769,0,7,7,8,1,0,8,3,29,-22,35:21,.611,.528,.333,.722,0.0,25.7,12.5,47.7,1.4,0.0,25.2,40.2,99,110
2,Danny Green,Los Angeles Lakers,31:04,1,7,.143,0,5,.000,0,0,0,2,3,5,1,2,0,3,3,2,-12,31:04,.143,.143,.714,.000,7.9,12.5,10.2,4.6,3.1,0.0,30.0,14.4,38,109
3,Avery Bradley,Los Angeles Lakers,17:36,3,4,.750,1,2,.500,0,0,0,0,1,1,1,0,0,0,3,7,-20,17:36,.875,.875,.500,.000,0.0,7.4,3.6,10.2,0.0,0.0,0.0,10.2,167,116
4,Dwight Howard,Los Angeles Lakers,16:07,1,1,1.000,0,0,0,0,4,.000,3,2,5,0,0,0,0,2,2,-12,16:07,.362,1.000,.000,4.000,22.9,16.1,19.6,0.0,0.0,0.0,0.0,7.7,102,115
6,Kentavious Caldwell-Pope,Los Angeles Lakers,32:41,3,4,.750,1,2,.500,0,0,0,0,2,2,2,1,0,1,1,7,-3,32:41,.875,.875,.500,.000,0.0,7.9,3.9,9.6,1.5,0.0,20.0,6.9,132,113
7,Kyle Kuzma,Los Angeles Lakers,26:39,2,6,.333,0,3,.000,0,0,0,0,5,5,2,0,0,1,2,4,-4,26:39,.333,.333,.500,.000,0.0,24.3,11.8,11.5,0.0,0.0,14.3,11.8,69,114
8,Alex Caruso,Los Angeles Lakers,19:54,1,6,.167,0,3,.000,2,2,1.000,0,1,1,3,6,0,1,0,4,-1,19:54,.291,.167,.500,.333,0.0,6.5,3.2,22.2,14.7,0.0,12.7,17.7,71,84
9,Rajon Rondo,Los Angeles Lakers,14:39,1,6,.167,0,3,.000,0,0,0,1,0,1,4,0,0,2,0,2,+1,14:39,.167,.167,.500,.000,8.4,0.0,4.3,41.3,0.0,0.0,25.0,24.5,56,118
10,Jared Dudley,Los Angeles Lakers,7:21,1,2,.500,1,2,.500,0,0,0,0,1,1,0,0,0,0,1,3,-2,7:21,.750,.750,1.000,.000,0.0,17.7,8.6,0.0,0.0,0.0,0.0,12.2,133,115
11,Troy Daniels,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Quinn Cook,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Los Angeles Lakers,240,35,76,.461,6,31,.194,15,23,.652,6,29,35,23,12,1,21,18,91,0,240,.528,.500,.408,.303,15.4,78.4,46.1,65.7,12.2,2.4,19.6,100.0,92.2,109.4
0,Ben Simmons,Philadelphia 76ers,41:14,12,15,.800,0,0,0,4,6,.667,3,7,10,8,4,0,5,3,28,+15,41:14,.794,.800,.000,.400,9.4,20.9,15.3,34.5,4.7,0.0,22.1,24.5,137,88
1,Tobias Harris,Philadelphia 76ers,38:16,10,20,.500,3,8,.375,6,7,.857,1,7,8,1,0,1,3,3,29,+6,38:16,.628,.575,.400,.350,3.4,22.5,13.2,4.4,0.0,2.8,11.5,30.5,116,95
2,Matisse Thybulle,Philadelphia 76ers,35:35,2,6,.333,2,6,.333,0,0,0,1,0,1,1,5,1,2,0,6,+13,35:35,.500,.500,1.000,.000,3.6,0.0,1.8,3.5,6.8,3.0,25.0,10.1,87,85
3,Al Horford,Philadelphia 76ers,34:52,6,9,.667,2,5,.400,2,2,1.000,0,6,6,1,1,0,2,1,16,+11,34:52,.810,.778,.556,.222,0.0,21.2,10.9,4.2,1.4,0.0,16.8,15.2,133,95
