,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Damian Lillard,Portland Trail Blazers,40:16,17,30,.567,7,12,.583,7,8,.875,1,8,9,10,2,0,1,1,48,+12,40:16,.716,.683,.400,.267,2.4,18.0,10.5,41.5,2.3,0.0,2.9,37.0,146,112
1,CJ McCollum,Portland Trail Blazers,40:03,8,22,.364,2,9,.222,1,2,.500,1,5,6,5,0,0,0,0,19,+1,40:03,.415,.409,.409,.091,2.4,11.3,7.1,15.2,0.0,0.0,0.0,24.7,96,119
2,Trevor Ariza,Portland Trail Blazers,39:04,1,5,.200,0,2,.000,0,0,0,0,3,3,3,6,1,0,3,2,-5,39:04,.200,.200,.400,.000,0.0,7.0,3.6,7.7,7.0,1.9,0.0,5.5,71,105
3,Hassan Whiteside,Portland Trail Blazers,33:44,13,14,.929,0,0,0,4,6,.667,3,10,13,2,2,5,0,1,30,+8,33:44,.901,.929,.000,.429,8.7,26.8,18.1,9.3,2.7,11.1,0.0,21.3,185,101
4,Wenyen Gabriel,Portland Trail Blazers,12:40,0,3,.000,0,1,.000,0,0,0,1,0,1,1,0,1,0,6,0,+5,12:40,.000,.000,.333,.000,7.7,0.0,3.7,7.7,0.0,5.9,0.0,10.2,49,118
6,Gary Trent Jr.,Portland Trail Blazers,22:03,4,9,.444,2,5,.400,0,0,0,0,0,0,1,0,0,1,2,10,+10,22:03,.556,.556,.556,.000,0.0,0.0,0.0,5.4,0.0,0.0,10.0,19.6,98,124
7,Anfernee Simons,Portland Trail Blazers,15:34,1,3,.333,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,4,+4,15:34,.515,.333,.333,.667,0.0,0.0,0.0,13.4,0.0,0.0,0.0,10.8,125,124
8,Caleb Swanigan,Portland Trail Blazers,13:53,2,2,1.000,0,0,0,1,1,1.000,0,6,6,1,0,0,3,4,5,+2,13:53,1.025,1.000,.000,.500,0.0,39.1,20.3,8.2,0.0,0.0,55.1,16.9,86,106
9,Mario Hezonja,Portland Trail Blazers,11:27,0,4,.000,0,2,.000,1,2,.500,0,2,2,0,0,1,0,3,1,-5,11:27,.102,.000,.500,.500,0.0,15.8,8.2,0.0,0.0,6.6,0.0,18.4,22,113
10,Nassir Little,Portland Trail Blazers,11:14,3,5,.600,2,4,.500,0,0,0,0,0,0,0,0,0,0,2,8,+8,11:14,.800,.800,.800,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,146,123
11,Carmelo Anthony,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jusuf Nurkić,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Team Totals,Portland Trail Blazers,240,49,97,.505,13,36,.361,16,21,.762,6,34,40,25,10,8,5,22,127,0,240,.598,.572,.371,.216,12.2,64.2,39.2,51.0,9.5,12.5,4.5,100.0,121.1,113.5
0,Anthony Davis,Los Angeles Lakers,38:46,14,22,.636,3,5,.600,6,8,.750,4,12,16,6,1,5,4,1,37,-13,38:46,.725,.705,.227,.364,9.3,30.3,19.4,26.9,1.2,10.1,13.6,28.9,136,111
1,LeBron James,Los Angeles Lakers,37:59,9,22,.409,3,8,.375,1,4,.250,2,6,8,10,0,1,5,2,22,+7,37:59,.463,.477,.364,.182,4.8,15.5,9.9,37.6,0.0,2.1,17.4,28.8,99,124
2,Avery Bradley,Los Angeles Lakers,25:25,3,6,.500,2,3,.667,2,2,1.000,1,4,5,2,0,0,0,2,10,-5,25:25,.727,.667,.500,.333,3.6,15.4,9.3,9.6,0.0,0.0,0.0,10.3,168,126
3,Danny Green,Los Angeles Lakers,21:47,1,8,.125,1,6,.167,2,3,.667,1,2,3,1,0,1,0,1,5,+1,21:47,.268,.188,.750,.375,4.2,9.0,6.5,5.1,0.0,3.6,0.0,16.3,81,123
4,JaVale McGee,Los Angeles Lakers,14:23,3,4,.750,0,0,0,0,0,0,1,2,3,0,0,2,1,1,6,-2,14:23,.750,.750,.000,.000,6.3,13.6,9.8,0.0,0.0,10.9,20.0,13.2,116,115
6,Kyle Kuzma,Los Angeles Lakers,25:04,6,12,.500,0,3,.000,5,7,.714,5,10,15,0,0,0,4,2,17,-16,25:04,.564,.500,.250,.583,18.1,39.1,28.2,0.0,0.0,0.0,21.0,28.9,101,123
7,Kentavious Caldwell-Pope,Los Angeles Lakers,21:11,3,7,.429,1,3,.333,1,2,.500,1,0,1,1,1,0,0,2,8,-10,21:11,.508,.500,.429,.286,4.3,0.0,2.2,5.9,2.2,0.0,0.0,14.1,122,123
8,Dwight Howard,Los Angeles Lakers,14:14,3,3,1.000,0,0,0,0,0,0,1,3,4,0,0,1,1,5,6,+6,14:14,1.000,1.000,.000,.000,6.4,20.6,13.2,0.0,0.0,5.5,25.0,10.7,133,119
9,Rajon Rondo,Los Angeles Lakers,14:13,1,3,.333,0,1,.000,0,0,0,0,0,0,5,0,0,2,0,2,-11,14:13,.333,.333,.333,.000,0.0,0.0,0.0,40.6,0.0,0.0,40.0,13.4,84,128
10,Alex Caruso,Los Angeles Lakers,8:17,0,2,.000,0,1,.000,0,0,0,0,1,1,2,0,0,0,3,0,-2,8:17,.000,.000,.500,.000,0.0,11.8,5.7,25.8,0.0,0.0,0.0,9.2,64,125
11,Troy Daniels,Los Angeles Lakers,7:45,1,4,.250,0,1,.000,1,2,.500,3,0,3,1,0,0,1,2,3,-2,7:45,.307,.250,.250,.500,35.1,0.0,18.2,16.0,0.0,0.0,17.0,28.8,88,127
12,Jared Dudley,Los Angeles Lakers,5:53,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,+6,5:53,0,0,0,0,0.0,50.0,24.0,0.0,0.0,0.0,0,0.0,0,121
13,Quinn Cook,Los Angeles Lakers,5:02,1,3,.333,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,3,+1,5:02,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,112,128
14,Team Totals,Los Angeles Lakers,240,45,96,.469,11,32,.344,18,28,.643,19,43,62,28,2,10,18,21,119,0,240,.549,.526,.333,.292,35.8,87.8,60.8,62.2,1.9,16.4,14.2,100.0,113.5,121.1
