,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Karl-Anthony Towns,Minnesota Timberwolves,36:18,11,22,.500,2,9,.222,8,11,.727,1,11,12,3,0,1,0,1,32,-10,36:18,.596,.545,.409,.500,3.0,29.1,16.9,20.4,0.0,2.1,0.0,30.3,122,111
1,Robert Covington,Minnesota Timberwolves,35:04,3,7,.429,1,4,.250,5,6,.833,0,5,5,0,3,2,2,4,12,-10,35:04,.622,.500,.571,.857,0.0,13.7,7.3,0.0,3.9,4.3,17.2,13.6,101,104
2,Shabazz Napier,Minnesota Timberwolves,34:44,4,11,.364,1,4,.250,2,2,1.000,1,3,4,10,2,0,4,2,11,-9,34:44,.463,.409,.364,.182,3.1,8.3,5.9,48.5,2.6,0.0,25.2,18.7,91,112
3,Andrew Wiggins,Minnesota Timberwolves,26:32,4,11,.364,1,3,.333,4,5,.800,0,5,5,3,0,0,2,3,13,-16,26:32,.492,.409,.273,.455,0.0,18.1,9.6,20.3,0.0,0.0,13.2,23.4,91,115
4,Jarrett Culver,Minnesota Timberwolves,22:10,2,5,.400,0,3,.000,1,2,.500,1,2,3,1,0,0,1,1,5,+10,22:10,.425,.400,.600,.400,4.9,8.7,6.9,7.3,0.0,0.0,14.5,12.7,83,118
6,Josh Okogie,Minnesota Timberwolves,26:06,3,9,.333,1,4,.250,6,6,1.000,3,3,6,1,1,0,3,5,13,-8,26:06,.558,.389,.444,.667,12.5,11.0,11.7,6.5,1.7,0.0,20.5,23.0,100,113
7,Jordan McLaughlin,Minnesota Timberwolves,16:38,2,6,.333,0,3,.000,0,0,0,0,2,2,5,1,0,0,0,4,-3,16:38,.333,.333,.500,.000,0.0,11.5,6.1,51.1,2.7,0.0,0.0,14.8,95,111
8,Kelan Martin,Minnesota Timberwolves,15:35,1,5,.200,0,4,.000,5,5,1.000,0,4,4,0,1,0,3,3,7,-6,15:35,.486,.200,.800,1.000,0.0,24.6,13.1,0.0,2.9,0.0,29.4,26.8,71,107
9,Keita Bates-Diop,Minnesota Timberwolves,10:44,1,2,.500,0,1,.000,0,0,0,0,2,2,1,1,0,0,0,2,-7,10:44,.500,.500,.500,.000,0.0,17.9,9.5,15.1,4.2,0.0,0.0,7.6,111,106
10,Gorgui Dieng,Minnesota Timberwolves,9:30,2,4,.500,1,3,.333,0,0,0,0,0,0,0,0,1,1,0,5,-7,9:30,.625,.625,.750,.000,0.0,0.0,0.0,0.0,0.0,7.9,20.0,21.5,83,115
