,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelly Oubre Jr.,Phoenix Suns,41:57,11,19,.579,5,9,.556,3,3,1.000,2,3,5,2,0,0,0,3,30,-5,41:57,.738,.711,.474,.158,6.5,7.8,7.2,7.8,0.0,0.0,0.0,23.6,150,134
1,Devin Booker,Phoenix Suns,41:50,8,16,.500,2,6,.333,4,5,.800,0,4,4,7,0,0,3,3,22,-4,41:50,.604,.563,.375,.313,0.0,10.4,5.8,24.5,0.0,0.0,14.2,24.7,116,133
2,Mikal Bridges,Phoenix Suns,41:45,5,9,.556,3,6,.500,0,0,0,1,5,6,4,0,1,3,4,13,-5,41:45,.722,.722,.667,.000,3.3,13.1,8.7,12.7,0.0,1.7,25.0,14.0,113,130
3,Deandre Ayton,Phoenix Suns,41:01,12,18,.667,0,0,0,2,4,.500,3,9,12,4,0,4,2,3,26,-7,41:01,.658,.667,.000,.222,10.0,23.9,17.8,16.7,0.0,7.0,9.2,25.8,128,123
4,Ricky Rubio,Phoenix Suns,35:27,1,5,.200,0,1,.000,2,2,1.000,0,1,1,11,4,0,6,3,4,+3,35:27,.340,.200,.200,.400,0.0,3.1,1.7,36.6,6.0,0.0,50.5,16.3,81,122
6,Elie Okobo,Phoenix Suns,13:19,1,2,.500,1,1,1.000,0,0,0,0,2,2,1,0,0,0,2,3,-6,13:19,.750,.750,.500,.000,0.0,16.4,9.1,9.4,0.0,0.0,0.0,7.3,155,130
7,Cheick Diallo,Phoenix Suns,13:14,3,5,.600,0,0,0,1,1,1.000,1,6,7,0,0,0,1,2,7,-4,13:14,.643,.600,.000,.200,10.4,49.5,32.1,0.0,0.0,0.0,15.5,23.7,110,118
8,Jevon Carter,Phoenix Suns,11:27,1,3,.333,1,3,.333,0,0,0,0,0,0,0,0,0,0,1,3,-12,11:27,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,98,136
9,Tariq Owens,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Jared Harper,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ty Jerome,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Jalen Lecque,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Aron Baynes,Phoenix Suns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Phoenix Suns,240,42,77,.545,12,26,.462,12,15,.800,7,30,37,29,4,5,15,21,108,0,240,.646,.623,.338,.195,20.0,68.2,46.8,69.0,4.4,7.5,15.2,100.0,119.2,128.0
0,Andre Drummond,Detroit Pistons,38:08,14,19,.737,0,0,0,3,5,.600,7,12,19,4,3,0,3,1,31,+14,38:08,.731,.737,.000,.263,20.0,43.2,30.3,17.7,4.2,0.0,12.4,28.2,139,111
1,Tony Snell,Detroit Pistons,34:32,3,10,.300,1,3,.333,0,0,0,0,2,2,3,1,0,0,1,7,+10,34:32,.350,.350,.300,.000,0.0,7.9,3.5,10.0,1.5,0.0,0.0,12.9,95,122
2,Reggie Jackson,Detroit Pistons,34:08,10,24,.417,5,9,.556,0,0,0,1,4,5,9,1,0,2,1,25,0,34:08,.521,.521,.375,.000,3.2,16.1,8.9,39.6,1.6,0.0,7.7,33.8,117,121
3,Bruce Brown,Detroit Pistons,33:12,3,8,.375,0,2,.000,3,4,.750,1,0,1,7,1,1,1,3,9,-3,33:12,.461,.375,.250,.500,3.3,0.0,1.8,24.3,1.6,2.8,9.3,14.4,121,121
4,Sekou Doumbouya,Detroit Pistons,15:58,2,4,.500,1,2,.500,0,0,0,0,2,2,1,1,0,0,3,5,-4,15:58,.625,.625,.500,.000,0.0,17.2,7.6,7.5,3.3,0.0,0.0,11.1,137,116
6,Christian Wood,Detroit Pistons,32:17,7,14,.500,1,3,.333,6,7,.857,3,5,8,1,1,0,0,1,21,+17,32:17,.615,.536,.214,.500,10.1,21.2,15.1,4.2,1.6,0.0,0.0,23.5,142,120
7,Langston Galloway,Detroit Pistons,29:36,6,10,.600,3,6,.500,0,0,0,0,1,1,3,1,1,0,2,15,+6,29:36,.750,.750,.600,.000,0.0,4.6,2.1,13.4,1.8,3.2,0.0,15.0,158,119
8,Thon Maker,Detroit Pistons,9:52,0,1,.000,0,0,0,0,0,0,2,1,3,2,0,0,0,1,0,-6,9:52,.000,.000,.000,.000,22.1,13.9,18.5,21.2,0.0,0.0,0.0,4.5,143,125
9,Jordan Bone,Detroit Pistons,7:18,0,3,.000,0,1,.000,0,0,0,0,1,1,1,0,0,0,1,0,+6,7:18,.000,.000,.333,.000,0.0,18.8,8.3,14.3,0.0,0.0,0.0,18.3,26,124
10,Louis King,Detroit Pistons,4:58,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,0,1,3,0,4:58,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,146,126
