,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Anthony Davis,Los Angeles Lakers,35:10,9,14,.643,0,0,0,9,13,.692,2,8,10,4,3,1,2,2,27,+4,35:10,.685,.643,.000,.929,7.4,25.4,17.1,17.8,3.8,2.4,9.2,24.5,139,106
1,LeBron James,Los Angeles Lakers,33:34,7,17,.412,3,8,.375,5,6,.833,0,8,8,11,1,0,7,2,22,+6,33:34,.560,.500,.471,.353,0.0,26.6,14.3,47.7,1.3,0.0,26.3,31.5,106,113
2,Avery Bradley,Los Angeles Lakers,30:24,7,11,.636,5,7,.714,2,2,1.000,1,3,4,2,2,0,1,2,21,+7,30:24,.884,.864,.636,.182,4.3,11.0,7.9,9.9,3.0,0.0,7.8,16.8,164,112
3,Danny Green,Los Angeles Lakers,29:28,3,6,.500,2,3,.667,2,2,1.000,1,1,2,1,0,0,1,2,10,+7,29:28,.727,.667,.500,.333,4.4,3.8,4.1,4.3,0.0,0.0,12.7,10.6,138,119
4,JaVale McGee,Los Angeles Lakers,20:58,2,4,.500,0,0,0,0,0,0,1,4,5,0,1,1,3,4,4,0,20:58,.500,.500,.000,.000,6.2,21.3,14.3,0.0,2.1,4.0,42.9,13.2,61,108
6,Kyle Kuzma,Los Angeles Lakers,29:24,4,8,.500,0,0,0,4,4,1.000,1,1,2,6,3,0,5,2,12,-3,29:24,.615,.500,.000,.500,4.4,3.8,4.1,26.9,4.6,0.0,33.9,19.9,104,109
7,Rajon Rondo,Los Angeles Lakers,21:10,4,8,.500,3,5,.600,0,0,0,0,4,4,4,0,0,4,1,11,+1,21:10,.688,.688,.625,.000,0.0,21.1,11.3,26.7,0.0,0.0,33.3,22.5,100,117
8,Troy Daniels,Los Angeles Lakers,16:51,1,3,.333,1,3,.333,1,2,.500,1,0,1,0,0,0,0,2,4,-5,16:51,.515,.500,1.000,.667,7.7,0.0,3.6,0.0,0.0,0.0,0.0,9.1,125,120
9,Dwight Howard,Los Angeles Lakers,12:39,5,7,.714,0,0,0,2,5,.400,4,4,8,0,0,0,1,3,12,+7,12:39,.652,.714,.000,.714,41.0,35.3,37.9,0.0,0.0,0.0,9.8,32.0,126,113
10,Alex Caruso,Los Angeles Lakers,6:51,0,2,.000,0,2,.000,0,0,0,1,2,3,0,1,0,0,1,0,-4,6:51,.000,.000,1.000,.000,18.9,32.6,26.3,0.0,6.6,0.0,0.0,11.6,42,100
11,Kentavious Caldwell-Pope,Los Angeles Lakers,3:31,1,2,.500,0,1,.000,0,0,0,0,0,0,1,0,0,0,1,2,+5,3:31,.500,.500,.500,.000,0.0,0.0,0.0,46.5,0.0,0.0,0.0,22.6,131,119
12,Quinn Cook,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Jared Dudley,Los Angeles Lakers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Los Angeles Lakers,240,43,82,.524,14,29,.483,25,34,.735,12,35,47,29,11,2,24,22,125,0,240,.645,.610,.354,.415,32.4,81.4,58.8,67.4,10.3,3.5,19.8,100.0,117.0,112.3
