,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Spencer Dinwiddie,Brooklyn Nets,36:22,8,17,.471,2,6,.333,3,4,.750,1,5,6,11,1,0,0,2,21,-3,36:22,.560,.529,.353,.235,2.7,14.3,8.4,47.7,1.4,0.0,0.0,22.2,142,125
1,Caris LeVert,Brooklyn Nets,33:13,12,18,.667,6,7,.857,7,7,1.000,1,2,3,4,1,0,1,1,37,-1,33:13,.878,.833,.389,.389,3.0,6.3,4.6,24.4,1.5,0.0,4.5,28.6,170,128
2,Joe Harris,Brooklyn Nets,32:38,5,9,.556,1,4,.250,0,0,0,3,4,7,2,0,0,0,2,11,+1,32:38,.611,.611,.444,.000,9.2,12.8,11.0,8.7,0.0,0.0,0.0,11.9,144,129
3,Taurean Prince,Brooklyn Nets,27:25,6,16,.375,4,10,.400,1,2,.500,1,1,2,2,1,1,2,1,17,-4,27:25,.504,.500,.625,.125,3.6,3.8,3.7,11.5,1.8,2.9,10.6,29.6,98,126
4,Jarrett Allen,Brooklyn Nets,19:21,1,2,.500,0,0,0,1,2,.500,3,3,6,0,1,0,1,2,3,-8,19:21,.521,.500,.000,1.000,15.5,16.2,15.8,0.0,2.6,0.0,25.8,8.6,112,122
6,DeAndre Jordan,Brooklyn Nets,28:39,6,10,.600,0,0,0,3,4,.750,3,11,14,1,0,3,3,1,15,+7,28:39,.638,.600,.000,.400,10.5,40.1,25.0,5.4,0.0,8.4,20.3,22.2,110,114
7,Wilson Chandler,Brooklyn Nets,24:12,1,7,.143,1,7,.143,3,3,1.000,0,2,2,3,1,0,1,4,6,-1,24:12,.361,.214,1.000,.429,0.0,8.6,4.2,15.3,2.1,0.0,10.7,16.6,90,125
8,Garrett Temple,Brooklyn Nets,22:48,1,5,.200,1,4,.250,2,2,1.000,0,2,2,4,0,1,0,1,5,+6,22:48,.425,.300,.800,.400,0.0,9.2,4.5,21.7,0.0,3.5,0.0,11.1,124,128
9,Timothé Luwawu-Cabarrot,Brooklyn Nets,15:22,1,8,.125,1,6,.167,0,0,0,1,3,4,0,0,0,1,2,3,-2,15:22,.188,.188,.750,.000,6.5,20.4,13.3,0.0,0.0,0.0,11.1,25.2,46,126
10,Nic Claxton,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Džanan Musa,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Chris Chiozza,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rodions Kurucs,Brooklyn Nets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Brooklyn Nets,240,41,92,.446,16,44,.364,20,24,.833,13,33,46,27,5,5,9,16,118,0,240,.575,.533,.478,.261,27.1,71.7,48.9,65.9,5.2,8.3,8.1,100.0,123.5,124.5
0,Pascal Siakam,Toronto Raptors,33:36,9,22,.409,0,5,.000,2,4,.500,0,7,7,4,0,1,0,1,20,-8,33:36,.421,.409,.227,.182,0.0,20.8,10.6,17.8,0.0,3.0,0.0,30.5,101,124
1,Fred VanVleet,Toronto Raptors,33:02,11,20,.550,4,9,.444,3,3,1.000,0,2,2,6,0,0,3,4,29,-1,33:02,.680,.650,.450,.150,0.0,6.1,3.1,30.0,0.0,0.0,12.3,31.8,130,131
2,Serge Ibaka,Toronto Raptors,31:58,5,9,.556,1,3,.333,1,2,.500,1,5,6,2,0,1,0,1,12,-4,31:58,.607,.611,.333,.222,3.3,15.6,9.6,8.0,0.0,3.1,0.0,13.3,138,126
3,Terence Davis,Toronto Raptors,30:12,7,15,.467,5,8,.625,1,1,1.000,5,3,8,1,1,0,2,4,20,-8,30:12,.648,.633,.533,.067,17.3,9.9,13.5,4.7,1.7,0.0,11.5,24.9,129,126
4,OG Anunoby,Toronto Raptors,28:51,2,4,.500,0,1,.000,1,2,.500,0,4,4,1,2,0,0,1,5,-5,28:51,.512,.500,.250,.500,0.0,13.9,7.1,4.0,3.5,0.0,0.0,7.3,118,120
6,Matt Thomas,Toronto Raptors,22:17,6,9,.667,3,4,.750,0,0,0,0,6,6,1,3,0,0,2,15,+4,22:17,.833,.833,.444,.000,0.0,26.9,13.7,6.7,6.8,0.0,0.0,17.4,169,107
7,Patrick McCaw,Toronto Raptors,18:52,1,3,.333,1,1,1.000,0,0,0,0,2,2,3,0,0,0,2,3,+6,18:52,.500,.500,.333,.000,0.0,10.6,5.4,18.0,0.0,0.0,0.0,6.9,142,129
8,Rondae Hollis-Jefferson,Toronto Raptors,16:47,2,6,.333,0,0,0,1,2,.500,4,3,7,3,0,0,0,1,5,+6,16:47,.363,.333,.000,.333,24.9,17.9,21.3,21.8,0.0,0.0,0.0,17.7,124,127
9,Chris Boucher,Toronto Raptors,16:02,2,5,.400,0,2,.000,5,5,1.000,2,3,5,0,0,3,2,5,9,+5,16:02,.625,.400,.400,1.000,13.0,18.7,15.9,0.0,0.0,18.7,21.7,24.8,114,115
10,Oshae Brissett,Toronto Raptors,8:23,0,2,.000,0,2,.000,1,2,.500,1,0,1,1,0,0,0,1,1,+10,8:23,.174,.000,1.000,1.000,12.4,0.0,6.1,12.7,0.0,0.0,0.0,14.8,83,133
11,Stanley Johnson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Paul Watson,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Malcolm Miller,Toronto Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Toronto Raptors,240,45,95,.474,14,35,.400,15,21,.714,13,35,48,22,6,5,7,22,119,0,240,.571,.547,.368,.221,28.3,72.9,51.1,48.9,6.3,10.4,6.3,100.0,124.5,123.5
