,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Landry Shamet,Los Angeles Clippers,27:17,4,9,.444,3,7,.429,0,0,0,0,4,4,3,0,1,0,3,11,+29,27:17,.611,.611,.778,.000,0.0,12.1,7.3,11.5,0.0,2.8,0.0,14.0,138,96
1,Lou Williams,Los Angeles Clippers,26:09,8,14,.571,1,3,.333,8,10,.800,0,5,5,3,2,0,2,0,25,+28,26:09,.679,.607,.214,.714,0.0,15.8,9.5,14.4,3.6,0.0,9.8,33.2,132,88
2,Paul George,Los Angeles Clippers,24:12,8,12,.667,5,8,.625,1,1,1.000,0,6,6,4,1,1,3,2,22,+20,24:12,.884,.875,.667,.083,0.0,20.5,12.3,21.4,2.0,3.2,19.4,27.1,140,87
3,Marcus Morris,Los Angeles Clippers,21:51,5,12,.417,0,4,.000,0,0,0,0,4,4,2,3,0,1,2,10,+15,21:51,.417,.417,.333,.000,0.0,15.2,9.1,10.5,6.5,0.0,7.7,25.3,89,82
4,Ivica Zubac,Los Angeles Clippers,16:50,4,4,1.000,0,0,0,0,0,0,0,4,4,4,1,2,0,4,8,+14,16:50,1.000,1.000,.000,.000,0.0,19.7,11.8,27.4,2.8,9.2,0.0,10.1,207,82
6,Amir Coffey,Los Angeles Clippers,24:31,5,7,.714,0,2,.000,0,1,.000,0,4,4,1,1,1,2,2,10,+16,24:31,.672,.714,.286,.143,0.0,13.5,8.1,4.5,1.9,3.2,21.2,16.4,102,91
7,JaMychal Green,Los Angeles Clippers,24:13,2,7,.286,1,5,.200,1,2,.500,4,3,7,3,0,0,0,2,6,+28,24:13,.381,.357,.714,.286,20.3,10.3,14.3,12.1,0.0,0.0,0.0,13.8,125,98
8,Rodney McGruder,Los Angeles Clippers,22:05,4,6,.667,0,1,.000,0,0,0,2,2,4,3,1,0,0,1,8,+20,22:05,.667,.667,.167,.000,11.1,7.5,9.0,14.7,2.1,0.0,0.0,11.6,160,95
9,Montrezl Harrell,Los Angeles Clippers,20:30,8,10,.800,0,0,0,3,4,.750,3,6,9,3,0,1,1,1,19,+22,20:30,.808,.800,.000,.400,18.0,24.2,21.7,20.5,0.0,3.8,7.8,26.5,161,90
10,Terance Mann,Los Angeles Clippers,12:00,0,2,.000,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,+7,12:00,.000,.000,.000,.000,0.0,13.8,8.2,7.5,3.9,0.0,0.0,7.1,38,88
