,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jayson Tatum,Boston Celtics,34:45,10,19,.526,4,7,.571,2,4,.500,3,8,11,1,0,1,4,3,26,0,34:45,.626,.632,.368,.211,9.0,21.7,15.7,5.7,0.0,2.3,16.2,32.6,111,118
1,Gordon Hayward,Boston Celtics,34:33,5,10,.500,2,4,.500,1,2,.500,3,7,10,4,0,1,1,1,13,+5,34:33,.597,.600,.400,.200,9.1,19.1,14.3,17.9,0.0,2.4,8.4,15.7,136,119
2,Jaylen Brown,Boston Celtics,34:23,7,17,.412,3,7,.429,0,0,0,0,3,3,2,0,0,1,2,17,+6,34:23,.500,.500,.412,.000,0.0,8.2,4.3,9.9,0.0,0.0,5.6,24.0,106,125
3,Daniel Theis,Boston Celtics,30:27,5,11,.455,1,4,.250,2,4,.500,5,6,11,5,0,0,0,4,13,+3,30:27,.509,.500,.364,.364,17.1,18.5,17.9,26.2,0.0,0.0,0.0,19.2,141,121
4,Kemba Walker,Boston Celtics,30:03,6,16,.375,4,9,.444,11,13,.846,1,3,4,1,0,0,1,2,27,0,30:03,.622,.500,.563,.813,3.5,9.4,6.6,5.6,0.0,0.0,4.4,34.6,134,124
6,Marcus Smart,Boston Celtics,22:21,2,5,.400,1,3,.333,2,2,1.000,0,0,0,2,4,0,2,3,7,+4,22:21,.595,.500,.600,.400,0.0,0.0,0.0,12.7,9.3,0.0,25.4,16.1,103,107
7,Enes Freedom,Boston Celtics,17:13,1,3,.333,0,1,.000,2,2,1.000,1,7,8,0,1,0,0,1,4,-1,17:13,.515,.333,.333,.667,6.1,38.3,23.0,0.0,3.0,0.0,0.0,10.3,131,109
8,Brad Wanamaker,Boston Celtics,16:33,1,2,.500,0,0,0,0,0,0,0,4,4,4,1,0,0,3,2,+2,16:33,.500,.500,.000,.000,0.0,22.7,12.0,33.1,3.1,0.0,0.0,5.5,164,113
9,Grant Williams,Boston Celtics,14:12,1,1,1.000,1,1,1.000,0,0,0,1,1,2,0,0,0,0,2,3,-6,14:12,1.500,1.500,1.000,.000,7.3,6.6,7.0,0.0,0.0,0.0,0.0,3.2,275,125
10,Romeo Langford,Boston Celtics,5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-8,5:30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,126
