,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,CJ McCollum,Portland Trail Blazers,29:46,7,17,.412,4,8,.500,2,2,1.000,0,1,1,3,0,0,2,2,20,-15,29:46,.559,.529,.471,.118,0.0,3.8,1.8,14.8,0.0,0.0,10.1,26.9,109,139
1,Damian Lillard,Portland Trail Blazers,29:04,6,16,.375,0,4,.000,8,9,.889,1,4,5,6,0,0,3,1,20,-16,29:04,.501,.375,.250,.563,3.4,15.7,9.2,29.1,0.0,0.0,13.1,31.8,105,136
2,Trevor Ariza,Portland Trail Blazers,27:11,3,3,1.000,1,1,1.000,0,0,0,1,2,3,1,3,1,0,0,7,-16,27:11,1.167,1.167,.333,.000,3.7,8.4,5.9,4.6,5.1,3.0,0.0,4.4,229,124
3,Hassan Whiteside,Portland Trail Blazers,27:05,8,12,.667,0,0,0,1,1,1.000,3,11,14,3,0,1,2,5,17,-24,27:05,.683,.667,.000,.083,11.1,46.4,27.6,17.8,0.0,3.1,13.9,21.4,129,125
4,Carmelo Anthony,Portland Trail Blazers,26:08,8,16,.500,0,5,.000,2,2,1.000,0,1,1,1,1,0,2,4,18,-8,26:08,.533,.500,.313,.125,0.0,4.4,2.0,6.3,1.8,0.0,10.6,29.1,99,134
6,Gary Trent Jr.,Portland Trail Blazers,27:07,2,8,.250,0,4,.000,0,0,0,1,1,2,1,1,0,1,2,4,-17,27:07,.250,.250,.500,.000,3.7,4.2,3.9,4.4,1.7,0.0,11.1,13.4,61,135
7,Caleb Swanigan,Portland Trail Blazers,22:30,1,4,.250,0,1,.000,1,2,.500,4,1,5,1,0,0,3,3,3,-8,22:30,.307,.250,.250,.500,17.8,5.1,11.9,5.1,0.0,0.0,38.1,14.1,72,138
8,Anfernee Simons,Portland Trail Blazers,18:33,2,6,.333,1,4,.250,4,4,1.000,0,2,2,4,0,0,1,3,9,-5,18:33,.580,.417,.667,.667,0.0,12.3,5.8,26.7,0.0,0.0,11.4,19.0,124,136
9,Wenyen Gabriel,Portland Trail Blazers,13:36,5,7,.714,1,2,.500,1,2,.500,1,1,2,0,0,0,0,2,12,-2,13:36,.761,.786,.286,.286,7.4,8.4,7.8,0.0,0.0,0.0,0.0,23.3,152,137
10,Jaylen Hoard,Portland Trail Blazers,9:30,2,3,.667,0,0,0,2,2,1.000,1,1,2,0,0,0,0,2,6,+3,9:30,.181,.000,.000,4.000,0.0,36.1,16.8,11.5,0.0,8.7,0.0,11.7,57,125
11,Moses Brown,Portland Trail Blazers,9:30,0,1,.000,0,0,0,1,4,.250,0,3,3,1,0,1,0,2,1,+3,9:30,.773,.667,.000,.667,10.5,12.0,11.2,0.0,0.0,0.0,0.0,16.4,168,136
12,Nassir Little,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rodney Hood,Portland Trail Blazers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,Portland Trail Blazers,240,44,93,.473,7,29,.241,22,28,.786,12,28,40,21,5,3,14,26,117,0,240,.555,.511,.312,.301,25.0,66.7,44.4,47.7,4.8,5.2,11.7,100.0,112.7,133.0
0,Lonzo Ball,New Orleans Pelicans,33:36,4,11,.364,1,4,.250,0,0,0,1,5,6,10,1,1,4,4,9,+10,33:36,.409,.409,.364,.000,3.4,14.9,9.5,33.0,1.4,2.2,26.7,18.0,98,112
1,Jrue Holiday,New Orleans Pelicans,29:04,7,12,.583,1,4,.250,1,2,.500,0,4,4,10,2,2,2,1,16,+16,29:04,.621,.625,.333,.167,0.0,13.8,7.3,44.1,3.2,5.2,13.4,20.6,132,107
2,Zion Williamson,New Orleans Pelicans,27:52,10,17,.588,0,1,.000,11,14,.786,6,3,9,5,1,0,2,1,31,+25,27:52,.669,.588,.059,.824,24.6,10.8,17.2,27.1,1.7,0.0,7.9,36.4,145,114
3,Josh Hart,New Orleans Pelicans,26:05,7,10,.700,2,5,.400,1,1,1.000,1,5,6,3,1,0,0,1,17,+9,26:05,.814,.800,.500,.100,4.4,19.2,12.3,15.3,1.8,0.0,0.0,16.1,171,112
4,Derrick Favors,New Orleans Pelicans,21:27,3,4,.750,0,0,0,0,0,0,2,5,7,2,1,1,2,3,6,+14,21:27,.750,.750,.000,.000,10.7,23.3,17.4,10.6,2.2,3.5,33.3,11.3,114,107
6,Nicolò Melli,New Orleans Pelicans,27:59,4,10,.400,2,8,.250,0,0,0,2,7,9,3,0,1,1,4,10,+13,27:59,.500,.500,.800,.000,8.2,25.0,17.2,12.2,0.0,2.7,9.1,15.8,116,112
7,Frank Jackson,New Orleans Pelicans,22:42,4,7,.571,3,4,.750,2,3,.667,0,2,2,5,0,0,1,4,13,+15,22:42,.781,.786,.571,.429,0.0,8.8,4.7,26.1,0.0,0.0,10.7,16.5,150,118
8,J.J. Redick,New Orleans Pelicans,20:50,5,10,.500,4,7,.571,6,6,1.000,0,2,2,2,0,0,1,0,20,+4,20:50,.791,.700,.700,.600,0.0,9.6,5.1,12.3,0.0,0.0,7.3,26.4,153,118
9,E'Twaun Moore,New Orleans Pelicans,16:56,3,7,.429,1,1,1.000,0,0,0,0,1,1,0,1,0,0,0,7,+5,16:56,.500,.500,.143,.000,0.0,5.9,3.1,0.0,2.7,0.0,0.0,16.7,105,113
10,Jaxson Hayes,New Orleans Pelicans,11:00,2,2,1.000,0,0,0,5,6,.833,1,2,3,0,0,0,0,1,9,-5,11:00,.970,1.000,.000,3.000,10.4,18.2,14.5,0.0,0.0,0.0,0.0,17.0,207,116
11,Nickeil Alexander-Walker,New Orleans Pelicans,2:29,0,2,.000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-1,2:29,.000,.000,.000,.000,46.0,0.0,21.5,0.0,0.0,0.0,0.0,32.5,49,120
12,Jahlil Okafor,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Brandon Ingram,New Orleans Pelicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Team Totals,New Orleans Pelicans,240,49,92,.533,14,34,.412,26,32,.813,14,36,50,40,7,5,13,20,138,0,240,.650,.609,.370,.348,33.3,75.0,55.6,81.6,6.7,7.8,10.9,100.0,133.0,112.7
